evaluation_id,decision_contract_id,decision_type,facility_id,fact_id,fact_type,assertion_value_or_reference,governing_source_id,source_record_id,source_version_or_hash,authority_scope,effective_from,effective_to,occurred_or_measured_at,observed_at,recorded_at,record_version_valid_to,clock_source,clock_sync_state,estimated_error_bound_seconds,timestamp_precision,invalidation_or_supersession_state,conflict_state,evaluated_at,maximum_observation_age_seconds,maximum_source_lateness_seconds,required_execution_horizon_seconds,required_readback_within_seconds,observed_age_seconds,source_lateness_seconds,envelope_end,admission_result,admission_reason,required_behavior,evidence_reference
TAE-E001,DC-MAINT-01,maintenance_priority,FAC-FICTION-ALDER,FACT-DOOR-001,door_position,object://fiction/door/001,SRC-EDGE-01,EDGE-887,sha256-fiction-001,read_and_prioritize,2026-08-22T09:55:00Z,2026-08-22T10:05:00Z,2026-08-22T09:57:00Z,2026-08-22T09:58:00Z,2026-08-22T09:58:03Z,open,device_ntp,bounded,2,second,active,none,2026-08-22T10:00:00Z,180,120,60,120,180,60,2026-08-22T10:02:00Z,pass,within_age_lateness_and_horizon,admit_recommendation,object://fiction/evidence/E001
TAE-E002,DC-MAINT-01,maintenance_priority,FAC-FICTION-ALDER,FACT-HOLD-001,safety_hold,object://fiction/hold/001,SRC-SAFETY-01,HOLD-19,sha256-fiction-002,required_precondition,2026-08-22T09:54:00Z,open,2026-08-22T09:54:00Z,2026-08-22T10:03:00Z,2026-08-22T10:03:02Z,open,source_service,bounded,3,second,active,none,2026-08-22T10:04:00Z,120,300,60,120,600,540,2026-08-22T09:59:00Z,fail,observation_age_exceeds_contract,stop_and_escalate,object://fiction/evidence/E002
TAE-E003,DC-SCHEDULE-01,access_schedule_display,FAC-FICTION-ALDER,FACT-SCHED-001,approved_schedule,object://fiction/schedule/001,SRC-POLICY-01,SCHED-44,sha256-fiction-003,display_only,2026-08-22T06:00:00-06:00,2026-08-22T22:00:00-06:00,2026-08-21T16:00:00Z,2026-08-21T16:00:00Z,2026-08-21T16:01:00Z,open,policy_service,verified,1,second,active,none,2026-08-22T16:00:00Z,172800,3600,0,0,86400,60,2026-08-22T22:00:00-06:00,pass,effective_interval_contains_evaluation,display_only,object://fiction/evidence/E003
TAE-E004,DC-COMMAND-01,remote_gate_command,FAC-FICTION-ALDER,FACT-REACH-001,controller_reachability,object://fiction/controller/001,SRC-EDGE-01,EDGE-902,sha256-fiction-004,command_precondition,2026-08-22T10:00:00Z,2026-08-22T10:03:00Z,2026-08-22T10:00:00Z,2026-08-22T10:00:02Z,2026-08-22T10:00:03Z,open,device_ntp,unknown,unknown,millisecond,active,none,2026-08-22T10:01:00Z,120,30,30,60,60,2,2026-08-22T10:02:00Z,review,clock_error_bound_unknown,refresh_from_trusted_source,object://fiction/evidence/E004
TAE-E005,DC-REPORT-01,monthly_facility_report,FAC-FICTION-BIRCH,FACT-ID-001,facility_identity,object://fiction/facility/birch,SRC-MASTER-01,FAC-22,sha256-fiction-005,report_label,2026-01-01T00:00:00Z,open,2026-01-01T00:00:00Z,2026-01-01T00:00:10Z,2026-01-01T00:00:11Z,open,master_service,verified,1,second,active,none,2026-08-22T10:00:00Z,31536000,86400,0,0,20167190,10,open,pass,change_triggered_revalidation_clear,admit_report_label,object://fiction/evidence/E005
TAE-E006,DC-COMMAND-02,remote_gate_command,FAC-FICTION-BIRCH,FACT-POLICY-009,service_window,object://fiction/window/009,SRC-POLICY-01,WINDOW-9,sha256-fiction-006,command_authority,2026-08-22T10:00:00Z,2026-08-22T10:05:00Z,2026-08-21T14:00:00Z,2026-08-21T14:00:00Z,2026-08-21T14:01:00Z,open,policy_service,verified,1,second,active,none,2026-08-22T10:04:30Z,172800,3600,90,60,72270,60,2026-08-22T10:05:00Z,fail,execution_horizon_crosses_effective_end,stop_before_command,object://fiction/evidence/E006
TAE-E007,DC-ROSTER-01,dispatch_assignment,FAC-FICTION-CEDAR,FACT-ROSTER-001,technician_availability,object://fiction/roster/001,SRC-HR-ROSTER-01,ROSTER-1,sha256-fiction-007,dispatch_read,2026-08-22T08:00:00-06:00,2026-08-22T12:00:00-06:00,2026-08-21T18:00:00Z,2026-08-21T18:05:00Z,2026-08-21T18:05:02Z,open,roster_service,bounded,2,minute,active,conflicting_update_pending,2026-08-22T16:30:00Z,86400,600,3600,3600,81000,300,2026-08-22T12:00:00-06:00,review,conflict_state_not_clear,route_to_dispatch_owner,object://fiction/evidence/E007
TAE-E008,DC-MAINT-02,maintenance_priority,FAC-FICTION-CEDAR,FACT-WO-011,work_order_state,object://fiction/work/011,SRC-WORK-01,WO-11,v7,queue_priority,2026-08-22T08:20:00Z,open,2026-08-22T08:20:00Z,2026-08-22T08:20:05Z,2026-08-22T08:20:06Z,2026-08-22T09:45:00Z,work_service,verified,1,second,superseded,none,2026-08-22T10:00:00Z,7200,300,60,300,5995,5,2026-08-22T09:45:00Z,fail,record_version_superseded_before_evaluation,load_current_version,object://fiction/evidence/E008
TAE-E009,DC-COI-01,vendor_entry_review,FAC-FICTION-DELTA,FACT-COI-001,credential_expiration,object://fiction/credential/001,SRC-CREDENTIAL-01,COI-1,sha256-fiction-009,review_only,2026-08-01,2026-08-23,2026-08-01,2026-08-01T15:00:00Z,2026-08-01T15:01:00Z,open,manual_record,unknown,43200,date,active,none,2026-08-22T18:00:00Z,2678400,86400,0,0,1825200,60,2026-08-23,review,date_precision_requires_local_policy_interpretation,route_to_credential_owner,object://fiction/evidence/E009
TAE-E010,DC-READBACK-01,work_order_closure,FAC-FICTION-DELTA,FACT-CLOSE-001,closure_readback,object://fiction/readback/001,SRC-INSPECTION-01,VERIFY-1,sha256-fiction-010,closure_authority,2026-08-22T14:00:00Z,open,2026-08-22T14:00:00Z,2026-08-22T14:01:00Z,2026-08-22T14:01:02Z,open,mobile_device,bounded,30,minute,active,none,2026-08-22T14:03:00Z,600,300,0,300,180,60,2026-08-22T14:10:00Z,pass,independent_readback_within_contract,close_with_evidence,object://fiction/evidence/E010
TAE-E011,DC-REPLAY-01,decision_replay,FAC-FICTION-ECHO,FACT-RATE-001,rate_rule,object://fiction/rate/001,SRC-POLICY-01,RATE-1,v5,replay_only,2026-08-01T00:00:00Z,2026-09-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-01T00:00:10Z,2026-08-01T00:00:11Z,2026-08-22T09:00:00Z,policy_service,verified,1,second,superseded,none,2026-08-10T12:00:00Z,31536000,3600,0,0,820790,10,2026-09-01T00:00:00Z,pass,decision_time_version_selected,replay_without_current_row_substitution,object://fiction/evidence/E011
TAE-E012,DC-REPLAY-01,decision_replay,FAC-FICTION-ECHO,FACT-RATE-002,rate_rule,object://fiction/rate/002,SRC-POLICY-01,RATE-1,v6,replay_only,2026-08-01T00:00:00Z,2026-09-01T00:00:00Z,2026-08-01T00:00:00Z,2026-08-22T09:00:00Z,2026-08-22T09:00:01Z,open,policy_service,verified,1,second,active,none,2026-08-10T12:00:00Z,31536000,3600,0,0,-1015199,1814400,2026-09-01T00:00:00Z,fail,version_not_recorded_at_historical_decision_time,exclude_from_replay,object://fiction/evidence/E012
