test_id,level,control_area,scenario,input_condition,expected_state,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
FSG-T001,Beginner,initiation,Button clicked,No durable request ID,failed,withhold_initiated_state,actor_action_and_request_id,workflow_owner,recreate_only_under_approved_duplicate_check,No transaction state is invented,"Fictional workflow",Alder,Click is not durable evidence
FSG-T002,Beginner,acceptance,Portal receipt,Receipt says accepted for processing,accepted_nonterminal,preserve_exact_meaning,response_id_state_and_definition,exception_owner,poll_or_escalate_under_policy,Acceptance never appears as posting or reconciliation,"No provider outcome claim",Alder,Receipt is bounded
FSG-T003,Beginner,posting,Ledger line exists,No provider or bank evidence,posted,show_posted_only,journal_line_period_and_rule,accounting_owner,retain_open downstream states,Posting is not payment or cash proof,"No accounting advice",Birch,Four questions remain separate
FSG-T004,Beginner,reconciliation,Totals agree,Item-level evidence absent,review_required,withhold_reconciled_state,source_extracts_population_and_match_results,reconciler,rebuild item-level comparison,Agreement alone cannot close,"Fictional control",Birch,Totals can hide offsets
FSG-T005,Beginner,amount_identity,Amount is 125,Currency missing,failed,require_currency,signed_amount_currency_and_type,workflow_owner,return to source owner,Amount is not treated as complete identity,"No financial result",Cedar,Currency is mandatory
FSG-T006,Beginner,ownership,Queue says Finance,No accountable queue owner exists,pending,retain_named_prior_owner,queue_scope_owner_and_escalation,operations owner,route to governed queue,Work never becomes anonymously owned,"No staffing claim",Cedar,Department label is insufficient
FSG-T007,Beginner,customer_language,Refund initiated,Customer draft says refunded,failed,downgrade_to_approved_initiated_wording,request_state_and_communication_policy,communications owner,correct draft before send,Language does not outrun evidence,"No customer communication advice",Delta,Approval still required
FSG-T008,Beginner,unknown_state,Provider read fails,Last known state processing,unknown,preserve_last_known_and_unknown,current read error and prior evidence,exception owner,retry without duplicate action,Unknown is not success or failure,"No reliability claim",Delta,Three-valued logic
FSG-T009,Beginner,reversal,Original entry reversed,Original record overwritten,failed,restore_linked_history,original_and_reversal_ids,records owner,reconstruct immutable chain,Original remains inspectable,"Fictional records",Echo,Reversal is a new event
FSG-T010,Intermediate,idempotency,Retry after timeout,Same key reused,prior_disposition_returned,record_attempt_not_new_transaction,key_attempts_and_response,workflow owner,reconcile if downstream duplicated,One logical transaction family remains,"No implementation claim",Echo,Retry differs from duplicate effect
FSG-T011,Intermediate,correlation,Two same-value items,Date and amount match,candidate_only,require_stronger_identity,candidate_ids_and_match_features,reconciler,request provider or bank reference,No deterministic match is claimed,"Fictional matching",Foxtrot,Similarity is not identity
FSG-T012,Intermediate,currency,USD request EUR bank line,Conversion evidence absent,blocked,withhold_match,source_amounts_rates_and_currency,reconciler,obtain governed conversion record,No cross-currency match is invented,"No FX advice",Foxtrot,Currency context matters
FSG-T013,Intermediate,netting,Payout combines ten items,One total matches bank,review_required,reconcile_batch_and_components,payout_batch_and_itemized_report,reconciler,retain unclassified items,Net deposit does not classify components,"No provider relationship",Alder,Batch identity required
FSG-T014,Intermediate,cutoff,Provider event after period end,Ledger posts prior period,review_required,apply_qualified_period_policy,event_time_posting_time_and_policy,accounting owner,reclassify only under authority,Period difference stays visible,"No accounting conclusion",Birch,Do not infer treatment
FSG-T015,Intermediate,fees,Payout is lower than collections,Fee evidence missing,open_difference,identify_difference_without_guessing,gross_items_payout_and_fee_source,reconciler,obtain itemized source,Difference is not labeled a fee without evidence,"Fictional payout",Cedar,Net math is not provenance
FSG-T016,Intermediate,partial_source,Bank statement imports partly,One account fails,blocked_partial,scope successful and failed accounts,import result and account identities,system owner,retry failed scope only,Successful accounts do not hide failure,"No bank availability claim",Delta,Partial success is typed
FSG-T017,Intermediate,manual_adjustment,Difference forced to zero,Reason and approval absent,failed,reopen_reconciliation,adjustment_source_reason_and_approval,reviewer,reverse unsupported adjustment,Zero difference is not enough,"No fraud inference",Echo,Unsupported entry blocked
FSG-T018,Intermediate,segregation,Same person initiates and closes,Policy requirement unknown,review_required,evaluate_against_governing_policy,roles_actions_and_policy_version,control owner,reassign review if required,Workflow exposes actor overlap,"No universal segregation rule",Foxtrot,Qualified policy decides
FSG-T019,Advanced,state_mapping,Provider status renamed,Old mapping still active,failed,quarantine_unmapped_state,provider_version_and_mapping,system owner,version and retest mapping,Unknown source state never defaults to success,"Product-specific semantics",Alder,Mappings are versioned
FSG-T020,Advanced,event_order,Success then delayed failure,Arrival order differs from event time,review_required,preserve_both_and_reconcile,event_ids_times_and_versions,system owner,replay under conflict policy,No event is silently dropped,"Fictional event stream",Birch,Arrival is not authority
FSG-T021,Advanced,duplicate_effect,Two different keys,Same source request duplicated,exception_open,link_possible_duplicates,source_hash_keys_and_downstream_ids,workflow owner,contain and reconcile every effect,Idempotency scope is explicit,"No provider performance claim",Cedar,Key alone is not global dedupe
FSG-T022,Advanced,ledger_link,Posted journal lacks family ID,Amount has many candidates,unmatched,quarantine_candidate_links,journal_and_candidate_families,accounting owner,add approved link without overwrite,No guessed family is selected,"Fictional ledger",Delta,Traceability must be durable
FSG-T023,Advanced,independent_evidence,Provider report and ledger agree,Bank evidence not applicable by policy,review_required,record exact not-applicable basis,policy_scope_and_sources,reconciler,obtain reviewer disposition,Missing and not applicable differ,"No universal bank requirement",Echo,Scope is governed
