correction_record_id,correction_id,portfolio_id,facility_id,subject_id,fact_path,superseded_assertion_id,governing_assertion_id,prior_value_or_hash,corrected_value_or_hash,reason_code,authority_id,authority_scope,discovered_at,effective_at,recorded_at,dependency_snapshot_id,consumer_id,consumer_class,prior_use_state,consequence_class,disposition,transformation_or_version,idempotency_key,precondition_or_checkpoint,execution_state,execution_receipt,executed_at,readback_method,readback_state,readback_value_or_hash,rollback_or_compensation,residual_state,residual_owner,next_review_at,fictional_flag,evidence_boundary
CPR-FIC-001,COR-FIC-001,PORT-FICTIONAL-A,FAC-FIC-004,FAC-FIC-004,facility.access_hours,ASSERT-FIC-1001,ASSERT-FIC-1002,24_7,06_00_22_00,source_mismatch,fictional-facility-operations-owner,access-hour assertion for fictional facility,2026-08-19T13:00:00Z,2026-08-01T00:00:00Z,2026-08-19T13:05:00Z,DEP-FIC-029,fictional-facility-master,governing_source,current_serving,high,replace,record-schema-7.2,IDEM-FIC-COR001-SOURCE,etag-fic-881,executed,RECEIPT-FIC-001,2026-08-19T14:00:00Z,qualified source read,matched,06_00_22_00,restore predecessor only if authority revokes candidate,none,fictional-data-owner,2026-09-19T14:00:00Z,yes,"Fictional teaching record; not evidence of real hours access settings or a deployed system"
CPR-FIC-002,COR-FIC-001,PORT-FICTIONAL-A,FAC-FIC-004,FAC-FIC-004,facility.access_hours,ASSERT-FIC-1001,ASSERT-FIC-1002,24_7,06_00_22_00,source_mismatch,fictional-facility-operations-owner,access-hour assertion for fictional facility,2026-08-19T13:00:00Z,2026-08-01T00:00:00Z,2026-08-19T13:05:00Z,DEP-FIC-029,fictional-public-hours-cache,replica_or_read_model,serving_predecessor,medium,invalidate,cache-layout-3.0,IDEM-FIC-COR001-CACHE,cache-key-version-fic-17,executed,RECEIPT-FIC-002,2026-08-19T14:03:00Z,fresh uncached GET,matched,06_00_22_00,rebuild prior cache only after source rollback,none,fictional-web-owner,2026-08-20T14:03:00Z,yes,"Fictional teaching record; HTTP cache readback does not prove every public directory changed"
CPR-FIC-003,COR-FIC-001,PORT-FICTIONAL-A,FAC-FIC-004,FAC-FIC-004,facility.access_hours,ASSERT-FIC-1001,ASSERT-FIC-1002,24_7,06_00_22_00,source_mismatch,fictional-facility-operations-owner,access-hour assertion for fictional facility,2026-08-19T13:00:00Z,2026-08-01T00:00:00Z,2026-08-19T13:05:00Z,DEP-FIC-029,fictional-call-center-export,derived_information,generated_with_predecessor,high,recompute,export-transform-fic-12,IDEM-FIC-COR001-EXPORT,source-version-fic-18,executed,RECEIPT-FIC-003,2026-08-19T14:10:00Z,export row and manifest check,matched,06_00_22_00,restore export-fic-11 if candidate revoked,none,fictional-report-owner,2026-08-20T14:10:00Z,yes,"Fictional teaching record; not call-center deployment delivery or customer-impact evidence"
CPR-FIC-004,COR-FIC-001,PORT-FICTIONAL-A,FAC-FIC-004,FAC-FIC-004,facility.access_hours,ASSERT-FIC-1001,ASSERT-FIC-1002,24_7,06_00_22_00,source_mismatch,fictional-facility-operations-owner,access-hour assertion for fictional facility,2026-08-19T13:00:00Z,2026-08-01T00:00:00Z,2026-08-19T13:05:00Z,DEP-FIC-029,fictional-retrieval-chunk-884,ai_context,eligible_for_current_answers,high,invalidate,retrieval-manifest-fic-22,IDEM-FIC-COR001-RAG,index-checkpoint-fic-991,executed,RECEIPT-FIC-004,2026-08-19T14:18:00Z,current-state retrieval probe,matched,ASSERT-FIC-1002,revert retrieval manifest to prior snapshot,none,fictional-ai-context-owner,2026-08-20T14:18:00Z,yes,"Fictional teaching record; retrieval probe is not model truth safety or production-fitness evidence"
CPR-FIC-005,COR-FIC-001,PORT-FICTIONAL-A,FAC-FIC-004,FAC-FIC-004,facility.access_hours,ASSERT-FIC-1001,ASSERT-FIC-1002,24_7,06_00_22_00,source_mismatch,fictional-facility-operations-owner,access-hour assertion for fictional facility,2026-08-19T13:00:00Z,2026-08-01T00:00:00Z,2026-08-19T13:05:00Z,DEP-FIC-029,fictional-message-774,communication_or_public_surface,already_sent,high,notify,message-template-fic-6,IDEM-FIC-COR001-NOTICE,recipient-scope-approved,authorized,,2026-08-19T15:00:00Z,sent-item plus delivery-state ledger,pending,notice-not-yet-sent,do not erase original sent record,open,fictional-communications-owner,2026-08-20T15:00:00Z,yes,"Fictional teaching record; authorization is not send delivery receipt response or resolution"
CPR-FIC-006,COR-FIC-002,PORT-FICTIONAL-A,FAC-FIC-002,UNIT-FIC-220,unit.availability_state,ASSERT-FIC-1101,ASSERT-FIC-1102,available,administrative_hold,late_source_event,fictional-inventory-authority,fictional unit-state correction,2026-08-20T10:00:00Z,2026-08-20T08:30:00Z,2026-08-20T10:02:00Z,DEP-FIC-030,fictional-rental-eligibility-workflow,workflow_or_automation,pending_candidate,critical,quarantine,eligibility-policy-fic-9,IDEM-FIC-COR002-ELIG,workflow-version-fic-551,executed,RECEIPT-FIC-006,2026-08-20T10:05:00Z,workflow state query,matched,quarantined,resume only after qualified governing assertion,none,fictional-workflow-owner,2026-08-20T12:00:00Z,yes,"Fictional teaching record; not a real unit access rental or legal determination"
CPR-FIC-007,COR-FIC-002,PORT-FICTIONAL-A,FAC-FIC-002,UNIT-FIC-220,unit.availability_state,ASSERT-FIC-1101,ASSERT-FIC-1102,available,administrative_hold,late_source_event,fictional-inventory-authority,fictional unit-state correction,2026-08-20T10:00:00Z,2026-08-20T08:30:00Z,2026-08-20T10:02:00Z,DEP-FIC-030,fictional-daily-availability-report,derived_information,released_with_predecessor,medium,retract,report-transform-fic-4,IDEM-FIC-COR002-REPORT,report-hash-fic-old,executed,RECEIPT-FIC-007,2026-08-20T10:11:00Z,report manifest status,matched,retracted,publish corrected report under new artifact ID,none,fictional-report-owner,2026-08-21T10:11:00Z,yes,"Fictional teaching record; no inventory occupancy or commercial result is established"
CPR-FIC-008,COR-FIC-003,PORT-FICTIONAL-B,FAC-FIC-007,TXN-FIC-882,ledger.posting_state,ASSERT-FIC-1201,ASSERT-FIC-1202,posted,reversed,source_reversal,fictional-accounting-authority,fictional ledger-state assertion only,2026-08-20T16:00:00Z,2026-08-20T15:40:00Z,2026-08-20T16:01:00Z,DEP-FIC-031,fictional-net-receipts-draft,derived_information,unreleased_draft,critical,recompute,financial-transform-fic-2,IDEM-FIC-COR003-DRAFT,ledger-snapshot-fic-66,held,,2026-08-20T16:15:00Z,qualified draft comparison,pending,not-recomputed,retain predecessor draft as restricted audit artifact,open,fictional-accounting-reviewer,2026-08-20T18:00:00Z,yes,"Fictional teaching record; not revenue cash accounting valuation or financial-statement evidence"
CPR-FIC-009,COR-FIC-003,PORT-FICTIONAL-B,FAC-FIC-007,TXN-FIC-882,ledger.posting_state,ASSERT-FIC-1201,ASSERT-FIC-1202,posted,reversed,source_reversal,fictional-accounting-authority,fictional ledger-state assertion only,2026-08-20T16:00:00Z,2026-08-20T15:40:00Z,2026-08-20T16:01:00Z,DEP-FIC-031,fictional-manager-briefing,communication_or_public_surface,already_delivered,critical,cannot_reverse,briefing-template-fic-3,IDEM-FIC-COR003-BRIEF,recipient-list-fic-restricted,escalated,,2026-08-20T16:16:00Z,owner disposition record,pending,delivery-cannot-be-reversed,issue bounded correction note if authorized,open,fictional-financial-communications-owner,2026-08-20T17:00:00Z,yes,"Fictional teaching record; no actual message recipient delivery impact or financial conclusion"
CPR-FIC-010,COR-FIC-004,PORT-FICTIONAL-B,FAC-FIC-006,SENSOR-FIC-091,sensor.unit_mapping,ASSERT-FIC-1301,ASSERT-FIC-1302,UNIT-FIC-610,UNIT-FIC-611,identity_mapping_error,fictional-device-data-owner,fictional sensor-to-unit mapping,2026-08-21T09:00:00Z,2026-08-18T00:00:00Z,2026-08-21T09:04:00Z,DEP-FIC-032,fictional-alert-history,derived_information,contains_misattributed_rows,high,annotate,alert-transform-fic-14,IDEM-FIC-COR004-HIST,history-snapshot-fic-801,executed,RECEIPT-FIC-010,2026-08-21T09:30:00Z,affected-row annotation query,matched,correction-link-present,preserve immutable original plus correction link,none,fictional-device-data-owner,2026-08-22T09:30:00Z,yes,"Fictional teaching record; not evidence of a real sensor alarm safety event or facility condition"
