source_id,source_title,publisher,source_url,source_type,publication_or_version_date,checked_at_utc,claim_supported,limitations
CPC-SRC-001,PROV-DM: The PROV Data Model,W3C,https://www.w3.org/TR/2013/REC-prov-dm-20130430/,Pinned W3C Recommendation,2013-04-30,2026-08-22T21:54:46Z,"Defines entities activities derivations agents generation use invalidation revision and provenance bundles for describing how one thing was produced or changed.","Domain-agnostic provenance model; does not discover a self-storage correction select affected consumers require recomputation or prove implementation truth."
CPC-SRC-002,Constraints of the PROV Data Model,W3C,https://www.w3.org/TR/2013/REC-prov-constraints-20130430/,Pinned W3C Recommendation,2013-04-30,2026-08-22T21:54:46Z,"Provides constraints and valid inferences for PROV descriptions including temporal ordering around generation use and invalidation.","Valid provenance constraints do not establish that a facility fact is true corrected complete authorized or safe for a decision."
CPC-SRC-003,PROV-O: The PROV Ontology,W3C,https://www.w3.org/TR/2013/REC-prov-o-20130430/,Pinned W3C Recommendation,2013-04-30,2026-08-22T21:54:46Z,"Provides interoperable terms for entities activities agents derivation invalidation revision and qualified provenance relations.","Vocabulary interoperability is not a correction workflow dependency inventory or operational control."
CPC-SRC-004,Data on the Web Best Practices,W3C,https://www.w3.org/TR/2017/REC-dwbp-20170131/,Pinned W3C Recommendation,2017-01-31,2026-08-22T21:54:46Z,"Recommends provenance version indicators version history persistent identifiers and documented data-quality and update practices.","Web-data publication guidance does not prescribe private facility-system correction propagation or prove any dataset current."
CPC-SRC-005,RFC 6902: JavaScript Object Notation JSON Patch,RFC Editor,https://www.rfc-editor.org/rfc/rfc6902.html,IETF Standards Track RFC,2013-04,2026-08-22T21:54:46Z,"Defines ordered add remove replace move copy and test operations for applying a patch to a target JSON document.","A syntactically successful patch does not prove source authority semantic correctness downstream recomputation or public correction."
CPC-SRC-006,RFC 9110: HTTP Semantics Section 13.1.1 If-Match,RFC Editor,https://www.rfc-editor.org/rfc/rfc9110.html#name-if-match,Internet Standard,2022-06,2026-08-22T21:54:46Z,"Defines If-Match preconditions using entity tags to prevent an unsafe method from overwriting a representation that has changed.","HTTP preconditions govern a selected resource interaction; they do not inventory derived facility records or reconcile external consumers."
CPC-SRC-007,RFC 9111: HTTP Caching Section 4.4 Invalidation,RFC Editor,https://www.rfc-editor.org/rfc/rfc9111.html#name-invalidation,Internet Standard,2022-06,2026-08-22T21:54:46Z,"Defines cache invalidation behavior after successful unsafe requests and the scope of stored responses that become invalid.","HTTP cache invalidation is narrower than invalidating reports embeddings forecasts exports messages or completed operating actions."
CPC-SRC-008,Apache Kafka 4.2 Design: Log Compaction,Apache Software Foundation,https://kafka.apache.org/42/design/design/,Versioned official documentation,4.2,2026-08-22T21:54:46Z,"Explains keyed log compaction delete tombstones offset ordering and the limited retention window in which a full consumer can observe deletion markers.","Kafka 4.2 documentation is now an older product version and describes broker semantics rather than a complete business correction or consumer readback protocol."
CPC-SRC-009,Apache Iceberg Table Specification,Apache Software Foundation,https://iceberg.apache.org/spec/,Official mutable specification page; stable versions distinguished,checked 2026-08-22,2026-08-22T21:54:46Z,"Documents snapshots optimistic concurrency sequence numbers row-level deletes and retained table history; versions 1 through 3 are complete while version 4 is under active development.","The page is mutable and its version 4 line is work in progress; table-format mechanics do not establish application-level correction completeness or retention authority."
CPC-SRC-010,JSON Schema Core Draft 2020-12,JSON Schema,https://json-schema.org/draft/2020-12/json-schema-core,Official versioned specification,2022-06-16,2026-08-22T21:54:46Z,"Defines a versioned JSON schema vocabulary and processing model suitable for structurally validating a correction packet.","Structural schema validity does not establish fact truth source authority dependency completeness execution safety or outcome correctness."
CPC-SRC-011,Artificial Intelligence Risk Management Framework AI RMF 1.0,NIST,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,U.S. government voluntary framework,2023-01-26,2026-08-22T21:54:46Z,"Frames AI risk management across Govern Map Measure and Manage with lifecycle documentation monitoring and accountability considerations.","Voluntary framework; not a certification product validation self-storage rule legal conclusion or proof that a correction reached an AI system."
CPC-SRC-012,Artificial Intelligence Risk Management Framework Generative Artificial Intelligence Profile NIST AI 600-1,NIST,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,U.S. government voluntary profile,2024-07-26,2026-08-22T21:54:46Z,"Adds generative-AI risk actions involving source and citation verification data provenance monitoring feedback incident response and information-integrity risks.","Voluntary cross-sector profile; does not prescribe a facility correction architecture certify a model or establish legal safety privacy or performance compliance."
