test_id,level,test_family,object_under_test,precondition,input_change,expected_analysis_state,expected_severity,expected_result_path,expected_remediation,actual_state,evidence_reference,owner,notes
CDL-T001,Beginner,identity,decision record,Decision ID is present,Remove decision_id,refuse,error,decision_id,Assign one stable decision identity,,,decision-owner,"A dashboard row is not a decision identity"
CDL-T002,Beginner,context,context snapshot,Snapshot precedes decision,Replace with after-the-fact current export,refuse,error,context_snapshot_id,Restore the exact decision-time snapshot or downgrade evidence,,,data-owner,"Later corrections can create leakage"
CDL-T003,Beginner,candidate set,decision packet,Three eligible actions existed,Record only model top choice,refuse,error,candidate_set_id,Record complete eligible candidate set and exclusions,,,policy-owner,"Top-one logging hides support"
CDL-T004,Beginner,eligibility,candidate action,Action is excluded by policy,Label it not selected,refuse,error,eligibility_state,Record ineligible with reason and authority,,,policy-owner,"Ineligible differs from unchosen"
CDL-T005,Beginner,score semantics,recommendation,Score is present,Leave score meaning blank,refuse,error,score_semantics,Define whether score is rank probability utility or other quantity,,,model-owner,"A number without semantics is unusable"
CDL-T006,Beginner,exposure,recommendation,Backend generated output,Mark it visible without display evidence,downgrade,error,display_state,Record generation and exposure separately,,,interface-owner,"Generated is not displayed"
CDL-T007,Beginner,choice,decision disposition,One action is selected,Mark two actions chosen,refuse,critical,chosen_action,Reconcile to the single decision or split decision identities,,,decision-owner,"Multi-action workflows need an explicit compound decision model"
CDL-T008,Beginner,execution,chosen action,Action was selected,Copy selection into executed state,refuse,error,execution_state,Require downstream acceptance and independent readback as appropriate,,,operations-owner,"Choice is not execution"
CDL-T009,Beginner,outcome,unchosen action,Action was not executed,Attach observed outcome value,refuse,critical,outcome_observation_state,Remove value and mark counterfactual not observed,,,analysis-owner,"Never invent the road not taken"
CDL-T010,Beginner,outcome definition,outcome record,Outcome name exists,Leave numerator denominator or window undefined,refuse,error,outcome_definition_id,Version a complete outcome contract before analysis,,,measurement-owner,"Resolved quickly is not a metric"
CDL-T011,Intermediate,time,decision packet,Times are captured,Use only local wall-clock strings,downgrade,error,decision_time_utc,Record UTC instant plus governed local timezone where needed,,,data-owner,"Ambiguous times break ordering"
CDL-T012,Intermediate,versioning,recommender,Model ID is present,Replace exact version with latest,refuse,error,recommender_id_version,Pin exact model and policy versions,,,model-owner,"Latest is not reproducible"
CDL-T013,Intermediate,policy version,decision packet,Policy determined eligibility,Remove policy version,refuse,error,policy_id_version,Record exact policy applied at decision time,,,policy-owner,"Current policy may differ from decision-time policy"
CDL-T014,Intermediate,reason code,human override,Reviewer rejects recommendation,Leave reason blank,downgrade,warning,choice_reason_code,Require bounded code with optional attributed note,,,review-owner,"Disagreement without context is hard to diagnose"
CDL-T015,Intermediate,authority,human choice,Choice affects operational order,Use account identity as authority,refuse,critical,choice_authority,Resolve eligible decision authority separately from access,,,governance-owner,"Capability is not authority"
CDL-T016,Intermediate,readback,execution record,Downstream reports accepted,Call action observed complete,downgrade,critical,execution_readback,Obtain independent state evidence or mark unverified,,,operations-owner,"Acceptance is not readback"
CDL-T017,Intermediate,censoring,outcome record,Observation ends early,Record failure instead of censoring,refuse,error,censoring_or_co_interventions,Apply predeclared censoring rule and sensitivity review,,,measurement-owner,"Censoring can bias comparisons"
CDL-T018,Intermediate,co-intervention,outcome window,Staffing changed during window,Leave co-intervention blank,downgrade,warning,censoring_or_co_interventions,Record change and evaluate analytic consequence,,,measurement-owner,"Recording does not automatically adjust for it"
CDL-T019,Intermediate,denominator,shadow report,100 recommendations were generated,Report 90 percent agreement from 90 reviewed rows without denominator states,refuse,error,analysis_eligibility,Report generated exposed eligible reviewed and disposed denominators,,,analysis-owner,"Missing rows can be selected"
CDL-T020,Intermediate,claim label,shadow report,Only descriptive shadow data exist,Use would have improved language,refuse,critical,analysis_eligibility,Rewrite as descriptive compatibility or disagreement finding,,,editorial-owner,"Shadow mode does not prove causal value"
CDL-T021,Advanced,propensity,logging policy,Action probability is required,Use model outcome score as propensity,refuse,critical,action_probability,Use probability actually assigned by the historical selection policy,,,method-owner,"Prediction score and action propensity differ"
