gate_id,level,control,operator_question,minimum_evidence,stop_condition,release_condition,owner,next_review
CAL-001,Beginner,Decision scope,What exact decision or queue can this score change?,Named decision audience consequence and prohibited uses,Decision or consequence is unnamed,Permitted use and excluded uses are recorded,Operating owner,Before first use or scope change
CAL-002,Beginner,Outcome contract,What exact event is the model trying to predict?,Positive event unit of analysis window exclusions and label authority,Positive outcome differs by site or is ambiguous,Outcome definition is shared or differences are explicitly bounded,Data owner,After label or workflow change
CAL-003,Beginner,Score meaning,Is the number a probability rank rules score or another output?,Model documentation and interface wording,Score meaning is unknown or a rank is displayed as a probability,Meaning is defined and the interface uses matching language,Model owner,After model or presentation change
CAL-004,Intermediate,Model identity,Which model feature set and version produced the score?,Model ID version feature contract and deployment time,Model or feature version cannot be reproduced,Exact version and feature contract are recorded,Model owner,After every model or feature release
CAL-005,Intermediate,Evaluation population,Which records sites and operating conditions were evaluated?,Period eligible records settled outcomes exclusions and site conditions,Evaluation data do not resemble the permitted deployment setting,Population and deployment boundary are aligned or use is narrowed,Evaluation owner,Every evaluation cycle
CAL-006,Intermediate,Local sufficiency,Is there enough settled evidence for this site or supported site group?,Counts of eligible positive negative unresolved corrected and excluded records,Sample is too small unstable or unresolved for the claimed use,Local or group evidence supports the bounded conclusion,Evaluation owner,When additional outcomes mature
CAL-007,Advanced,Threshold evidence,What performance is observed at the selected threshold?,Threshold-specific precision recall error counts and evaluation window,Only an overall score or different threshold is reported,Measures match the exact threshold population and use,Model owner,After threshold or evaluation change
CAL-008,Advanced,Error consequences,What happens after a false positive or false negative?,Consequence map review burden customer impact safety and correction route,Material consequence has no owner or release control,Error costs and proportional review are recorded,Operating owner,After consequence or workflow change
CAL-009,Advanced,Site and group review,Who or what is systematically over-selected delayed or missed?,Site-level and relevant group results with limitations,Average performance hides a material unsupported subgroup or site condition,Known differences are measured bounded and assigned,Governance owner,Each monitoring cycle
CAL-010,Expert,Human authority,Who reviews and who may release the resulting action?,Named reviewer approver and handback rule,Model output can trigger consequential work without required authority,Review and release authority match the decision class,Operating owner,After role or authority change
CAL-011,Expert,Drift and revalidation,What change invalidates the current calibration?,Triggers for model feature label population threshold and operating-condition change,Trigger occurred without revalidation,Current evidence covers the changed condition or use is held,Model and operating owners,Continuous monitoring plus trigger
CAL-012,Expert,Correction and rollback,How are wrong labels thresholds displays and downstream decisions corrected?,Versioned correction path affected-decision trace rollback owner and readback,Material error cannot be traced or corrected,Correction method rollback boundary and completion evidence are recorded,Governance owner,After every material correction
