test_id,level,area,fictional_scenario,expected_result,prohibited_promotion,operator_action,architect_control,evidence_boundary,pass_condition
FOC-T001,Beginner,claim_scope,One water pad reports active while the question asks whether the entire building is flooding,Record the pad observation and mark building extent unknown,Do not promote one point to a building-wide condition,Route a bounded inspection,Bind claim footprint and denominator to each source,Fictional teaching case only,The system preserves the narrow claim and blocks the broad claim
FOC-T002,Beginner,claim_mode,A vendor portal says camera connected,Label the statement declared,Do not label connectivity directly observed visual coverage,Review only service health,Store claim mode and producer identity,Fictional teaching case only,Declared and observed remain different
FOC-T003,Beginner,unknown_state,No eligible source exists for lane clearance,Return unknown,Do not replace unknown with clear,Require qualified local observation,Make unknown a valid typed state,Fictional teaching case only,The workflow remains open with an owner
FOC-T004,Beginner,unit,A value arrives as 72 with no unit,Block decision use,Do not infer Fahrenheit,Ask source owner for field definition,Require unit in source and claim contract,Fictional teaching case only,Unitless values cannot become decision-ready
FOC-T005,Beginner,time,A dashboard tile has no observation timestamp,Label freshness unknown,Do not call the value current,Open source-quality exception,Require source observed and received times,Fictional teaching case only,Current state is not claimed
FOC-T006,Beginner,denominator,Five of six expected climate probes report,Label result partial with five-of-six denominator,Do not report complete zone coverage,Inspect missing probe and scope output,Join observations to lifecycle-aware inventory,Fictional teaching case only,Partial evidence exposes its denominator
FOC-T007,Beginner,silence,No forced-door event appears but path health is absent,Return unknown interval,Do not claim no event occurred,Check controller and export health,Require completeness evidence for negative claims,Fictional teaching case only,Silence does not become absence
FOC-T008,Beginner,quality,Source reports uncertain quality,Preserve uncertain and mark indeterminate for consequential use,Do not coerce uncertain to good,Escalate under source procedure,Carry native quality end to end,Fictional teaching case only,Native quality remains visible
FOC-T009,Intermediate,identity,A replacement probe reuses the old display label,Block the continuity claim,Do not join old and new device histories by label,Resolve immutable device and lifecycle IDs,Version target identity and lifecycle,Fictional teaching case only,Histories remain separated
FOC-T010,Intermediate,sampling,A one-minute metric is reaggregated to fifteen minutes,Record the transformation and supported interval,Do not describe each minute from the aggregate,Use aggregate only for allowed question,Preserve input window and aggregation rule,Fictional teaching case only,Resolution loss is explicit
FOC-T011,Intermediate,change_filter,A door contact sends only state changes and no periodic snapshot,Mark a quiet window incomplete for point-in-time state,Do not infer closed from no event,Request current read or add snapshot,Contract event and snapshot behavior,Fictional teaching case only,No-event and current-state queries differ
FOC-T012,Intermediate,retained_message,An MQTT subscriber receives a retained dry value after reconnect,Label retained source time and freshness,Do not call it a new dry observation,Wait for a current producer event or inspection,Preserve retained flag and producer timestamp,Fictional teaching case only,Retained and current values remain distinct
FOC-T013,Intermediate,keep_alive,The broker connection remains alive while a sensor process is stuck,Record transport availability only,Do not promote keep alive to sensor health,Check producer sequence or independent health,Separate connection and producer-health claims,Fictional teaching case only,Path layers retain bounded meaning
