test_id,level,domain,fictional_scenario,required_evidence,expected_state,required_action,forbidden_inference,fictional,evidence_boundary
FIC-TEST-001,Beginner,State separation,AI proposal exists but no approval,Proposal ID and actor only,proposed,Hold dispatch,Proposal is authorized,true,Fictional conformance case only
FIC-TEST-002,Beginner,Authority,Operator login exists but delegated scope is unknown,Identity and access evidence without delegation,qualified_failed,Resolve accountable authority,Login access proves business authority,true,Fictional conformance case only
FIC-TEST-003,Beginner,Dispatch,Command object was constructed locally,Payload hash and local timestamp,dispatched_unproven,Verify target dispatch,Command reached target,true,Fictional conformance case only
FIC-TEST-004,Beginner,Receipt,HTTP response is 200,Native response and endpoint identity,accepted,Preserve bounded receipt,Physical effect occurred,true,Fictional conformance case only
FIC-TEST-005,Beginner,Readback,Response echoes requested value,Request and response bytes,effect_unverified,Use allowed observation path,Echo is independent readback,true,Fictional conformance case only
FIC-TEST-006,Beginner,Closure,Target reports execution but no governing-state reconciliation,Target execution receipt,reconciliation_pending,Reconcile governing state,Execution receipt proves closure,true,Fictional conformance case only
FIC-TEST-007,Beginner,Temporary change,Entry effect observed but restoration not read back,Entry observation only,restoration_pending,Read back restoration,Temporary effect ended on schedule,true,Fictional conformance case only
FIC-TEST-008,Beginner,Outcome language,One receipt is marked success,Native receipt and grade,accepted,Use typed evidence state,Success means all boundaries passed,true,Fictional conformance case only
FIC-TEST-009,Intermediate,Identity,Display name maps to two facility targets,Alias records and target identifiers,qualified_failed,Resolve immutable target,Display name is sufficient,true,Fictional conformance case only
FIC-TEST-010,Intermediate,Freshness,Approval uses a stale device-health record,Source timestamp and threshold,qualified_failed,Refresh or cancel,Past healthy state proves current readiness,true,Fictional conformance case only
FIC-TEST-011,Intermediate,Version conflict,Governing schedule changed after approval,Approved version and current version,superseded,Requalify and reauthorize,Old approval covers the new version,true,Fictional conformance case only
FIC-TEST-012,Intermediate,Expiry,Command arrives after authorization expiry,Signed expiry and target receipt time,expired_before_execution,Reject without effect,Authorized once means authorized later,true,Fictional conformance case only
FIC-TEST-013,Intermediate,Idempotency,Relative extend command is retried,Attempt identities and operational-effect analysis,retry_blocked,Read governing state before new action,HTTP retry semantics prevent accumulated duration,true,Fictional conformance case only
FIC-TEST-014,Intermediate,Deduplication,Same idempotency key has different payload hash,Key payload hashes and attempt records,conflict,Quarantine both attempts,Shared key makes commands equivalent,true,Fictional conformance case only
FIC-TEST-015,Intermediate,MQTT,QoS 1 PUBACK is received,Packet and broker receipt,accepted,Rely on later target and effect evidence,PUBACK proves device execution,true,Fictional conformance case only
FIC-TEST-016,Intermediate,OPC UA,Service result is Good and one operation is Bad,Service and operation StatusCodes,partial_failed,Inspect each operation,Service success means every operation succeeded,true,Fictional conformance case only
FIC-TEST-017,Intermediate,Clamp,Controller returns Good Clamped,Native qualifier expected and applied values,executed_clamped,Compare with authorization and read back,Clamped result equals requested result,true,Fictional conformance case only
FIC-TEST-018,Intermediate,Asynchronous,Target reports completes asynchronously,Receipt job identity and deadline,execution_pending,Await typed completion and readback,Acceptance proves eventual effect,true,Fictional conformance case only
FIC-TEST-019,Intermediate,Observation time,Observation predates dispatch,Observed-at and dispatch timestamps,effect_unverified,Reject stale observation,Latest-arriving value is postcondition evidence,true,Fictional conformance case only
FIC-TEST-020,Intermediate,Tolerance,Observed value is outside authorized tolerance,Expected observed unit and tolerance,effect_mismatch,Stop or compensate,Near enough without a defined tolerance,true,Fictional conformance case only
FIC-TEST-021,Advanced,Clock quality,Command and observation clocks have unknown offset,Clock sources and uncertainty,effect_unverified,Bound or resolve time uncertainty,Timestamps are comparable because formats match,true,Fictional conformance case only
FIC-TEST-022,Advanced,Shared failure mode,Readback comes from command service cache,Observation provenance and dependency path,I1_only,Select stronger readback for consequence,Read after write is independent,true,Fictional conformance case only
FIC-TEST-023,Advanced,Sensor quality,Independent sensor is in uncertain state,Value status calibration and quality,effect_conflict,Route to qualified review,Independent source is automatically trustworthy,true,Fictional conformance case only
FIC-TEST-024,Advanced,Conflicting readback,Controller says on and current sensor says off,Both observations with source identity,effect_conflict,Preserve conflict and stop closure,Choose the more convenient value,true,Fictional conformance case only
FIC-TEST-025,Advanced,Out-of-order data,Older observation arrives after newer observation,Observed-at received-at and sequence,effect_unverified,Order by governed semantics,Arrival order proves event order,true,Fictional conformance case only
FIC-TEST-026,Advanced,Partial target,Three of four doors apply a schedule,Per-operation results and target list,partial_effect,Contain and reconcile each target,Portfolio command success is atomic,true,Fictional conformance case only
FIC-TEST-027,Advanced,Manual override,Local override activates after dispatch,Override event authority and time,superseded,Stop or requalify,Automation retains priority,true,Fictional conformance case only
FIC-TEST-028,Advanced,Partition,Command result is unknown after network loss,Attempt and last confirmed state,unknown_effect,Do not blind retry consequential action,No response means no effect,true,Fictional conformance case only
FIC-TEST-029,Advanced,Persistence,Postcondition matches once but fails required duration,Observation series and duration,effect_mismatch,Open exception or compensate,One sample proves persistent effect,true,Fictional conformance case only
