test_id,level,control_area,scenario,input_condition,expected_state,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
WOC-T001,Beginner,state_meaning,Action note only,Note says reset controller,executed,do_not_close,source_note_and_state_dictionary,facility_manager,restore_prior_status,Record advances no farther than execution,"No repair or performance claim",Alder,Action is not verification
WOC-T002,Beginner,identity,Ambiguous asset,Photo lacks asset reference,review_required,stop_identity_match,asset_register_and_original_report,facility_manager,keep_work_order_open,No evidence from another asset is admitted,"Fictional case only",Alder,Identity precedes closure
WOC-T003,Beginner,duplicates,Duplicate report,Exact governing work order exists,closed_duplicate,link_governing_record,duplicate_match_and_governing_id,queue_owner,reopen_duplicate_if_match_fails,Duplicate closes without closing governing work,"No issue-resolution claim",Alder,Use bounded reason
WOC-T004,Beginner,assignment,Assigned not accepted,Owner field populated but no acceptance,assigned,seek_acceptance,assignment_record_and_receipt,dispatcher,reassign_under_policy,Queue exposes unaccepted assignment,"No provider delivery claim",Birch,Do not infer acceptance
WOC-T005,Beginner,execution,Vendor says done,Vendor message only,executed,request_verification,exact_message_and_scope,facility_manager,return_to_in_progress,Message is preserved without promotion,"No independent verification claim",Birch,Vendor is execution source
WOC-T006,Beginner,verification,Looks good note,No declared expected result,review_required,define_or_recover_contract,approved_verification_template,verifier,hold_at_executed,Closure requires a concrete acceptance condition,"No universal test claim",Cedar,Avoid retrospective invention
WOC-T007,Beginner,dependency,Temporary sign remains,Physical work passed,verified,keep_dependency_open,dependency_id_and_owner,facility_manager,restore_temporary_control_if_needed,Record does not close while required removal is open,"Fictional workflow",Cedar,Physical completion differs
WOC-T008,Beginner,reason_code,Canceled before work,Authorized cancellation exists,closed_canceled,use_bounded_reason,authorization_and_no_execution_evidence,queue_owner,reopen_if_execution_evidence_appears,Canceled is distinguishable from resolved,"No outcome claim",Delta,One closed bucket is insufficient
WOC-T009,Beginner,reopen,Condition recurs,New report matches prior asset,reopened_or_linked,preserve_prior_closure,new_observation_and_link,facility_manager,create_new_version_under_policy,History remains reconstructable,"Recurrence is not proof prior fraud",Delta,Define local reopen rule
WOC-T010,Intermediate,consequence_band,Routine item,Policy allows same-person verification,verified,record_dual_role,policy_version_and_test,site_manager,reopen_on_audit_exception,Role combination is transparent,"No safety conclusion",Echo,Policy must allow it
WOC-T011,Intermediate,consequence_band,Consequential access change,Executor attempts self-verification,executed,route_independent_review,consequence_policy_and_executor_id,operations_lead,restore_prior_configuration,Independent verifier gate holds,"No access-system performance claim",Echo,Higher band changes behavior
WOC-T012,Intermediate,waiver,Required photo unavailable,Authorized temporary waiver is proposed,review_required,record_waiver_scope_and_expiry,waiver_record_and_follow_up_id,closure_authority,reopen_or_expire_waiver,Missing condition is not shown as passed,"Waiver is not certification",Foxtrot,No hidden pass
WOC-T013,Intermediate,scope,Partial repair,Original report contains two conditions,partially_completed,split_follow_up_scope,execution_evidence_and_new_id,facility_manager,recombine_only_with_authority,Closed scope is exact and remainder has identity,"No full-repair claim",Foxtrot,Prevent scope inflation
WOC-T014,Intermediate,unable_to_reproduce,Symptom absent,Approved test passes once,executed_unable_to_reproduce,start_observation_window,test_record_and_window_id,facility_manager,reopen_on_recurrence,No diagnosis or repair is invented,"Fictional scenario",Alder,Absence is bounded evidence
WOC-T015,Intermediate,financial_dependency,Invoice arrives first,No execution readback exists,assigned_or_executed,keep_operating_gate_open,invoice_and_execution_source,facility_manager,reverse_premature_status,Financial record cannot satisfy verification,"No payment decision guidance",Birch,Separate financial state
WOC-T016,Intermediate,customer_follow_up,Repair verified,Required customer notification open,verified,retain_dependency,notification_task_id_and_owner,site_manager,transfer_with_named_record,Closure packet shows downstream owner,"No customer-result claim",Cedar,Reconciliation is explicit
WOC-T017,Intermediate,temporary_control,Barrier near expiry,Follow-up replacement open,reconciled,escalate_before_expiry,control_id_expiry_and_owner,operations_lead,extend_or_replace_under_authority,Expiry cannot pass silently,"No safety adequacy claim",Delta,Time-bound controls
WOC-T018,Intermediate,metrics,Closure rate requested,Population and reasons are missing,unknown,withhold_rate,numerator_denominator_period_source,analyst,republish_with_definition,Metric cannot be confused with resolution rate,"No benchmark claim",Echo,Define denominator
WOC-T019,Advanced,automation,Confident language classifier,Model scores done at 0.99,executed,draft_packet_only,source_span_model_version_and_fields,workflow_owner,revert_suggested_transition,Confidence cannot create missing evidence,"No model-accuracy claim",Foxtrot,Assembler not authority
WOC-T020,Advanced,automation,Duplicate candidate,Similarity is high but asset differs,review_required,block_auto_merge,identity_fields_and_match_features,data_steward,unlink_candidate,No cross-asset merge occurs,"Fictional test",Alder,Semantic similarity is insufficient
WOC-T021,Advanced,versioning,Closure rule changes,Old record evaluated under prior contract,closed_under_prior_version,preserve_original_evaluation,contract_versions_and_decision_time,governance_owner,recompute_only_as_labeled_analysis,History shows original and later analysis separately,"No retrospective compliance claim",Birch,Do not rewrite history
WOC-T022,Advanced,provenance,Attachment replaced,Same filename new bytes,review_required,invalidate_prior_reference,hash_versions_and_uploader,records_owner,restore_prior_version,Closure packet binds exact evidence version,"No authenticity claim",Cedar,Filename is not identity
WOC-T023,Advanced,authority,Verifier role revoked,Verification occurred after revocation,failed,route_reverification,role_history_and_verified_at,governance_owner,reopen_work_order,Decision-time authority is evaluated,"No personnel claim",Delta,Current role alone is insufficient
WOC-T024,Advanced,dependency_graph,Child task hidden,Integration omits open warranty item,reconciled,block_close_and_reconcile,source_snapshots_and_child_ids,system_owner,replay_after_mapping_fix,All governed dependencies are accounted for,"No integration reliability claim",Echo,Unknown is visible
WOC-T025,Advanced,idempotency,Repeated close command,Same transition request delivered twice,closed,return_same_result,transition_id_and_prior_result,system_owner,reject_conflicting_duplicate,One logical closure exists,"No implementation claim",Foxtrot,Preserve request identity
WOC-T026,Advanced,race_condition,New report during closure,Observation arrives before commit,review_required,abort_or_revaluate,event_order_and_transaction_log,system_owner,restore_open_state,Later relevant event is not lost,"Fictional architecture test",Alder,Define concurrency rule
WOC-T027,Advanced,rollback,Automated close misfires,Audit finds missing verifier,reopened,reverse_with_linked_event,audit_finding_and_transition_log,operations_lead,reopen_and_notify_owner,Rollback preserves original action,"No production incident claim",Birch,Do not delete bad transition
WOC-T028,Architect,state_machine,Illegal transition,Reported attempts direct close,failed,reject_transition,state_definition_and_request,architecture_owner,return_to_reported,Only allowed transition path executes,"Proposed method only",Cedar,State graph is enforceable
WOC-T029,Architect,policy_as_code,Unknown evaluates truthy,Dependency query times out,review_required,fail_closed_for_consequence,policy_version_and_query_error,architecture_owner,retry_or_manual_review,Unknown never becomes pass,"No uptime claim",Delta,Three-valued logic
WOC-T030,Architect,event_order,Delayed vendor event,Execution event arrives after closure request,review_required,reconcile_before_commit,event_ids_and_occurred_observed_times,architecture_owner,replay_in_order,Ordering rule produces deterministic state,"Fictional event stream",Echo,Do not use arrival time alone
WOC-T031,Architect,segregation_of_duties,Role graph conflict,Closure authority delegated to executor,failed,require_independent_authority,delegation_chain_and_policy,governance_owner,revoke_transition_request,Consequence-specific separation holds,"No legal requirement claim",Foxtrot,Policy defines independence
WOC-T032,Architect,evidence_retention,Referenced file expires,Closed packet points to unavailable object,review_required,restore_or_mark_unverifiable,retention_policy_hash_and_locator,records_owner,restore_from_governed_copy,Historical evidence state is explicit,"No retention-law claim",Alder,Availability differs from truth
WOC-T033,Architect,schema_evolution,New reason code,Old consumer maps it to resolved,failed,version_and_reject_unknown,schema_version_and_compatibility_test,data_owner,roll_back_schema_or adapter,Unknown code cannot inflate resolution,"No software deployment claim",Birch,Reason semantics are versioned
WOC-T034,Architect,portfolio_identity,Asset IDs collide,Two sites use GATE-01,failed,require_facility_scoped_identity,facility_asset_composite_and_registry,data_owner,quarantine_ambiguous_records,No cross-site evidence contamination,"Fictional portfolio test",Cedar,Local IDs need namespace
WOC-T035,Architect,audit_replay,Historical question,Reviewer asks why record closed,closed,reconstruct_decision,contract_version_evidence_authority_and_time,audit_owner,mark_unreconstructable_and_open_review,Replay yields the same bounded result,"No audit certification claim",Delta,Decision trace is complete
WOC-T036,Architect,human_override,Emergency normalization,Immediate action bypassed normal sequence,reconciled,require_post_action_review,emergency_authority_actions_and_follow_up,operations_lead,reopen_until_normalized,Emergency path ends in governed review,"No emergency-procedure instruction",Echo,Emergency does not erase history
