record_id,fictional,facility_id,question_id,claim_id,claim_text,claim_mode,consequence_class,target_scope,property,spatial_footprint,population_denominator,source_id,source_owner,source_lifecycle,acquisition_mode,sampling_or_trigger,change_filter,source_time,observed_time,received_time,freshness_limit,allowed_lateness,expected_continuity,gap_detection,transport_semantics,queue_or_overflow,unit_or_encoding,native_quality,transformation_id,corroborating_source,common_mode_dependency,privacy_purpose,access_scope,retention_rule,blind_spot_types,coverage_state,decision_rule,degradation_rule,exception_owner,evidence_boundary
FOC-001,true,FIC-HARBOR-ANNEX,Q-WATER-01,C-WATER-PAD-ACTIVE,North corridor water pad reported active,directly_observed,C2_material_operational,building_b_north_corridor_pad_03,water_contact_state,one identified threshold pad,one active expected pad,PAD-03,fictional facilities manager,active,event_driven,on state change plus five-minute health pulse,none,2026-08-23T00:14:02Z,2026-08-23T00:14:02Z,2026-08-23T00:14:04Z,PT5M,PT1M,five-minute health pulse,missing two pulses marks path stale,MQTT application message with native topic and packet metadata,broker queue and retained flag recorded,boolean wet_or_dry,source reports good,none,HUM-07,shared building power only,incident triage for property protection,manager_and_on_call_engineer,fictional 30-day event retention,spatial|quality|common_mode,C3_decision_admissible,route inspection packet but do not declare flood or actuate valve,if heartbeat stale or identity conflicts mark indeterminate and call manager,fictional on-call manager,Direct observation of one pad only; no depth source extent cause or real facility state
FOC-002,true,FIC-HARBOR-ANNEX,Q-WATER-01,C-BUILDING-FLOODING,Building B is flooding,unknown,C3_high_consequence,building_b,water_extent,entire fictional building,all relevant floors and units,NONE,fictional facilities manager,uncovered,none,none,none,unknown,unknown,unknown,none,none,no complete expected source set,no path inventory for building-wide extent,none,none,unknown,unknown,none,PAD-03|HUM-07,not applicable,property-protection assessment,accountable manager only,not collected,spatial|semantic|authority,C0_uninstrumented,prohibit flood declaration and physical shutoff from available telemetry,route qualified inspection and specialist escalation,fictional regional operator,Unknown teaching claim; one active pad cannot establish building-wide flooding
FOC-003,true,FIC-HARBOR-ANNEX,Q-WATER-01,C-PAD-HEALTH-CURRENT,Water pad observation path health is current,directly_observed,C1_bounded_operational,pad_03_radio_and_gateway,path_health,device radio through gateway,one device and one gateway,HEALTH-03,fictional facilities manager,active,periodic,five-minute pulse,none,2026-08-23T00:10:00Z,2026-08-23T00:10:00Z,2026-08-23T00:10:03Z,PT10M,PT1M,two expected pulses per ten minutes,sequence and deadline monitor,MQTT QoS recorded without promoting delivery to sensor fitness,queue depth unknown,binary heartbeat plus sequence,native online flag,none,GATEWAY-HEALTH-01,gateway and water pad share site power,telemetry health,operator_and_engineer,fictional 14-day health retention,transport|quality|common_mode,C2_bounded_observation,permit current-path label only,if pulse late mark stale not dry,fictional integration owner,Heartbeat supports path currency only; it does not prove water state or calibration
FOC-004,true,FIC-HARBOR-ANNEX,Q-WATER-01,C-HUMIDITY-RISE,North corridor humidity increased during alert window,derived,C1_bounded_operational,north_corridor_probe_07,relative_humidity,one corridor probe,one active expected probe,HUM-07,fictional facilities manager,active,polled,one-minute sample,none,2026-08-23T00:15:00Z,2026-08-23T00:15:00Z,2026-08-23T00:15:09Z,PT3M,PT1M,continuous one-minute windows,gap when no sample covers an expected minute,polled controller value,one-value queue,%RH,source good with inspection current,DERIVE-DELTA-15M,PAD-03,shared controller network and building power,environmental incident triage,manager_and_engineer,fictional 30-day aggregate retention,spatial|semantic|common_mode,C2_bounded_observation,use as corroborating context only,if input gap or unit conflict block derived trend,fictional data steward,Deterministic fictional trend; not direct water observation or causal proof
FOC-005,true,FIC-RIVER-BEND,Q-GATE-02,C-GATE-CLOSED,Outbound gate closed-limit point is active,directly_observed,C2_material_operational,outbound_gate_limit_switch,closed_limit_state,one gate mechanism,one active expected switch,GATE-LIMIT-CLOSED,fictional site manager,active,event_driven,on change plus ten-minute snapshot,none,2026-08-23T01:05:17Z,2026-08-23T01:05:17Z,2026-08-23T01:05:18Z,PT10M,PT2M,change events plus snapshot,sequence and snapshot deadline,controller event service,native overflow flag preserved,boolean,native good,none,MOTOR-CURRENT-02,same controller and power,after-hours access monitoring,site_manager,fictional 90-day event retention,spatial|quality|common_mode,C2_bounded_observation,support gate-position claim only,if snapshot late or switch conflict mark indeterminate,fictional access owner,Limit switch does not establish lane clearance latch security or customer access outcome
FOC-006,true,FIC-RIVER-BEND,Q-GATE-02,C-LANE-CLEAR,Outbound vehicle lane is clear,unknown,C3_high_consequence,outbound_vehicle_lane,lane_occupancy,full closing path,all objects and people in lane,NONE,fictional site manager,uncovered,none,none,none,unknown,unknown,unknown,none,none,no governed observation path,no completeness test,none,none,unknown,unknown,none,GATE-LIMIT-CLOSED,not applicable,safety review,authorized human only,no continuous collection,spatial|authority|intentional_privacy,C0_uninstrumented,prohibit automated lane-clear claim,require qualified local observation under site procedure,fictional site manager,Deliberate unknown; no camera or loop evidence is invented
FOC-007,true,FIC-CEDAR-ROW,Q-CLIMATE-03,C-ZONE-MAX,Maximum observed temperature at corridor probes for interval,derived,C2_material_operational,climate_corridors,temp_f,three identified corridor probes,three active expected probes,TEMP-SET-03,fictional facilities manager,active,batch_window,one-minute samples,drop impossible values and preserve rejection count,2026-08-22T18:00:00Z,2026-08-22T18:00:00Z,2026-08-22T18:02:00Z,PT5M,PT2M,complete one-minute grid per active probe,inventory-aware grid completeness,metrics stream with explicit gauge semantics,gap and restart markers preserved,degF,native quality and inspection date,MAX-INTERVAL-V3,HVAC-ALARM-02,probes share controller and power,maintenance prioritization,regional_operator,fictional 90-day aggregates,spatial|temporal|common_mode,C3_decision_admissible,route inspection if threshold and completeness tests pass,if any active probe gap then label partial and prohibit building-wide claim,fictional climate owner,Derived maximum covers only three probe locations and the named interval
FOC-008,true,FIC-CEDAR-ROW,Q-CLIMATE-03,C-ALL-UNITS-RANGE,Every unit remained within temperature range,unknown,C3_high_consequence,all_units,unit_air_temperature,every fictional rentable unit,all active climate-controlled units,NONE,fictional regional operator,uncovered,none,none,none,unknown,unknown,unknown,none,none,no unit-level expected inventory,no completeness test,none,none,degF,unknown,none,TEMP-SET-03,not applicable,customer-impact assessment,authorized operator only,not collected,spatial|semantic|authority,C0_uninstrumented,prohibit every-unit claim,retain corridor result and route scoped inspection,fictional regional operator,Corridor probes cannot establish each unit temperature or customer outcome
FOC-009,true,FIC-MESA-LOCK,Q-DOOR-04,C-DOOR-CONTACT,Utility-room door contact reported open,directly_observed,C2_material_operational,utility_room_door_04,contact_state,one door leaf,one active expected contact,DOOR-04,fictional site manager,active,event_driven,on change plus hourly poll,none,2026-08-23T02:22:41Z,2026-08-23T02:22:41Z,2026-08-23T02:22:44Z,PT1H,PT2M,hourly poll and change events,poll deadline and event sequence,access controller event log,controller queue limit recorded,open_or_closed,native uncertain,none,MANAGER-INSPECTION-04,no shared technical path,security incident triage,site_manager_and_security_owner,fictional 180-day event retention,quality|temporal,CX_indeterminate,do not declare forced entry from uncertain contact,request local inspection and preserve native quality,fictional security owner,Contact state does not establish cause authorization person identity or intrusion
FOC-010,true,FIC-MESA-LOCK,Q-HOURS-05,C-PUBLIC-HOURS-MATCH,Published office hours match approved governing record,derived,C1_bounded_operational,public_hours_record,office_hours,one public facility page,one approved current hours record,HOURS-DB-01,fictional content owner,active,on_release,each approved publication,exact field comparison,2026-08-22T20:00:00Z,2026-08-22T20:00:00Z,2026-08-22T20:00:20Z,P1D,PT10M,daily scheduled comparison,missed job and source-version alert,HTTPS retrieval plus governed record read,not applicable,structured local time intervals,both sources readable,COMPARE-HOURS-V2,NONE,comparison service reads both paths,current customer information,content_owner,fictional 365-day release evidence,semantic|authority|common_mode,C3_decision_admissible,permit match claim for exact records and check time,if either source stale or unavailable mark unverified,fictional content owner,Record equality does not prove staffing facility access or legal availability
