entry_id,change_id,node_type,node_name,facility_scope,source_of_authority,before_identity,after_identity,upstream_entry_id,edge_type,dependency_horizon,consequence_class,release_cell,test_id,rollback_target,readback_evidence,owner,status,assumption_or_unknown,fictional
FCI-N-001,FCI-EX-001,Change,Harbor Annex tenant access schedule,Harbor Annex only,Approved fictional facility schedule,SCHEDULE-v1 06:00-22:00,SCHEDULE-v2 05:00-23:00,,proposes,H0,C3,CELL-HA-ACCESS,FCI-T-001,SCHEDULE-v1,Canonical schedule snapshot,Regional operations lead,mapped,None stated; identities are fictional,yes
FCI-N-002,FCI-EX-001,Source,Approved schedule authority record,Harbor Annex only,Fictional named facility authority,AUTH-v1 effective before date,AUTH-v2 effective on fictional date,FCI-N-001,authorizes,H0,C3,CELL-HA-ACCESS,FCI-T-003,AUTH-v1,Approval record identity and effective time,Named facility authority,mapped,Legal sufficiency is not asserted,yes
FCI-N-003,FCI-EX-001,Processing,Property-management effective-hours record,Harbor Annex only,FCI-N-002,PMS-HA-HOURS-v1,PMS-HA-HOURS-v2,FCI-N-001,stores,H0,C3,CELL-HA-ACCESS,FCI-T-004,PMS-HA-HOURS-v1,Independent export of effective value,PMS data owner,mapped,Product and provider are unspecified,yes
FCI-N-004,FCI-EX-001,Processing,Access-control connector schedule mapping,Harbor Annex connector scope,FCI-N-003,MAP-v1 reads current field,MAP-v1 expected unchanged,FCI-N-003,reads_from,H1,C3,CELL-HA-ACCESS,FCI-T-007,Disable scheduled import,Connector job log plus effective-controller comparison,Integration owner,mapped,Connector timing is teaching data only,yes
FCI-N-005,FCI-EX-001,Presentation,Tenant portal hours panel,Harbor Annex tenant audience,FCI-N-003,PORTAL-COPY-v1,PORTAL-COPY-v2,FCI-N-003,copies_to,H1,C1,CELL-HA-INFO,FCI-T-009,PORTAL-COPY-v1,Authorized portal readback,Digital operations owner,mapped,No public URL or customer data is used,yes
FCI-N-006,FCI-EX-001,Presentation,Call-center knowledge article,Shared call-center audience,Manual content owner,ARTICLE-v1 stale hours,ARTICLE-v2 proposed hours,FCI-N-003,copies_to,H1,C1,HOLD-CALL-CENTER,FCI-T-010,ARTICLE-v1,Article version and visible content,Knowledge owner,held,Manual-copy propagation delay is unknown,yes
FCI-N-007,FCI-EX-001,Presentation,Facility website hours field,Harbor Annex public audience,Facility content owner,WEB-HOURS-v1,WEB-HOURS-v2,FCI-N-003,copies_to,H1,C1,HOLD-WEB,FCI-T-011,WEB-HOURS-v1,Exact field and rendered-page readback,Web content owner,held,Publication workflow is unspecified,yes
FCI-N-008,FCI-EX-001,Processing,AI retrieval corpus segment,Authorized internal user group,FCI-N-003 and FCI-N-006,CORPUS-v1 mixed values,CORPUS-v2 excludes stale source,FCI-N-006,retrieves,H1,C2,HOLD-AI,FCI-T-013,CORPUS-v1,Source identity entitlement and retrieval trace,AI governance owner,held,Model provider and implementation are unspecified,yes
FCI-N-009,FCI-EX-001,Presentation,AI internal hours answer,Authorized internal user group,FCI-N-008,ANSWER-PATH-v1,ANSWER-PATH-v2,FCI-N-008,transforms,H2,C2,HOLD-AI,FCI-T-019,Disable answer path,Prompt source retrieval and answer evidence,Human review owner,held,Correctness and performance are not claimed,yes
FCI-N-010,FCI-EX-001,Processing,Held-unit override rule,Harbor Annex held-unit test object,Approved fictional exception authority,EXCEPTION-v1,EXCEPTION-v1 expected unchanged,FCI-N-004,overrides,H2,C3,CELL-HA-ACCESS,FCI-T-020,EXCEPTION-v1,Rule evaluation plus authorized negative-path test,Access-control owner,mapped,No actual tenant or unit is represented,yes
FCI-N-011,FCI-EX-001,Action,Effective gate access decision,Harbor Annex authorized test credential,FCI-N-004 and FCI-N-010,DECISION-v1,DECISION-v2 bounded by exception,FCI-N-004,executes,H2,C3,CELL-HA-ACCESS,FCI-T-022,Restore SCHEDULE-v1 and disable import,Authorized boundary-time functional readback,Named release operator,mapped,Physical test requires separate local authority,yes
FCI-N-012,FCI-EX-001,Evidence,Delayed effective-rule audit export,Harbor Annex audit scope,FCI-N-011,AUDIT-v1,AUDIT-v2,FCI-N-011,proves,H3,C3,CELL-HA-ACCESS,FCI-T-026,Preserve both audit versions,Export identity timestamp rule and reconciliation,Audit owner,mapped,One-hour delay is fictional teaching data,yes
