record_id,action_id,proposal_version,handback_id,facility_id,subject_id,actor_id,authorizer_id,delegation_ref,tool_id,operation,resource_id,field_scope,proposed_transition,source_ref,source_version,observed_at,effective_at,source_state,policy_id,policy_version,policy_result,unresolved_predicate,consequence_class,reversibility_class,data_class,authorization_ref,authorization_expires_at,execution_window_end,attempt_count,attempt_limit,idempotency_key,provider_state,governing_state,side_effect_state,handback_state,reason_code,next_owner,review_deadline,allowed_dispositions,resumption_test,evidence_boundary
"AAE-001","ACT-001","v1","HB-001","FAC-CEDAR","facility schedule","fictional agent A","facility identity owner","delegation D-001","public profile tool","propose update","profile 001","Saturday public hours","old to proposed schedule","approved schedule record","v4","2026-08-22T12:00:00Z","2026-08-29T00:00:00Z","conflict with access-control schedule","POL-FID","v3","unknown","field authority conflict","medium","reversible with prior value","public facility data","approval pending","","2026-08-28T18:00:00Z","0","1","Idempotency reference 001","not called","unchanged","none","needs_information","SOURCE_CONFLICT","facility identity owner","2026-08-23T12:00:00Z","confirm public source; defer; deny","one field owner resolves source without expanding scope","Fictional training row; not real hours profile tool or facility state."
"AAE-002","ACT-002","v1","HB-002","FAC-PINE","work order 202","fictional agent B","maintenance authority","delegation missing","maintenance tool","create work order","work-order queue","one proposed inspection task","none to proposed","inspection request","v1","2026-08-22T12:05:00Z","2026-08-22T12:05:00Z","source complete","POL-WO","v2","allow if delegated","delegation proof","low","cancelable before dispatch","internal operations","none","","2026-08-22T16:00:00Z","0","1","Idempotency reference 002","not called","no record","none","needs_authority","DELEGATION_MISSING","maintenance authority","2026-08-22T14:00:00Z","approve exact proposal; deny","valid actor and authorizer chain issued for one queue action","Fictional training row; not real maintenance safety or dispatch instruction."
"AAE-003","ACT-003","v2","HB-003","FAC-HARBOR","message cohort 303","fictional agent C","communications owner","delegation D-003","message platform","queue message","cohort 303","approved reminder version","candidate to queued","message release packet","v7","2026-08-22T12:10:00Z","2026-08-22T15:00:00Z","source complete","POL-MSG","v5","deny","recipient scope exceeds approval","high","cancelable before provider acceptance","personal contact data","approval A-003","2026-08-22T14:00:00Z","2026-08-22T14:00:00Z","0","1","Idempotency reference 003","not called","not queued","none","denied","SCOPE_EXCEEDED","communications owner","2026-08-22T13:00:00Z","narrow; deny; create new proposal","new proposal matches approved recipient query and unexpired review","Fictional training row; not real recipients delivery consent or customer communication."
"AAE-004","ACT-004","v1","HB-004","FAC-RIVER","public notice 404","fictional agent D","content owner","delegation D-004","CMS tool","publish draft","post 404","approved content bytes","draft to publish","approved editorial record","v2","2026-08-22T12:15:00Z","2026-08-23T09:00:00Z","source complete","POL-PUB","v1","defer","release window not open","medium","rollback revision available","public content","approval A-004","2026-08-23T12:00:00Z","2026-08-23T10:00:00Z","0","1","Idempotency reference 004","not called","draft","none","deferred","WINDOW_NOT_OPEN","release scheduler","2026-08-23T08:45:00Z","wait; cancel","same bytes metadata approval and source remain current at window","Fictional training row; not a real post publication or platform capability."
"AAE-005","ACT-005","v1","HB-005","FAC-ELM","vendor invoice record 505","fictional agent E","finance owner","delegation D-005","document tool","extract fields","document 505","invoice identity and amounts","unread to candidate extraction","source document","sha placeholder 505","2026-08-22T12:20:00Z","2026-08-22T12:20:00Z","one amount unreadable","POL-DOC","v2","unknown","required amount unreadable","high","no financial action executed","financial data","approval A-005","2026-08-22T16:00:00Z","2026-08-22T16:00:00Z","0","1","Idempotency reference 005","not called","unchanged","none","needs_information","SOURCE_UNREADABLE","finance document owner","2026-08-22T14:00:00Z","supply source; reject extraction; remain unknown","qualified reviewer supplies exact source value or rejects candidate","Fictional training row; not real invoice amount payment or accounting evidence."
"AAE-006","ACT-006","v1","HB-006","FAC-ALPHA","access grant 606","fictional agent F","access owner","delegation D-006","identity tool","revoke role","grant 606","one direct role","active to revoked","offboarding event","v3","2026-08-22T12:25:00Z","2026-08-22T13:00:00Z","group inheritance unknown","POL-IAM","v4","unknown","continuity identity unverified","critical","direct role reversible but recovery uncertain","identity data","approval pending","","2026-08-22T13:00:00Z","0","1","Idempotency reference 006","not called","role active","none","needs_judgment","CONTINUITY_UNPROVEN","identity governance owner","2026-08-22T12:50:00Z","prove continuity; narrow; deny","alternate approved continuity and all inheritance paths verified","Fictional training row; no real access revocation employment or security event."
"AAE-007","ACT-007","v1","HB-007","FAC-BETA","review response 707","fictional agent G","communications owner","delegation D-007","review tool","draft response","review 707","public text only","review to response candidate","public review source","v1","2026-08-22T12:30:00Z","2026-08-22T12:30:00Z","source complete","POL-RESP","v2","human judgment","tone and factual nuance","medium","draft discardable","public and limited personal data","approval not yet issued","","2026-08-22T18:00:00Z","0","1","Idempotency reference 007","not called","no response","none","needs_judgment","HUMAN_CONTEXT_REQUIRED","qualified response reviewer","2026-08-22T16:00:00Z","approve exact draft; edit; reject","reviewer selects final facts and wording under current policy","Fictional training row; not real review customer response or publication."
"AAE-008","ACT-008","v1","HB-008","FAC-GAMMA","profile field 808","fictional agent H","facility identity owner","delegation D-008","profile tool","update field","profile 808","website URL","old to approved URL","facility fact sheet","v5","2026-08-22T12:35:00Z","2026-08-22T12:35:00Z","source complete","POL-FID","v3","allow","none","medium","prior value preserved","public facility data","approval A-008","2026-08-22T13:30:00Z","2026-08-22T13:15:00Z","1","1","Idempotency reference 008","accepted pending","old value remains","unknown","deferred","PROVIDER_PENDING","platform owner","2026-08-22T13:10:00Z","wait; query; cancel if supported; escalate","provider job reaches terminal state and governing profile is read back","Fictional training row; not real profile URL provider receipt or publication."
"AAE-009","ACT-009","v1","HB-009","FAC-DELTA","unit status 909","fictional agent I","inventory owner","delegation D-009","property tool","update status","unit 909","rentable state","offline to rentable","approved repair disposition","v6","2026-08-22T12:40:00Z","2026-08-22T12:40:00Z","source complete","POL-INV","v3","allow","none","high","prior state preserved","internal operational data","approval A-009","2026-08-22T13:00:00Z","2026-08-22T13:00:00Z","1","1","Idempotency reference 009","success receipt","offline","no observed change","reconciliation_mismatch","GOVERNING_STATE_MISMATCH","inventory source owner","2026-08-22T12:55:00Z","investigate; correct; new proposal; accept bounded delay","authoritative unit record matches a newly approved action or mismatch is resolved","Fictional training row; not real inventory repair safety or rentable-state evidence."
"AAE-010","ACT-010","v1","HB-010","FAC-ECHO","work-order dispatch 1010","fictional agent J","maintenance authority","delegation D-010","dispatch tool","dispatch vendor","work order 1010","one vendor one facility","approved to dispatched","approved work-order packet","v2","2026-08-22T12:45:00Z","2026-08-22T12:45:00Z","source complete","POL-DSP","v2","allow","none","high","cancel status unknown","vendor and facility data","approval A-010","2026-08-22T13:30:00Z","2026-08-22T13:00:00Z","2","2","Idempotency reference 010","two timeouts","dispatch unknown","unknown","deferred","ATTEMPT_LIMIT","dispatch system owner","2026-08-22T12:55:00Z","query by action ID; cancel; escalate","provider and vendor states are reconciled before any new attempt","Fictional training row; not real vendor relationship dispatch or service result."
"AAE-011","ACT-011","v1","HB-011","FAC-FOXTROT","document share 1111","fictional agent K","data owner","delegation D-011","sharing tool","share document","document 1111","recipient and file","private to shared","approved data record","v1","2026-08-22T12:50:00Z","2026-08-22T12:50:00Z","sensitive appendix present","POL-DATA","v4","deny pending minimization","unnecessary personal data","critical","recipient removal cannot retract downloaded copy","personal and financial data","approval pending","","2026-08-22T13:15:00Z","0","1","Idempotency reference 011","not called","private","none","denied","DATA_BOUNDARY_EXCEEDED","qualified data owner","2026-08-22T13:00:00Z","minimize and create new proposal; deny","new artifact excludes protected appendix and exact recipient is approved","Fictional training row; not real document person financial data or share."
