Control ID,Field,Definition,Allowed state or format,Evidence source,Review owner,Review cadence,Conflict action,Public-safe output
CTL-001,Canonical facility ID,A stable identifier that is never reassigned to a different location,Uppercase letters numbers and hyphens,Governed portfolio register,Portfolio data owner,Quarterly and at every transition,Freeze downstream changes until duplicate or reused IDs are reconciled,Publish only when the identifier was intentionally designed for external use
CTL-002,Current public name,The approved customer-facing facility name,Plain text without promotional modifiers,Approved official facility record,Brand and operations,Monthly,Compare signage web local profile and directory records; route mismatch to the named approver,Yes after approval
CTL-003,Operational state,The location lifecycle state used to decide whether it should appear as active,Active | Opening | Temporarily closed | Legacy | Transferred,Executive-approved status record or governing transaction record,Portfolio operations,Monthly and at every transition,Hold publication changes until the effective date and successor treatment are confirmed,Yes after effective date confirmation
CTL-004,Postal address,The deliverable mailing and navigation address,Street locality region postal code and country,Approved official facility record plus postal validation,Facility operations,Quarterly,Reconcile street suffix unit and locality without inferring legal ownership,Yes
CTL-005,Public telephone,The customer-facing facility telephone number,E.164 storage plus localized display format,Approved official facility record,Facility operations,Monthly,Test routing and correct only the exact facility record,Yes
CTL-006,Office hours,Hours during which staff or office service is available,Day-of-week and open/close time with timezone,Approved operating schedule,Facility operations,Monthly and before holidays,Keep separate from access hours and record temporary exceptions,Yes
CTL-007,Access hours,Hours during which an authorized tenant may access the facility,Day-of-week and open/close time with timezone,Approved access-control schedule,Facility operations,Monthly and before holidays,Keep separate from office hours and do not generalize across the portfolio,Yes when approved for customer use
CTL-008,Canonical facility URL,The single preferred first-party page for the facility,Absolute HTTPS URL,Production website route and canonical tag,Web owner,Monthly,Redirect or retire duplicate and legacy routes through the controlled release process,Yes
CTL-009,Exact local-profile URL,The durable share link for the exact facility profile,Absolute platform URL,Exact live profile record,Local profile owner,Monthly,Use the exact place record rather than a generic search result,Yes
CTL-010,Local-profile category,The current platform category assigned to the exact facility,Platform-supported category value,Exact live profile record,Local profile owner,Quarterly,Submit a category change only after the location status and platform processing state are clear,Yes
CTL-011,Platform verification state,The current platform state of the exact local profile,Verified | Processing | Action required | Unverified,Authenticated platform status,Local profile owner,Monthly,Do not interpret Processing as approval rejection or suspension,Publish only the minimum state needed for governance
CTL-012,Platform access review,The date and disposition of the latest owner and manager recertification,ISO date plus complete or exception status,Authenticated access-role review,Authorized business owner,Quarterly,Resolve unknown or excess access through a separately authorized recertification; never publish personal account details,No personal account data
CTL-013,Legal owner or operator relationship,The governing relationship between the facility and a legal entity,HOLD unless supported by a governing record,Lease management agreement transaction record or counsel-approved fact sheet,Legal or authorized executive,At every relationship change,Do not infer ownership or operation from brand use local-profile roles or a directory listing,Only the approved relationship statement
CTL-014,Responsible reviewer,The role accountable for approving identity changes,Named role rather than a personal credential,Approved responsibility matrix,Program owner,Quarterly,Escalate unassigned records before publication,Role may be public; personal contact details remain private
CTL-015,Last verified,The date on which the authoritative evidence was checked,ISO 8601 date,Evidence log,Responsible reviewer,Every review,Mark stale records and block claims that require current evidence,Yes
CTL-016,Change ticket,The traceable identifier for an approved correction or transition,Controlled ticket or submission ID,Change-management system,Program owner,Per change,Do not mark complete until the visible result and evidence are captured,Publish only when the ticket system is public-safe
CTL-017,Exception note,A concise explanation of any unresolved mismatch,Fact-only text without credentials or personal data,Evidence log,Responsible reviewer,Per exception,Assign an owner next action and recheck date,Publish a redacted limitation when needed
CTL-018,Publishing state,The permitted use of the current record,Eligible | Draft | Hold | Retire,Evidence and approval decision,Program owner,Per change,Prevent Draft Hold and Retire records from feeding production surfaces,Yes
