record_id,term_id,term_label,facility_scope,producer_system,consumer_system,current_contract_version,predecessor_version,drift_dimension,prior_meaning,new_meaning,value_kind,unit_or_scale,population_definition,inclusion_change,exclusion_change,null_semantics,time_basis,source_authority,transformation_version,decision_use,compatibility,detected_at,detected_by,dual_read_required,backfill_required,migration_owner,approval_owner,rollback_version,status,evidence_needed,fictional,boundary
SDR-FIC-001,metric.occupancy_rate,occupancy_rate,PORT-FICTIONAL-NORTH,fictional-portfolio-metric-service,daily-operator-dashboard,3.0.0,2.4.1,population_and_time_basis,Occupied units divided by all configured units at UTC midnight,Active occupied rentable units divided by rentable units excluding offline maintenance and company-use at facility-local end of operating day,number,percent scale 0-100,Rentable units effective within the facility on the observation date,Only active_occupied rental states enter numerator,Offline maintenance company-use non-rentable and identity-conflicted units leave denominator,unknown,facility-local end of operating day,fictional-revenue-operations-data-owner,3.0.0,approval_input,breaking,2026-08-12T14:00:00Z,fictional-contract-diff-job,yes,no,fictional-analytics-owner,fictional-metric-governance-owner,2.4.1,awaiting_approval,"Definition diff dual-read result denominator reconciliation and owner approval",yes,"Fictional teaching record; not a real metric definition result or portfolio policy"
SDR-FIC-002,inventory.available_units,available_units,FAC-FICTIONAL-CEDAR,fictional-inventory-service,manager-availability-view,2.0.0,1.8.0,exclusion_rule,All units with vacant source status,Vacant rentable units excluding active reservation offline maintenance and identity-conflicted records,integer,count,Rentable units effective at the facility,Requires vacant and not reserved,Excludes reservation offline_maintenance and identity_conflict,unknown,event effective time,fictional-inventory-data-owner,2.0.0,workflow_routing,breaking,2026-08-13T09:00:00Z,fictional-consumer-contract-test,yes,yes,fictional-inventory-owner,fictional-operations-data-owner,1.8.0,migration_planned,"Unit-level reconciliation reservation mapping backfill plan and rollback test",yes,"Fictional teaching record; not availability inventory or leasing evidence"
SDR-FIC-003,facility.public_hours,office_hours,FAC-FICTIONAL-CEDAR,fictional-facility-information-service,owned-profile-draft,1.3.0,1.2.2,concept_boundary,One hours string reused for office and access,Public staffed office hours only,string,local wall-clock intervals,Owned public information fields,Includes staffed office intervals,Excludes access gate call-center auction and holiday exception intervals,not_available,effective interval,fictional-facility-information-owner,1.3.0,approval_input,breaking,2026-08-13T10:00:00Z,fictional-field-authority-review,yes,no,fictional-content-data-owner,fictional-facility-information-owner,1.2.2,awaiting_dual_read,"Source-field map public-page comparison and explicit access-hours exclusion",yes,"Fictional teaching record; not real facility hours or access instruction"
SDR-FIC-004,maintenance.work_state,work_order_status,PORT-FICTIONAL-NORTH,fictional-maintenance-service,portfolio-exception-queue,4.0.0,3.7.2,state_machine,Closed meant any technician note was present,Closed requires represented condition verified authoritative readback and closure evidence,code,identified triaged assigned in_progress awaiting_evidence ready_for_readback closed cancelled,Maintenance work items,Includes evidence and readback gates,Excludes note-only provider-accepted and attempted states,unknown,work lifecycle event time,fictional-maintenance-process-owner,4.0.0,action_gate,breaking,2026-08-14T11:00:00Z,fictional-state-transition-audit,yes,yes,fictional-maintenance-systems-owner,fictional-maintenance-process-owner,3.7.2,blocked_pending_migration,"Transition matrix open-item replay evidence requirements and close-state rollback",yes,"Fictional teaching record; not maintenance instruction service level or closure result"
SDR-FIC-005,ledger.account_balance,account_balance,FAC-FICTIONAL-MAPLE,fictional-ledger-service,manager-account-review,5.1.0,5.0.4,source_authority,Payment-provider accepted amount reduced balance,Posted reconciled ledger entries determine balance,number,USD minor units,Named fictional account ledger,Includes posted reconciled ledger entries,Excludes initiated accepted pending and unreconciled provider events,unknown,ledger posting effective time,fictional-accounting-data-owner,5.1.0,approval_input,breaking,2026-08-14T15:00:00Z,fictional-financial-control-review,yes,yes,fictional-ledger-owner,fictional-accounting-data-owner,5.0.4,restricted_review,"Private fictional ledger fixture posting reconciliation evidence and qualified approval",yes,"Fictional teaching record; not a financial figure accounting conclusion or customer balance"
SDR-FIC-006,lead.attribution_source,lead_source,PORT-FICTIONAL-NORTH,fictional-lead-service,marketing-source-report,2.2.0,2.1.5,attribution_rule,Most recent source before rental,First captured eligible source within governed attribution window,code,governed source codes,Eligible fictional lead records,Includes first eligible captured source,Excludes later navigation internal referrals and outside-window events,unknown,lead captured event time,fictional-marketing-data-owner,2.2.0,display_only,breaking,2026-08-15T08:00:00Z,fictional-report-diff,yes,yes,fictional-marketing-analytics-owner,fictional-marketing-data-owner,2.1.5,reviewing_history,"Attribution-rule diff historical recompute sample and report-label update",yes,"Fictional teaching record; not marketing performance attribution or revenue evidence"
SDR-FIC-007,collections.delinquency_days,delinquency_days,FAC-FICTIONAL-MAPLE,fictional-collections-service,frontline-account-view,3.0.0,2.9.0,time_basis,Elapsed UTC dates since nominal due date,Facility-local completed calendar days after effective due boundary,integer,days,Eligible fictional account obligations,Includes completed local calendar days,Excludes partial current day paused obligations and invalid due dates,unknown,facility-local day boundary,fictional-collections-policy-owner,3.0.0,workflow_routing,breaking,2026-08-15T12:00:00Z,fictional-time-boundary-test,yes,yes,fictional-collections-systems-owner,fictional-collections-policy-owner,2.9.0,awaiting_policy_approval,"Timezone cases DST cases due-boundary policy and backfill impact",yes,"Fictional teaching record; not collections legal or customer-account guidance"
SDR-FIC-008,access.event_result,access_result,FAC-FICTIONAL-CEDAR,fictional-access-event-service,facility-incident-review,2.0.0,1.6.3,category_boundary,Granted meant door passage occurred,Granted means controller authorized request while passage observation is separate,code,granted denied error unknown,Access authorization attempts,Includes controller authorization disposition,Excludes door-open passage tailgating and occupancy conclusions,unknown,event occurred_at plus observed_at,fictional-access-data-owner,2.0.0,workflow_routing,breaking,2026-08-16T07:30:00Z,fictional-incident-replay,yes,yes,fictional-access-systems-owner,fictional-access-data-owner,1.6.3,migration_planned,"Event trace separate passage observation schema and incident-query regression",yes,"Fictional teaching record; not access permission or physical passage evidence"
SDR-FIC-009,gate.system_state,gate_status,FAC-FICTIONAL-CEDAR,fictional-device-health-service,facility-status-board,1.5.0,1.4.8,concept_boundary,Online meant gate passage available,Online means controller heartbeat current while passage availability is separate derived state,code,online stale offline unknown,Named fictional gate controller,Includes controller heartbeat state,Excludes obstruction power mechanical safety and passage conclusions,unknown,heartbeat observed_at,fictional-device-operations-owner,1.5.0,advisory,breaking,2026-08-16T09:00:00Z,fictional-status-board-review,yes,no,fictional-device-platform-owner,fictional-device-operations-owner,1.4.8,awaiting_label_change,"Heartbeat tests UI copy derived-state rule and operator training note",yes,"Fictional teaching record; not device condition safety or access availability evidence"
SDR-FIC-010,unit.nominal_area,unit_size,FAC-FICTIONAL-PINE,fictional-unit-catalog,public-unit-description,3.2.0,3.1.0,unit_and_measurement_method,Free-text nominal dimensions interpreted as area,Governed nominal area in square feet with measurement-method reference,number,https://qudt.org/vocab/unit/FT2,Rentable unit identities with approved catalog values,Includes approved nominal catalog area,Excludes measured variance volume and marketing label,not_available,source record effective interval,fictional-unit-catalog-owner,3.2.0,display_only,breaking,2026-08-17T10:00:00Z,fictional-unit-schema-check,yes,no,fictional-unit-data-owner,fictional-unit-catalog-owner,3.1.0,awaiting_source_cleanup,"Unit conversion fixtures measurement-method field and public-copy review",yes,"Fictional teaching record; not a real unit dimension measurement or advertising claim"
