ledger_row_id,decision_id,exercise_level,facility_id,decision_type,decision_time_utc,context_snapshot_id,candidate_set_id,candidate_action_id,candidate_action_description,eligibility_state,eligibility_reason,policy_id_version,recommender_id_version,recommendation_generated_at_utc,recommendation_rank,score,score_semantics,display_state,display_probability,logging_policy_id_version,action_probability,probability_provenance,chosen_action,choice_authority,choice_reason_code,execution_state,execution_readback,outcome_definition_id,outcome_window_end_utc,outcome_observation_state,observed_outcome_value,censoring_or_co_interventions,analysis_eligibility,limitations
CDL-R001,DEC-ALDER-001,Beginner,SITE-ALDER,maintenance_triage,2026-08-03T15:00:00Z,CTX-ALDER-881,CSET-ALDER-001,ACT-WORK-101,Inspect unit-door alignment concern first,eligible,Qualified queue item under fictional maintenance policy,POL-MAINT-04@2.1,RANKER-SHADOW-01@0.8,2026-08-03T14:59:48Z,1,0.81,relative_priority_score_not_probability,hidden_shadow,not_applicable,HUMAN-QUEUE@unmodeled,unknown,No stochastic logging policy or historical choice probability was recorded,false,site_manager,not_selected,not_executed,,OUT-CLOSE48@1,2026-08-05T15:00:00Z,counterfactual_not_observed,,Fictional exercise; no actual operational event,level_1_descriptive_only,"Unchosen outcome is not observed; logging propensity unknown"
CDL-R002,DEC-ALDER-001,Beginner,SITE-ALDER,maintenance_triage,2026-08-03T15:00:00Z,CTX-ALDER-881,CSET-ALDER-001,ACT-WORK-102,Inspect office light flicker first,eligible,Qualified queue item under fictional maintenance policy,POL-MAINT-04@2.1,RANKER-SHADOW-01@0.8,2026-08-03T14:59:48Z,3,0.32,relative_priority_score_not_probability,hidden_shadow,not_applicable,HUMAN-QUEUE@unmodeled,unknown,No stochastic logging policy or historical choice probability was recorded,false,site_manager,not_selected,not_executed,,OUT-CLOSE48@1,2026-08-05T15:00:00Z,counterfactual_not_observed,,Fictional exercise; no actual operational event,level_1_descriptive_only,"Unchosen outcome is not observed; logging propensity unknown"
CDL-R003,DEC-ALDER-001,Beginner,SITE-ALDER,maintenance_triage,2026-08-03T15:00:00Z,CTX-ALDER-881,CSET-ALDER-001,ACT-WORK-103,Inspect drive-aisle debris first,eligible,Qualified queue item and delivery scheduled under fictional context,POL-MAINT-04@2.1,RANKER-SHADOW-01@0.8,2026-08-03T14:59:48Z,2,0.63,relative_priority_score_not_probability,hidden_shadow,not_applicable,HUMAN-QUEUE@unmodeled,unknown,No stochastic logging policy or historical choice probability was recorded,true,site_manager,scheduled_delivery_context,executed_and_read_back,fictional receipt READ-ALDER-701,OUT-CLOSE48@1,2026-08-05T15:00:00Z,factual_observed,verified_closed_within_48h,Fictional scheduled delivery may affect priority and outcome,level_1_descriptive_only,"Observed outcome belongs only to the executed action; no causal comparison"
CDL-R004,DEC-BIRCH-014,Beginner,SITE-BIRCH,rental_follow_up_timing,2026-08-04T16:30:00Z,CTX-BIRCH-122,CSET-BIRCH-014,ACT-CONTACT-NOW,Use permitted contact channel now,eligible,Fictional contact preference permits channel and time,POL-CONTACT-02@1.4,RECOMMENDER-SHADOW-02@1.0,2026-08-04T16:29:52Z,1,0.68,estimated_response_likelihood_uncalibrated,visible_shadow,1.0,HUMAN-CONTACT@unmodeled,unknown,Human selection probability was not captured,false,assistant_manager,customer_preference_window,not_executed,,OUT-QUALIFIED-REPLY24@1,2026-08-05T16:30:00Z,counterfactual_not_observed,,Fictional exercise; applicable consent and communication rules must be verified,level_1_descriptive_only,"Model score is not a logging propensity or causal effect"
CDL-R005,DEC-BIRCH-014,Beginner,SITE-BIRCH,rental_follow_up_timing,2026-08-04T16:30:00Z,CTX-BIRCH-122,CSET-BIRCH-014,ACT-CONTACT-PREFERRED,Wait for declared preferred contact window,eligible,Fictional preference record identifies a later window,POL-CONTACT-02@1.4,RECOMMENDER-SHADOW-02@1.0,2026-08-04T16:29:52Z,2,0.61,estimated_response_likelihood_uncalibrated,visible_shadow,1.0,HUMAN-CONTACT@unmodeled,unknown,Human selection probability was not captured,true,assistant_manager,customer_preference_window,executed_and_read_back,fictional communication receipt READ-BIRCH-229,OUT-QUALIFIED-REPLY24@1,2026-08-05T16:30:00Z,factual_observed,qualified_reply_within_24h,Fictional response could be influenced by unrecorded external contact,level_1_descriptive_only,"Observed association does not prove preferred-window action caused reply"
CDL-R006,DEC-BIRCH-014,Beginner,SITE-BIRCH,rental_follow_up_timing,2026-08-04T16:30:00Z,CTX-BIRCH-122,CSET-BIRCH-014,ACT-NO-CONTACT,Do not initiate follow-up in this window,eligible,Fictional contact policy permits no action,POL-CONTACT-02@1.4,RECOMMENDER-SHADOW-02@1.0,2026-08-04T16:29:52Z,3,0.25,estimated_response_likelihood_uncalibrated,visible_shadow,1.0,HUMAN-CONTACT@unmodeled,unknown,Human selection probability was not captured,false,assistant_manager,not_selected,not_executed,,OUT-QUALIFIED-REPLY24@1,2026-08-05T16:30:00Z,counterfactual_not_observed,,Fictional exercise; no outcome under no-contact action was observed,level_1_descriptive_only,"Unchosen outcome must not inherit the chosen branch result"
CDL-R007,DEC-CEDAR-022,Intermediate,SITE-CEDAR,review_queue_sort_policy,2026-08-05T13:00:00Z,CTX-CEDAR-414,CSET-CEDAR-022,ACT-OLDEST-FIRST,Show oldest qualified item first,eligible,All candidate sort rules passed fictional queue-policy checks,POL-QUEUE-07@3.0,EXPERIMENT-ROUTER-01@1.1,2026-08-05T12:59:58Z,2,0.47,descriptive_model_score_not_selection_probability,displayed_and_selected,1.0,LOGPOL-CEDAR-03@1.0,0.50,Probability emitted and used by fictional randomized logging policy before selection,true,approved_experiment_router,randomized_assignment,executed_and_read_back,fictional queue receipt READ-CEDAR-552,OUT-DISPOSITION30@2,2026-08-05T17:00:00Z,factual_observed,disposition_within_30_minutes,Fictional exercise; repeated reviewers may create dependence,level_2_candidate_requires_method_review,"Known propensity alone is insufficient; consistency overlap dependence and uncertainty still require review"
CDL-R008,DEC-CEDAR-022,Intermediate,SITE-CEDAR,review_queue_sort_policy,2026-08-05T13:00:00Z,CTX-CEDAR-414,CSET-CEDAR-022,ACT-FLAG-FIRST,Show policy-flagged qualified item first,eligible,All candidate sort rules passed fictional queue-policy checks,POL-QUEUE-07@3.0,EXPERIMENT-ROUTER-01@1.1,2026-08-05T12:59:58Z,1,0.72,descriptive_model_score_not_selection_probability,not_selected,1.0,LOGPOL-CEDAR-03@1.0,0.25,Probability emitted and used by fictional randomized logging policy before selection,false,approved_experiment_router,randomized_assignment,not_executed,,OUT-DISPOSITION30@2,2026-08-05T17:00:00Z,counterfactual_not_observed,,Fictional exercise,level_2_candidate_requires_method_review,"Target-policy support and aggregate evaluation are separate from this unobserved branch"
CDL-R009,DEC-CEDAR-022,Intermediate,SITE-CEDAR,review_queue_sort_policy,2026-08-05T13:00:00Z,CTX-CEDAR-414,CSET-CEDAR-022,ACT-ROUND-ROBIN,Rotate first item across qualified facility queues,eligible,All candidate sort rules passed fictional queue-policy checks,POL-QUEUE-07@3.0,EXPERIMENT-ROUTER-01@1.1,2026-08-05T12:59:58Z,3,0.39,descriptive_model_score_not_selection_probability,not_selected,1.0,LOGPOL-CEDAR-03@1.0,0.25,Probability emitted and used by fictional randomized logging policy before selection,false,approved_experiment_router,randomized_assignment,not_executed,,OUT-DISPOSITION30@2,2026-08-05T17:00:00Z,counterfactual_not_observed,,Fictional exercise,level_2_candidate_requires_method_review,"No row-level counterfactual outcome is observed even in randomized data"
CDL-R010,DEC-DOGWOOD-031,Intermediate,SITE-DOGWOOD,work_packet_presentation,2026-08-06T14:00:00Z,CTX-DOGWOOD-701,CSET-DOGWOOD-031,ACT-FULL-PACKET,Present full evidence packet before review,eligible,Fictional protocol permits all three presentation forms,POL-REVIEW-11@1.2,PRESENTATION-ROUTER-04@1.0,2026-08-06T13:59:57Z,not_applicable,,no_predictive_score,not_selected,1.0,LOGPOL-DOGWOOD-04@1.0,0.34,Probability emitted by fictional randomized router over exact candidate set,false,approved_experiment_router,randomized_assignment,not_executed,,OUT-REVIEW-QUALITY@1,2026-08-07T14:00:00Z,counterfactual_not_observed,,Fictional exercise; outcome capture must not depend on presentation arm,level_2_candidate_requires_method_review,"Review quality definition and blinded assessment require verification"
