record_id,grant_id,subject_type,subject_label,subject_platform_id,platform,account_scope,resource_type,resource_id,facility_ids,role_label,role_doc_version,direct_permissions,inherited_permissions,inheritance_source,highest_consequence_action,purpose,decision_owner,approver,approval_evidence,active_from,expires_at,review_due_at,removal_trigger,auth_method,mfa_state,credential_class,recovery_custodian,token_or_key_dependency,group_or_parent_dependency,shared_identity,activity_last_seen,revocation_route,continuity_identity,readback_at,effective_state,review_decision,review_owner,evidence_source,evidence_boundary
"AGC-001","GRANT-001","person","Fictional regional content coordinator","usr_wp_1042","WordPress","one fictional site","site","site_elm_01","FAC-ELM","Editor","checked 2026-08-22","edit and publish approved content; upload media","none observed","not applicable","change customer-facing content","Publish approved facility notices","Digital Content Owner","Regional Operations Director","fictional approval APR-001","2026-08-01T14:00:00Z","2026-11-01T00:00:00Z","2026-10-15T00:00:00Z","role change or project completion","individual account plus MFA","verified 2026-08-22","password plus authenticator","Identity Operations","none recorded","none recorded","no","2026-08-21T16:03:00Z","remove user role and invalidate sessions where supported","usr_wp_continuity_01","2026-08-22T12:00:00Z","active","approved","Access Governance Owner","fictional platform export and role page","Fictional training row; not real site access publication or ownership evidence."
"AGC-002","GRANT-002","person","Fictional agency developer","usr_wp_2077","WordPress","one fictional site","site","site_river_02","FAC-RIVER","Administrator","checked 2026-08-22","manage plugins themes settings users and content under observed site configuration","hosting panel access through vendor group","vendor-group-web","install or remove executable site components","Complete bounded site migration","Technology Owner","Technology Owner","fictional change approval APR-002","2026-08-10T09:00:00Z","2026-08-25T18:00:00Z","2026-08-23T18:00:00Z","migration accepted or vendor engagement ends","individual account plus MFA","verified 2026-08-22","password plus authenticator","Vendor Identity Sponsor","deployment credential held separately","vendor parent group","no","2026-08-22T08:00:00Z","remove site user remove vendor group rotate deployment credential verify fresh denial","Continuity user 02","not yet performed","active","expire","Technology Owner","fictional role export group inventory and approval","Fictional training row; not real vendor access migration provider relation or site ownership."
"AGC-003","GRANT-003","person","Fictional facility manager","gacct_mgr_301","Google Business Profile","single profile","Business Profile","gbp_fac_003","FAC-HARBOR","Manager","checked 2026-08-22","edit profile information respond to reviews manage posts under current product rules","none observed","not applicable","change public location information","Maintain approved facility information","Facility Identity Owner","Area Manager","fictional approval APR-003","2026-07-01T15:00:00Z","","2026-10-01T15:00:00Z","facility transfer or employment change","individual Google Account plus MFA","verified 2026-08-20","Google Account credential","Identity Operations","none recorded","none recorded","no","2026-08-20T17:00:00Z","remove manager and verify profile user list","gacct_owner_continuity_01","2026-08-22T13:00:00Z","active","approved","Facility Identity Owner","fictional user-list readback and platform documentation","Fictional training row; manager is a product role not facility company trademark or legal ownership."
"AGC-004","GRANT-004","person","Fictional former marketing lead","gacct_owner_401","Google Business Profile","business group","Business Profile group","gbpg_004","FAC-ALPHA; FAC-BETA; FAC-GAMMA","Owner","checked 2026-08-22","manage profiles users and group under current product rules","all group profiles","business-group owner","remove profiles or users","Historical portfolio administration","Facility Identity Owner","Unknown","approval evidence missing","2025-03-01T00:00:00Z","","2026-08-22T18:00:00Z","role change already occurred","individual Google Account","unknown","Google Account credential","unknown","none recorded","business group","no","2026-04-10T11:00:00Z","preserve evidence identify continuity owner reduce or remove exact group role verify profiles","unknown","not performed","unknown","investigate","Facility Identity Owner","fictional stale user export","Fictional training row; platform owner label and stale export do not prove current access or business ownership."
"AGC-005","GRANT-005","person","Fictional search analyst","gacct_sc_501","Google Search Console","one URL-prefix property","Search Console property","sc_url_005","FAC-CEDAR","Full user","checked 2026-08-22","view all data and take product-defined non-owner actions","none observed","not applicable","submit supported validation or indexing actions","Diagnose approved site issues","Web Operations Owner","Web Operations Owner","fictional approval APR-005","2026-08-01T00:00:00Z","2026-09-01T00:00:00Z","2026-08-29T00:00:00Z","project completion","individual Google Account plus MFA","verified 2026-08-21","Google Account credential","Identity Operations","none recorded","none recorded","no","2026-08-22T10:30:00Z","remove user from property and verify user list","gacct_sc_continuity_01","2026-08-22T13:10:00Z","active","approved","Web Operations Owner","fictional Search Console permission export","Fictional training row; full-user role is not verified ownership indexing ranking or domain-control evidence."
"AGC-006","GRANT-006","person","Fictional prior webmaster","gacct_sc_601","Google Search Console","domain property","Search Console property","sc_domain_006","FAC-PORTFOLIO","Verified owner","checked 2026-08-22","full property control under current product rules","verification token remains in DNS","DNS verification","add owners and change property settings","Former technical administration","Web Operations Owner","Historical approver unknown","legacy evidence incomplete","2024-01-15T00:00:00Z","","2026-08-22T18:00:00Z","vendor offboarding occurred","individual Google Account","unknown","Google Account plus DNS token","Domain Operations","DNS TXT verification token","domain registrar access path unknown","no","2025-12-10T09:00:00Z","remove verified owner token after continuity and DNS rollback check then verify user list","gacct_sc_continuity_02","not performed","potentially active","investigate","Web Operations Owner","fictional property and DNS dependency inventory","Fictional training row; verified-owner state is not legal ownership and no removal is authorized by this register."
"AGC-007","GRANT-007","person","Fictional operations analyst","gh_usr_701","GitHub","one repository","repository","repo_ops_007","FAC-TOOLS","Write","API version 2022-11-28 checked 2026-08-22","push code and manage ordinary project content under current repository settings","team membership grants same repository","team-ops-tools","change repository content","Maintain approved operator templates","Repository Decision Owner","Engineering Manager","fictional approval APR-007","2026-07-15T00:00:00Z","","2026-10-15T00:00:00Z","team change or inactivity","individual account plus MFA","verified 2026-08-22","GitHub account credential","Identity Operations","personal token inventory held separately","team membership","no","2026-08-21T20:00:00Z","remove team membership and direct role revoke tokens if necessary verify repository access","Continuity user 07","2026-08-22T13:20:00Z","active","approved","Repository Decision Owner","fictional collaborator and team export","Fictional training row; repository write does not prove organization deployment domain secret or business ownership."
"AGC-008","GRANT-008","person","Fictional release contractor","gh_usr_801","GitHub","one repository plus environment","repository and deployment environment","repo_web_008","FAC-WEB","Admin","API version 2022-11-28 checked 2026-08-22","repository administration including sensitive product-defined actions","deployment key has write access","direct role plus deploy key","change settings or delete repository","Temporary release recovery","Repository Decision Owner","Technology Owner","fictional incident approval APR-008","2026-08-22T06:00:00Z","2026-08-22T18:00:00Z","2026-08-22T17:00:00Z","incident closes","individual account plus MFA","verified 2026-08-22","GitHub account plus deploy key","Technology Owner","write deploy key","none recorded","no","2026-08-22T12:15:00Z","remove admin role remove deploy key verify repository and environment access","Continuity user 08","not performed","active","expire","Technology Owner","fictional collaborator key and approval export","Fictional training row; no real repository release incident or deployment result."
"AGC-009","GRANT-009","person","Fictional identity administrator","entra_usr_901","Microsoft Entra","one tenant role","directory role","entra_role_009","FAC-CORP","time-bound eligible privileged role","checked 2026-08-22","eligible to activate exact privileged role after configured controls","group eligibility","pim_group_identity_admin","manage selected identity settings during activation","Quarterly identity review","Identity Governance Owner","Security Owner","fictional approval APR-009","2026-08-01T00:00:00Z","2026-09-01T00:00:00Z","2026-08-29T00:00:00Z","review completes or duty changes","individual federated account plus MFA","verified 2026-08-22","federated credential","Identity Operations","none recorded","PIM-enabled group","no","2026-08-20T12:00:00Z","remove eligibility and group membership verify role assignment and activation history","entra_breakglass_01","2026-08-22T13:30:00Z","eligible not active","approved","Identity Governance Owner","fictional PIM assignment and audit export","Fictional training row; illustrates product capability not actual license deployment security or compliance."
"AGC-010","GRANT-010","service account","Fictional review synchronizer","svc_review_1001","Fictional review platform","three facility profiles","API resource set","api_profiles_010","FAC-ONE; FAC-TWO; FAC-THREE","custom integration role","contract v1.2","read new reviews and write approved response drafts","parent app installation can access all profiles","app installation","write public response if incorrectly configured","Synchronize approved response candidates","Customer Communications Owner","Technology Owner","fictional approval APR-010","2026-08-01T00:00:00Z","2026-08-31T00:00:00Z","2026-08-24T00:00:00Z","integration replacement or scope change","service identity with workload credential","not applicable","rotating client credential","Technology Owner","client credential in approved vault","parent app installation","no","2026-08-22T11:00:00Z","disable service identity revoke credential reduce app installation verify all three profiles","svc_review_continuity_01","not performed","active","reduce","Customer Communications Owner","fictional app manifest and API audit","Fictional training row; not real integration platform access review activity or product capability."
