Record ID,Correction group,Baseline target population,Observed baseline,Authorized change,Result state,Readback class,Closure evidence,Open limitation,Public claim boundary
PCS-001,Identity and authority,1 Page,Exact company Page ID 100531736 under the verified Jared super-admin route,Reacquire exact actor Page and authority before each edit,Closed,Authenticated provider readback,Exact actor Page ID and edit controls matched before mutation,Page access does not prove legal ownership,Authority-to-edit evidence only
PCS-002,Narrative fields,1 tagline,Prior tagline did not carry the governed eight-location six-state boundary,Replace with the evidence-bounded current tagline,Closed,Member-facing readback,Current tagline visible after provider save,Portfolio scope may change later,Exact visible copy only
PCS-003,Narrative fields,1 overview,Prior overview contained unsupported or overbroad positioning,Replace with the governed evidence-bounded overview,Closed,Member-facing readback,Full current overview visible after provider save,Owned company description is not independent coverage,Exact visible copy only
PCS-004,Narrative fields,1 founding-year field,Founded 1960 lacked governing support,Remove the founding-year value,Closed,Member-facing readback,Founding-year field absent after provider save,Absence does not establish another founding date,Removal evidence only
PCS-005,Narrative fields,1 custom testimonial,Custom testimonial lacked governed provenance,Disable the custom testimonial,Closed,Member-facing readback,Custom testimonial absent after provider save,No judgment about any underlying customer relationship,Visibility state only
PCS-006,Specialties,21 specialty entries,Five unsupported specialties identified in the first bounded batch,Remove five unsupported entries one at a time within one verified session,Closed,Member-facing readback,Specialty list began after the five removed entries,Individual labels are not reproduced in the public case study,Count and state only
PCS-007,Specialties,16 specialty entries,Three additional unsupported specialties remained after the first batch,Remove three additional unsupported entries with individual saves,Closed,Member-facing readback,Thirteen entries remained after the three verified saves,Concurrent edits can invalidate a batch,Count and state only
PCS-008,Specialties,13 specialty entries,Locker Storage - Small Item Security | modSTORAGE Monterey remained,Remove exactly the named unsupported entry in one save,Closed,Member-facing readback,Twelve specialties remained and the next visible entry became the expected first item,Twelve other entries remain open,Exact single-entry correction only
PCS-009,Specialties,12 specialty entries,Twelve unsupported specialties remained after nine verified removals,Preserve remaining values until a fresh uncontested session,Open,Authenticated and member-facing readback,No further specialty save represented as complete,Provider conflict risk remains,Open queue evidence only
PCS-010,Location fields,4 location defects,Primary street appeared as 4730 29th St,Change only the street field to 47-30 29th Street,Closed,Authenticated provider-admin readback,Admin table displayed 47-30 29th Street New York NY 11101 US,Member view displays city and state rather than full street,Authenticated field result only
PCS-011,Location fields,3 location defects,Airport Way location used an incorrect street suffix,Change only the street field to 1118 Airport Way,Closed,Authenticated provider-admin readback,Fresh exact-admin table showed 1118 Airport Way,Full street is not exposed in the member summary,Authenticated field result only
PCS-012,Location fields,2 location defects,Sky Park Way location used an incorrect street suffix,Change only the street field to 401 Sky Park Way,Closed,Authenticated provider-admin readback,Fresh exact-admin table showed 401 Sky Park Way,Full street is not exposed in the member summary,Authenticated field result only
PCS-013,Location fields,1 legacy location record,One legacy location record remained listed,Attempt one bounded removal then discard on provider conflict,Open,Authenticated provider response,Concurrent-admin conflict appeared and the unsaved edit was discarded,Legacy record remains and no deletion is claimed,Open conflict evidence only
PCS-014,Public destination,1 company CTA,Page lacked the governed current all-locations destination,Set the official all-locations URL as the company CTA,Closed,Member-facing readback,CTA resolved to https://www.modstorage.com/all-locations,Link availability does not prove facility ownership or service uniformity,Exact destination only
PCS-015,Reconciliation,30 field-level targets,Four narrative fields 21 specialties four location defects and one CTA were in scope,Count only provider-verified saves and preserve every failed or held item,17 closed and 13 open,Reconciled evidence packet,Four narrative fields nine specialties three location fields and one CTA closed; twelve specialties and one legacy location remained open,Counts are workflow states not business-performance metrics,No causal customer financial search or reputation result
PCS-016,Stop condition,1 provider conflict class,Another admin is trying to make changes to this page at the same time as you,Discard every rejected edit and stop repeated saves,Closed control behavior,Authenticated provider response,Rejected specialty and location edits were discarded without claiming mutation,The underlying concurrent actor and cause are unknown,Control-response evidence only
