record_id,fictional,scenario,facility_id,target_system,target_device,target_point,proposal_id,proposal_version,generating_actor,requested_action,requested_value,unit,purpose,evidence_snapshot,consequence_class,authority_id,approving_principal,delegated_role,policy_version,authorization_time,authorization_expiry,precondition_state_version,precondition_freshness,command_id,attempt_id,correlation_id,idempotency_key,protocol,dispatch_time,receipt_grade,native_receipt,target_execution_state,observation_id,observation_source,independence_grade,observed_at,observed_value,tolerance,reconciliation_state,reversal_intervention_id,terminal_state,evidence_boundary
FIC-REC-001,true,Temporary outbound gate-hours extension,HARBOR-ANNEX-FIC,GATE-SCHEDULER,GATE-OUT-01,access_window,FIC-PROP-001,1,fictional_ai_assistant,set_expiry,18:15,local_time,Allow one delayed fictional moving truck to leave,FIC-SNAP-001,C2,FIC-AUTH-001,Fictional Site Manager,site_access_schedule_approver,POL-ACCESS-7,2026-08-23T17:48:00-04:00,2026-08-23T18:00:00-04:00,45,all_sources_within_threshold,FIC-CMD-001,FIC-ATT-001,FIC-CORR-001,FIC-IDEM-001,fictional_versioned_command,2026-08-23T17:49:00-04:00,R4,accepted_then_controller_active,applied,FIC-OBS-001,separate_gate_state_path,I2,2026-08-23T17:49:09-04:00,18:15,0_minutes,restoration_readback_passed,,verified_closed,"Fictional teaching record; not facility product deployment performance safety or customer evidence."
FIC-REC-002,true,Gate-hours proposal stopped for stale loop health,HARBOR-ANNEX-FIC,GATE-SCHEDULER,GATE-OUT-01,access_window,FIC-PROP-002,1,fictional_ai_assistant,set_expiry,18:15,local_time,Test stop behavior when a material precondition is stale,FIC-SNAP-002,C2,,,site_access_schedule_approver,POL-ACCESS-7,,,45,loop_health_outside_threshold,,,,,,not_dispatched,R0,no_command_constructed,not_executed,,,I0,,,0_minutes,qualification_failed,,cancelled_before_dispatch,"Fictional stop case; no actual device inspection command or facility state."
FIC-REC-003,true,HVAC setpoint command accepted but independently unobserved,CEDAR-ROW-FIC,BAS,RTU-03,occupied_cooling_setpoint,FIC-PROP-003,1,fictional_rules_assistant,set_value,75,degF,Reduce fictional peak load within approved comfort policy,FIC-SNAP-003,C2,FIC-AUTH-003,Fictional Regional Operator,portfolio_energy_override_approver,POL-HVAC-12,2026-08-23T14:00:00-05:00,2026-08-23T14:05:00-05:00,220,weather_and_zone_state_current,FIC-CMD-003,FIC-ATT-001,FIC-CORR-003,FIC-IDEM-003,fictional_opc_ua_write,2026-08-23T14:01:00-05:00,R3,Good_operation_status,reported_applied,FIC-OBS-003,separate_zone_sensor,I3,2026-08-23T14:04:30-05:00,,1_degF,effect_unverified,,unresolved,"Fictional case demonstrating that target success without sufficient observation is not verified effect."
FIC-REC-004,true,Lighting schedule applied and restored,NORTH-DOCK-FIC,LIGHTING-CONTROL,PANEL-L2,after_hours_schedule,FIC-PROP-004,2,fictional_operator_workbench,set_expiry,22:00,local_time,Support a fictional approved maintenance window,FIC-SNAP-004,C1,FIC-AUTH-004,Fictional Facility Manager,site_lighting_schedule_approver,POL-LIGHT-4,2026-08-23T19:30:00-04:00,2026-08-23T20:00:00-04:00,88,current,FIC-CMD-004,FIC-ATT-001,FIC-CORR-004,FIC-IDEM-004,fictional_mqtt_qos1,2026-08-23T19:31:00-04:00,R4,PUBACK_then_panel_active,applied,FIC-OBS-004,separate_lighting_circuit_monitor,I3,2026-08-23T19:31:08-04:00,on,exact,restoration_readback_passed,,verified_closed,"Fictional teaching data; MQTT acknowledgement was retained separately from circuit observation."
FIC-REC-005,true,Duplicate relative-duration command blocked,SUMMIT-LOCK-FIC,GATE-SCHEDULER,GATE-IN-01,extension_minutes,FIC-PROP-005,1,fictional_ai_assistant,extend_duration,15,minutes,Illustrate unsafe accumulation on retry,FIC-SNAP-005,C2,FIC-AUTH-005,Fictional Site Manager,site_access_schedule_approver,POL-ACCESS-7,2026-08-23T17:20:00-06:00,2026-08-23T17:25:00-06:00,31,current,FIC-CMD-005,FIC-ATT-002,FIC-CORR-005,FIC-IDEM-005,fictional_nonidempotent_post,2026-08-23T17:22:05-06:00,R2,service_duplicate_detected,duplicate_blocked,FIC-OBS-005,governing_schedule_read,I1,2026-08-23T17:22:08-06:00,18:15,0_minutes,no_second_effect,,verified_closed,"Fictional retry case; does not evaluate a real protocol or controller."
FIC-REC-006,true,Expired access command rejected,RIVER-YARD-FIC,ACCESS-CONTROL,READER-07,temporary_credential_state,FIC-PROP-006,1,fictional_service_desk_assistant,enable,active,boolean,Support a fictional escorted vendor visit,FIC-SNAP-006,C2,FIC-AUTH-006,Fictional Security Lead,temporary_access_approver,POL-TEMP-ACCESS-3,2026-08-23T08:00:00-07:00,2026-08-23T08:15:00-07:00,902,current,FIC-CMD-006,FIC-ATT-001,FIC-CORR-006,FIC-IDEM-006,fictional_conditional_write,2026-08-23T08:16:02-07:00,R3,expired_precondition_failed,rejected,FIC-OBS-006,separate_credential_state_path,I2,2026-08-23T08:16:05-07:00,inactive,exact,no_effect,,expired_before_execution,"Fictional expiry case; no credential person or facility is real."
FIC-REC-007,true,Controller clamped HVAC setpoint,CEDAR-ROW-FIC,BAS,RTU-02,occupied_heating_setpoint,FIC-PROP-007,1,fictional_energy_assistant,set_value,62,degF,Illustrate partial or clamped application,FIC-SNAP-007,C2,FIC-AUTH-007,Fictional Regional Operator,portfolio_energy_override_approver,POL-HVAC-12,2026-08-23T06:30:00-05:00,2026-08-23T06:35:00-05:00,144,current,FIC-CMD-007,FIC-ATT-001,FIC-CORR-007,FIC-IDEM-007,fictional_opc_ua_write,2026-08-23T06:31:00-05:00,R3,Good_Clamped_65F,clamped,FIC-OBS-007,separate_zone_sensor,I3,2026-08-23T06:32:00-05:00,65,1_degF,authorized_postcondition_mismatch,FIC-REV-007,compensated,"Fictional clamp case; compensation requires a separately governed intervention."
FIC-REC-008,true,Manual override superseded pending lighting command,NORTH-DOCK-FIC,LIGHTING-CONTROL,PANEL-L3,after_hours_schedule,FIC-PROP-008,1,fictional_operator_workbench,set_expiry,23:00,local_time,Illustrate newer human authority invalidating automation,FIC-SNAP-008,C1,FIC-AUTH-008,Fictional Facility Manager,site_lighting_schedule_approver,POL-LIGHT-4,2026-08-23T19:10:00-04:00,2026-08-23T19:20:00-04:00,66,manual_override_absent_at_approval,FIC-CMD-008,FIC-ATT-001,FIC-CORR-008,FIC-IDEM-008,fictional_versioned_command,2026-08-23T19:18:00-04:00,R3,precondition_version_conflict,rejected,FIC-OBS-008,governing_schedule_read,I1,2026-08-23T19:18:02-04:00,manual_override_active,exact,superseded_by_newer_authority,,cancelled_before_dispatch,"Fictional authority-conflict case; no actual operator or schedule."
FIC-REC-009,true,Camera privacy-mask proposal escalated,PINE-CROSSING-FIC,VIDEO-MANAGEMENT,CAM-12,privacy_mask_polygon,FIC-PROP-009,1,fictional_security_assistant,replace_polygon,hash:fictional-mask-v2,hash,Respond to a fictional layout change,FIC-SNAP-009,C3,,,,POL-VIDEO-9,,,17,current,,,,,,,R0,automation_stopped,not_executed,,,,,,,specialist_review_required,,unresolved,"Fictional C3 stop case; not privacy legal security or camera-configuration advice."
FIC-REC-010,true,Door unlock receipt without physical-open inference,HARBOR-ANNEX-FIC,ACCESS-CONTROL,DOOR-02,lock_state,FIC-PROP-010,1,fictional_service_desk_assistant,set_state,unlocked,enum,Support a fictional authorized equipment delivery,FIC-SNAP-010,C2,FIC-AUTH-010,Fictional Site Manager,site_access_override_approver,POL-ACCESS-8,2026-08-23T10:00:00-04:00,2026-08-23T10:05:00-04:00,501,current,FIC-CMD-010,FIC-ATT-001,FIC-CORR-010,FIC-IDEM-010,fictional_controller_command,2026-08-23T10:01:00-04:00,R3,target_reported_unlock,reported_applied,FIC-OBS-010,door_position_contact,I3,2026-08-23T10:01:02-04:00,closed,exact,lock_unlocked_door_closed,,verified_closed,"Fictional example separating lock state from door position; not a security procedure."
