test_id,level,control_area,scenario,expected_gate,required_evidence,required_disposition,stop_condition,readback_method,rollback_or_compensation,residual_owner,evidence_boundary,fictional_flag,status
CPQ-001,Beginner,Assertion identity,Operator overwrites a wrong value without preserving the predecessor,fail,Two immutable assertion IDs and correction link,replace,Predecessor identity missing,Inspect correction packet lineage,Restore from protected history if possible,fictional-data-owner,"No claim that a stored current value proves correction completeness",yes,ready
CPQ-002,Beginner,Authority,A manager proposes a correction outside the manager's recorded scope,hold,Current authority record and exact scope,quarantine,Qualified authority absent,Read exact approval and scope record,Retain predecessor as governing until approved,fictional-operations-owner,"No legal employment or role conclusion",yes,ready
CPQ-003,Beginner,Effective time,Corrected value is known but its governing start time is unknown,hold,Dated source evidence and time-basis rule,quarantine,Effective time unresolved,Query packet time fields,Do not backdate or recompute history,fictional-source-owner,"No historical fact or customer-impact conclusion",yes,ready
CPQ-004,Beginner,Source evidence,Correction arrives in an unreferenced chat message,hold,Qualified source reference and author identity,quarantine,Source cannot be qualified,Open evidence reference and compare subject,Preserve reported candidate separately,fictional-source-owner,"No claim that message delivery establishes truth",yes,ready
CPQ-005,Beginner,Propagation scope,Source row changed and ticket is marked complete,fail,Named consumer inventory with dispositions,multi_consumer_propagation,Any known consumer unassigned,Check every consumer readback,Reopen correction and freeze dependency snapshot,fictional-correction-owner,"Source update is not operational closure",yes,ready
CPQ-006,Beginner,Immutable history,Historical recommendation contains the superseded assertion,pass_with_annotation,Original input envelope and correction ID,annotate,Original record would be rewritten,Read immutable record plus correction link,Remove current-use eligibility without altering history,fictional-ai-governance-owner,"No recommendation quality or model-performance claim",yes,ready
CPQ-007,Beginner,Sent communication,Customer-facing fictional message was already sent,escalate,Exact sent record recipient scope and consequence review,cannot_reverse,Owner disposition absent,Read communication and correction ledgers,Issue correction notice only if authorized,fictional-communications-owner,"No actual recipient delivery harm or resolution evidence",yes,ready
CPQ-008,Beginner,Public representations,Visible page changes but structured data retains predecessor,fail,Page and structured-data versions,replace,Representations disagree,Fetch both exact outputs,Restore prior release or correct both,fictional-web-owner,"No publication indexing or search-display claim",yes,ready
CPQ-009,Beginner,State language,Write receipt is labeled reconciled,fail,Separated accepted executed readback and reconciled states,annotate,Receipt used as closure proof,Compare state ledger and output query,Correct status without altering receipt,fictional-correction-owner,"Provider receipt is not governing-output proof",yes,ready
CPQ-010,Beginner,No-action decision,Spreadsheet consumer is assigned no action without a reason,hold,Reason owner consequence class and review date,no_action,Reason or authority missing,Inspect no-action fields,Quarantine spreadsheet from current use,fictional-consumer-owner,"No claim that low effort means low consequence",yes,ready
CPQ-011,Intermediate,Concurrency,Source changes again after correction qualification,stop,Current predecessor hash or entity tag,rebase,Precondition mismatch,Read current governing assertion,Create superseding packet from new predecessor,fictional-source-owner,"No lost-update prevention beyond tested resource",yes,ready
CPQ-012,Intermediate,Cache scope,HTTP cache invalidated but nightly export remains old,fail,Cache receipt export manifest and source version,invalidate_and_recompute,Export still references predecessor,Fresh GET plus export row check,Rebuild export or hold distribution,fictional-integration-owner,"Cache invalidation does not prove derivative correction",yes,ready
CPQ-013,Intermediate,Transformation identity,Report recomputed with an unrecorded new formula,hold,Input versions transformation ID and code hash,recompute,Transformation differs without approval,Compare candidate to qualified transform,Recompute with approved version,fictional-report-owner,"No metric truth financial or performance claim",yes,ready
CPQ-014,Intermediate,Idempotency,Retry creates two correction notices,fail,Stable idempotency key and prior execution receipt,notify,Duplicate side effect possible,Count exact send operations,Suppress duplicate and preserve both attempts,fictional-communications-owner,"No real send delivery or response claim",yes,ready
CPQ-015,Intermediate,Tombstone retention,Delete marker may expire before slow consumer catches up,hold,Retention deadline and consumer checkpoint,retract,Consumer cannot observe marker before deadline,Compare offset to deletion-retention boundary,Use qualified snapshot rebuild path,fictional-stream-owner,"No Kafka deployment or delivery guarantee",yes,ready
CPQ-016,Intermediate,Consumer lag,Consumer reports healthy but checkpoint predates correction,fail,Partition offset or equivalent version checkpoint,replay,Post-correction checkpoint absent,Query consumer position and governing state,Replay from bounded qualified source,fictional-stream-owner,"Health status is not correction observation",yes,ready
CPQ-017,Intermediate,Duplicate execution,Same correction packet runs after completion,pass_if_idempotent,Execution receipt idempotency key and output version,no_action,Output or side effect would duplicate,Read current output and receipt,Return existing receipt without executing,fictional-workflow-owner,"No general exactly-once guarantee",yes,ready
