source_id,source_title,publisher,source_url,source_type,publication_or_version_date,checked_at_utc,claim_supported,limitations
FIC-SRC-001,NIST SP 800-82 Rev. 3 Guide to Operational Technology Security,NIST,https://csrc.nist.gov/pubs/sp/800/82/r3/final,Final NIST Special Publication,2023-09,2026-08-23T03:31:04Z,"Defines OT as programmable systems and devices that interact with or manage devices interacting with the physical environment and names building automation and physical access control examples.","Security guidance with unique OT performance reliability and safety context; does not prescribe this facility intervention contract prove any deployment or certify an implementation."
FIC-SRC-002,NIST SP 800-160 Vol. 1 Rev. 1 Engineering Trustworthy Secure Systems,NIST,https://csrc.nist.gov/pubs/sp/800/160/v1/r1/final,Final NIST Special Publication,2022-11,2026-08-23T03:31:04Z,"Provides systems security engineering principles activities and tasks including verification validation assurance and lifecycle thinking.","General systems engineering guidance; does not define a self-storage command protocol physical readback method or safety approval."
FIC-SRC-003,NIST SP 800-53 Rev. 5 current Release 5.2.0,NIST,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,Final NIST Special Publication with 2025 minor release,2025-08-27,2026-08-23T03:31:04Z,"Provides access control audit configuration management contingency incident response and system integrity control families relevant to explicit authorization accountability recovery and monitoring.","A control catalog rather than a facility implementation specification; citation does not claim control selection implementation assessment or certification."
FIC-SRC-004,Artificial Intelligence Risk Management Framework AI RMF 1.0,NIST,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,Released voluntary framework,2023-01-26,2026-08-23T03:31:04Z,"Provides voluntary Govern Map Measure and Manage risk-management functions for organizations designing deploying using or evaluating AI systems.","Non-sector-specific and voluntary; version 1.0 is being revised and does not certify this method or prescribe facility controls."
FIC-SRC-005,Artificial Intelligence Risk Management Framework Generative AI Profile NIST AI 600-1,NIST,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,Released cross-sectoral profile,2024-07-26,2026-08-23T03:31:04Z,"Provides generative-AI risk considerations and proposed actions across governance content information security human-AI configuration and incident dimensions.","Cross-sectoral voluntary profile; does not establish model fitness physical-action authority safety or deployment."
FIC-SRC-006,The NIST Cybersecurity Framework CSF 2.0,NIST,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,Released NIST Cybersecurity White Paper,2024-02-26,2026-08-23T03:31:04Z,"Provides outcome-oriented Govern Identify Protect Detect Respond and Recover functions useful for mapping authorization monitoring exception response and restoration practices.","Voluntary outcome framework; a mapping does not prove conformity security performance or recovery capability."
FIC-SRC-007,PROV-DM The PROV Data Model,W3C,https://www.w3.org/TR/2013/REC-prov-dm-20130430/,Pinned W3C Recommendation,2013-04-30,2026-08-23T03:31:04Z,"Defines entities activities agents generation use derivation attribution invalidation and qualified provenance relations for connecting proposal authorization command receipt observation and reconciliation records.","Domain-agnostic provenance vocabulary; does not establish truth authority sufficient readback physical effect or safe closure."
FIC-SRC-008,MQTT Version 5.0,OASIS Open,https://docs.oasis-open.org/mqtt/mqtt/v5.0/os/mqtt-v5.0-os.html,OASIS Standard,2019-03-07,2026-08-23T03:31:04Z,"Defines application-message delivery QoS and acknowledgement flows and states that a QoS 1 receiver need not complete onward delivery before PUBACK.","Messaging transport semantics stop at the sender-receiver boundary and do not prove controller execution physical effect or governing-state reconciliation."
FIC-SRC-009,RFC 9110 HTTP Semantics Section 9.2.2 Idempotent Methods,RFC Editor,https://www.rfc-editor.org/rfc/rfc9110.html#section-9.2.2,Internet Standard,2022-06,2026-08-23T03:31:04Z,"Defines HTTP idempotency as the same intended effect on the server for multiple identical requests as for one request and discusses retry boundaries.","HTTP method semantics do not prove device-level operational idempotency physical effect duration or downstream compensation."
FIC-SRC-010,OpenTelemetry Tracing API Set Status,OpenTelemetry,https://opentelemetry.io/docs/specs/otel/trace/api/#set-status,Current official specification page,mutable,2026-08-23T03:31:04Z,"Defines span status as Unset Ok or Error for a traced operation and limits how status should be assigned.","Mutable observability specification; a span status reflects instrumentation convention and is not physical attestation or governing-state proof."
FIC-SRC-011,OPC UA Part 4 Section 5.3 Service results,OPC Foundation,https://reference.opcfoundation.org/Core/Part4/v105/docs/5.3,Pinned v1.05 online reference,1.05,2026-08-23T03:31:04Z,"Separates service-call status from individual operation StatusCodes and requires clients to inspect operation results even when the service call succeeds.","OPC UA service semantics are protocol-specific and do not by themselves prove physical effect persistence or sufficient independent observation."
FIC-SRC-012,OPC UA Part 4 Section 7.38 StatusCode,OPC Foundation,https://reference.opcfoundation.org/Core/Part4/v105/docs/7.38,Pinned v1.05 online reference,1.05,2026-08-23T03:31:04Z,"Defines good uncertain and bad StatusCode semantics and diagnostic context for service and operation results.","A server operation status reports its bounded outcome; it is not automatic evidence of a facility condition or authorization sufficiency."
