record_id,transaction_family_id,workflow_type,facility_id,legal_entity_id,source_record_id,source_version,amount,currency,amount_type,initiating_actor,authority_ref,initiated_at,idempotency_key,destination,acceptance_state,acceptance_ref,accepted_at,remaining_condition,provider_or_network_state,provider_state_at,ledger_state,ledger_ref,posting_period,posted_at,independent_evidence_state,independent_evidence_ref,match_state,reconciliation_id,reconciliation_state,exception_reason,current_owner,required_next_action,evidence_boundary
FSG-R001,TF-FICTION-001,refund,FAC-FICTION-ALDER,LE-FICTION-A,RF-F001,v2,-125.00,USD,gross_refund,SITE-MGR-01,AUTH-F001,2026-08-22T08:00:00-06:00,idem-f001,PROVIDER-A,accepted_processing,prv_701,2026-08-22T08:00:04-06:00,await_terminal_provider_state,processing,2026-08-22T08:01:00-06:00,not_posted,none,2026-08,unknown,not_available,none,not_eligible,none,not_started,provider_nonterminal,PROVIDER-MONITOR-01,poll_governed_status_without_duplicate_request,"Fictional refund; processing is not posting bank receipt or reconciliation."
FSG-R002,TF-FICTION-002,vendor_payment,FAC-FICTION-BIRCH,LE-FICTION-A,AP-F002,v1,-840.00,USD,gross_disbursement,AP-CLERK-01,AUTH-F002,2026-08-22T09:15:00-06:00,idem-f002,BANK-ROUTE-A,accepted,bank_req_202,2026-08-22T09:15:03-06:00,await_independent_bank_evidence,submitted,2026-08-22T09:15:03-06:00,posted,J-F002,2026-08,2026-08-22T09:14:00-06:00,not_found,none,unmatched,REC-F002,open,cutoff_or_pending,RECONCILER-01,retain_open_item_and_check_next_source,"Fictional payment; ledger posting is not bank movement."
FSG-R003,TF-FICTION-003,automatic_payout,FAC-FICTION-CEDAR,LE-FICTION-A,PO-F003,v1,2460.00,USD,net_payout,PROVIDER-AUTO-01,AUTH-F003,2026-08-22T05:00:00-06:00,idem-f003,BANK-ACCT-A,accepted,payout_303,2026-08-22T05:00:01-06:00,await_batch_classification,paid_out,2026-08-22T05:02:00-06:00,posted,J-F003,2026-08,2026-08-22T05:15:00-06:00,present,BK-F003,matched,REC-F003,reconciled_with_open_items,two_adjustments_unclassified,ACCOUNTING-EXCEPTION-01,classify_adjustments_before_full_close,"Fictional net payout; bank receipt does not classify underlying items."
FSG-R004,TF-FICTION-004,customer_collection,FAC-FICTION-DELTA,LE-FICTION-B,CL-F004,v1,215.00,USD,gross_collection,AUTOPAY-RULE-01,AUTH-F004,2026-08-22T06:30:00-06:00,idem-f004,PROVIDER-B,accepted_terminal,charge_404,2026-08-22T06:30:08-06:00,await_posting_and_payout,succeeded,2026-08-22T06:30:08-06:00,not_posted,none,2026-08,unknown,not_available,none,not_eligible,none,not_started,posting_mapping_missing,ACCOUNTING-QUEUE-02,resolve_source_to_ledger_mapping,"Fictional collection; provider success is product-specific and not reconciliation."
FSG-R005,TF-FICTION-005,fee,FAC-FICTION-DELTA,LE-FICTION-B,FEE-F005,v3,-8.40,USD,provider_fee,PROVIDER-B,AUTH-F005,2026-08-22T06:30:09-06:00,idem-f005,LEDGER-B,not_applicable,none,unknown,source_generated_fee,available,2026-08-22T06:30:09-06:00,posted,J-F005,2026-08,2026-08-22T07:00:00-06:00,present,REPORT-F005,matched,REC-F005,reconciled,none,RECONCILER-02,retain_source_and_match_evidence,"Fictional fee; no pricing or provider relationship claim."
FSG-R006,TF-FICTION-006,refund,FAC-FICTION-ECHO,LE-FICTION-B,RF-F006,v1,-90.00,USD,gross_refund,SITE-MGR-04,AUTH-MISSING,2026-08-22T10:00:00-06:00,idem-f006,PROVIDER-B,technically_accepted,prv_606,2026-08-22T10:00:02-06:00,authority_review_required,processing,2026-08-22T10:01:00-06:00,not_posted,none,2026-08,unknown,not_available,none,blocked,none,blocked,initiator_authority_unproven,FINANCIAL-CONTROL-01,freeze_follow_on_actions_and_review_authority,"Fictional control failure; technical acceptance does not cure missing authority."
FSG-R007,TF-FICTION-007,vendor_credit,FAC-FICTION-FOXTROT,LE-FICTION-C,VC-F007,v2,310.00,USD,vendor_credit,AP-CLERK-02,AUTH-F007,2026-08-22T11:00:00-06:00,idem-f007,LEDGER-C,accepted,doc_707,2026-08-22T11:02:00-06:00,await_approval,not_applicable,unknown,draft,J-DRAFT-F007,2026-08,unknown,not_applicable,none,not_eligible,none,not_started,approval_pending,AP-APPROVER-01,approve_reject_or_return_with_reason,"Fictional credit; draft is not posted."
FSG-R008,TF-FICTION-008,deposit,FAC-FICTION-ALDER,LE-FICTION-A,DEP-F008,v1,1500.00,USD,gross_deposit,SITE-MGR-01,AUTH-F008,2026-08-21T16:00:00-06:00,idem-f008,BANK-ACCT-A,accepted,dep_808,2026-08-21T16:00:03-06:00,await_bank_cutoff,submitted,2026-08-21T16:00:03-06:00,posted,J-F008,2026-08,2026-08-21T16:05:00-06:00,present,BK-F008,matched,REC-F008,reconciled,none,RECONCILER-01,close_with_exact_source_bundle,"Fictional deposit; no cash-handling procedure or bank promise."
FSG-R009,TF-FICTION-009,chargeback,FAC-FICTION-BIRCH,LE-FICTION-A,CB-F009,v4,-420.00,USD,dispute_debit,PROVIDER-A,AUTH-F009,2026-08-20T12:00:00-06:00,idem-f009,LEDGER-A,accepted,evt_909,2026-08-20T12:00:10-06:00,response_deadline_open,disputed,2026-08-22T08:00:00-06:00,posted,J-F009,2026-08,2026-08-22T08:10:00-06:00,present,REPORT-F009,matched,REC-F009,reconciled_with_open_items,dispute_outcome_open,DISPUTE-OWNER-01,preserve_financial_match_and_separate_dispute_state,"Fictional dispute; reconciliation does not resolve the dispute outcome."
FSG-R010,TF-FICTION-010,automatic_payout,FAC-FICTION-CEDAR,LE-FICTION-A,PO-F010,v1,980.00,USD,net_payout,PROVIDER-AUTO-01,AUTH-F010,2026-08-22T05:00:00-06:00,idem-f010,BANK-ACCT-A,accepted,payout_1010,2026-08-22T05:00:01-06:00,await_bank_evidence,paid_out,2026-08-22T05:02:00-06:00,posted,J-F010,2026-08,2026-08-22T05:15:00-06:00,source_unavailable,none,unknown,REC-F010,blocked,bank_source_read_failed,RECONCILER-01,retry_source_read_and_keep_state_unknown,"Fictional outage; unavailable evidence is not failure or success."
