audit_id,work_type,edge_id,facility_id,work_item_id,work_item_version,consequence_band,prior_owner,proposed_receiver,receiver_kind,route,route_attempted_at,transport_state,transport_receipt_ref,receiver_disposition,receiver_actor,accepted_at,requested_action,scope_exclusions,acceptance_due,next_update_due,expiration_behavior,current_owner,start_state,completion_disposition,completion_at,reconciliation_state,reconciler,successor_handoff_id,exception_state,evidence_refs,audit_classification,required_next_action,evidence_boundary
PHA-A001,urgent_gate_issue,EDGE-CENTRAL-SITE,FAC-FICTION-ALDER,WI-F001,v3,consequential,CENTRAL-OPS-01,SITE-ALDER-QUEUE,governed_queue,email,2026-08-22T08:00:00-06:00,delivered,object://fiction/receipt/A001,pending,none,unknown,assess_condition_and_confirm_control,no_configuration_change,2026-08-22T08:10:00-06:00,unknown,return_to_central_at_deadline,CENTRAL-OPS-01,not_started,none,unknown,not_started,none,none,queue_owner_unknown,object://fiction/evidence/A001,delivered_unaccepted,assign_queue_owner_and_reissue,"Fictional audit row; no real incident or performance claim."
PHA-A002,urgent_gate_issue,EDGE-SITE-VENDOR,FAC-FICTION-ALDER,WI-F001,v3,consequential,SITE-MGR-01,VENDOR-GATE-QUEUE,external_queue,vendor_portal,2026-08-22T08:12:00-06:00,technically_accepted,object://fiction/receipt/A002,pending_vendor_review,none,unknown,review_dispatch_request,no_arrival_commitment,2026-08-22T08:42:00-06:00,unknown,site_retains_operating_action,SITE-MGR-01,not_started,none,unknown,not_started,none,none,receipt_misread_as_acceptance,object://fiction/evidence/A002,technically_received,keep_site_control_and_escalation_clock,"Fictional vendor example; no provider relationship or service promise."
PHA-A003,urgent_gate_issue,EDGE-VENDOR-SITE,FAC-FICTION-ALDER,WI-F001,v3,consequential,VENDOR-GATE-QUEUE,SITE-MGR-01,person,vendor_portal,2026-08-22T10:20:00-06:00,delivered,object://fiction/receipt/A003,accepted,SITE-MGR-01,2026-08-22T10:24:00-06:00,start_approved_observation_window,no_diagnosis_or_repair_claim,2026-08-22T10:40:00-06:00,2026-08-22T12:00:00-06:00,escalate_if_update_missed,SITE-MGR-01,started,unable_to_reproduce,2026-08-22T10:18:00-06:00,in_progress,SITE-MGR-01,none,none,object://fiction/evidence/A003,accepted_and_started,complete_observation_and_reconcile,"Fictional case; unable to reproduce is not resolution."
PHA-A004,routine_maintenance,EDGE-SHIFT-SHIFT,FAC-FICTION-BIRCH,WI-F010,v1,routine,SHIFT-AM-01,SHIFT-PM-01,person,shift_log,2026-08-22T13:50:00-06:00,available,object://fiction/receipt/A004,accepted,SHIFT-PM-01,2026-08-22T13:55:00-06:00,verify_part_arrival_and_schedule_install,no_scope_change,2026-08-22T14:10:00-06:00,2026-08-22T16:00:00-06:00,return_to_site_manager,SITE-PM-01,started,none,unknown,not_started,none,none,none,object://fiction/evidence/A004,accepted,record_next_update,"Fictional shift handoff."
PHA-A005,routine_maintenance,EDGE-SITE-CENTRAL,FAC-FICTION-BIRCH,WI-F011,v2,routine,SITE-MGR-02,CENTRAL-MAINT-QUEUE,governed_queue,work_order_system,2026-08-22T09:30:00-06:00,delivered,object://fiction/receipt/A005,accepted,CENTRAL-DISPATCH-02,2026-08-22T09:34:00-06:00,source_replacement_part,no_installation_scope,2026-08-22T10:00:00-06:00,2026-08-22T15:00:00-06:00,escalate_to_queue_owner,CENTRAL-DISPATCH-02,started,part_ordered,2026-08-22T11:20:00-06:00,pending_sender_reconciliation,SITE-MGR-02,none,none,object://fiction/evidence/A005,receiver_complete_unreconciled,site_confirms_part_identity_and_follow_up,"Fictional case; order state is not receipt or installation."
PHA-A006,invoice_exception,EDGE-SITE-ACCOUNTING,FAC-FICTION-CEDAR,WI-F020,v4,controlled,SITE-MGR-03,AP-EXCEPTION-QUEUE,governed_queue,accounting_system,2026-08-22T08:45:00-06:00,delivered,object://fiction/receipt/A006,rejected,AP-REVIEWER-01,2026-08-22T09:02:00-06:00,reconcile_scope_and_invoice_reference,no_payment_authorization,2026-08-22T09:15:00-06:00,unknown,return_to_site_on_rejection,SITE-MGR-03,not_started,rejected_missing_reference,2026-08-22T09:02:00-06:00,returned,SITE-MGR-03,none,required_reference_missing,object://fiction/evidence/A006,rejected_and_returned,attach_exact_reference_and_reissue,"Fictional financial workflow; no payment decision."
PHA-A007,invoice_exception,EDGE-ACCOUNTING-SITE,FAC-FICTION-CEDAR,WI-F020,v5,controlled,AP-REVIEWER-01,SITE-MGR-03,person,accounting_system,2026-08-22T10:10:00-06:00,delivered,object://fiction/receipt/A007,accepted,SITE-MGR-03,2026-08-22T10:18:00-06:00,verify_corrected_scope_reference,no_payment_approval,2026-08-22T10:30:00-06:00,2026-08-22T12:00:00-06:00,return_to_ap_after_deadline,SITE-MGR-03,started,none,unknown,not_started,none,none,none,object://fiction/evidence/A007,accepted,perform_bounded_reference_check,"Fictional case; finance and operations states remain separate."
PHA-A008,customer_account_exception,EDGE-CALLCENTER-SITE,FAC-FICTION-DELTA,WI-F030,v2,controlled,CALLCENTER-QUEUE,SITE-MGR-04,person,case_system,2026-08-22T11:00:00-06:00,delivered,object://fiction/receipt/A008,conditional_acceptance,SITE-MGR-04,2026-08-22T11:08:00-06:00,inspect_named_local_record,no_customer_contact_until_review,2026-08-22T11:15:00-06:00,2026-08-22T12:00:00-06:00,escalate_to_central_ops,SITE-MGR-04,started,none,unknown,not_started,none,none,condition_not_reflected_in_summary,object://fiction/evidence/A008,accepted_with_condition,update_structured_scope_condition,"Fictional account workflow; no customer outcome."
PHA-A009,facility_data_correction,EDGE-SITE-DATA,FAC-FICTION-DELTA,WI-F040,v1,controlled,SITE-MGR-04,DATA-STEWARDSHIP-QUEUE,governed_queue,data_ticket,2026-08-22T07:50:00-06:00,delivery_failed,object://fiction/receipt/A009,none,none,unknown,review_hours_record,no_publication_action,2026-08-22T08:20:00-06:00,unknown,return_to_sender_immediately,SITE-MGR-04,not_started,none,unknown,not_started,none,none,authorization_error,object://fiction/evidence/A009,route_failed,recover_authorized_route_without_duplicate_change,"Fictional data correction; no live-site mutation."
PHA-A010,facility_data_correction,EDGE-DATA-PUBLISHER,FAC-FICTION-ECHO,WI-F041,v6,controlled,DATA-STEWARD-01,PUBLISHER-QUEUE,external_queue,api,2026-08-22T12:20:00-06:00,technically_accepted,object://fiction/receipt/A010,accepted,PUBLISHER-SVC-01,2026-08-22T12:20:03-06:00,apply_approved_record_version,no_other_fields,2026-08-22T12:25:00-06:00,2026-08-22T12:50:00-06:00,query_status_monitor,DATA-STEWARD-01,started,processing,unknown,not_started,none,none,http_202_not_completion,object://fiction/evidence/A010,accepted_processing,await_result_and_independent_readback,"Fictional API case; receipt is not publication."
PHA-A011,acquisition_transition,EDGE-TRANSITION-PERMANENT,FAC-FICTION-FOXTROT,WI-F050,v9,consequential,TRANSITION-LEAD-01,PORTFOLIO-OPS-01,person,controlled_handoff,2026-08-22T09:00:00-06:00,delivered,object://fiction/receipt/A011,accepted,PORTFOLIO-OPS-01,2026-08-22T09:30:00-06:00,assume_named_open_items_and_controls,legal_or_financial_ownership,2026-08-22T10:00:00-06:00,2026-08-22T17:00:00-06:00,escalate_to_transition_sponsor,PORTFOLIO-OPS-01,started,partial_inventory_accepted,2026-08-22T09:30:00-06:00,in_progress,TRANSITION-LEAD-01,H-F051,unmapped_item_owner,object://fiction/evidence/A011,partial_acceptance,reconcile_unmapped_items_by_identity,"Fictional transition; no property or legal relationship claim."
PHA-A012,automation_review,EDGE-HUMAN-AI,FAC-FICTION-ALDER,WI-F060,v3,controlled,OPS-ANALYST-01,AI-ASSEMBLER-01,software_agent,workflow,2026-08-22T10:00:00-06:00,delivered,object://fiction/receipt/A012,accepted_by_rule,AI-ASSEMBLER-01,2026-08-22T10:00:01-06:00,extract_candidate_handoff_fields,no_ownership_transfer,2026-08-22T10:00:05-06:00,2026-08-22T10:01:00-06:00,return_to_human_on_error,OPS-ANALYST-01,started,draft_packet_generated,2026-08-22T10:00:12-06:00,pending_human_review,OPS-ANALYST-01,none,model_output_not_authority,object://fiction/evidence/A012,assistant_complete_human_owned,review_every_candidate_field,"Fictional AI workflow; no model performance claim."
PHA-A013,automation_review,EDGE-AI-HUMAN,FAC-FICTION-ALDER,WI-F060,v3,controlled,AI-ASSEMBLER-01,OPS-ANALYST-01,person,workflow,2026-08-22T10:00:13-06:00,available,object://fiction/receipt/A013,accepted,OPS-ANALYST-01,2026-08-22T10:00:20-06:00,review_and_authorize_or_reject_draft,no_auto_assignment,2026-08-22T10:01:00-06:00,2026-08-22T10:05:00-06:00,discard_draft_at_expiry,OPS-ANALYST-01,started,rejected_wrong_asset_candidate,2026-08-22T10:02:00-06:00,reconciled,OPS-ANALYST-01,none,semantic_similarity_not_identity,object://fiction/evidence/A013,rejected_and_reconciled,correct_asset_link_before_new_handoff,"Fictional human review; no accuracy claim."
PHA-A014,vendor_follow_up,EDGE-VENDOR-CENTRAL,FAC-FICTION-ECHO,WI-F070,v2,routine,VENDOR-QUEUE-02,CENTRAL-MAINT-QUEUE,governed_queue,email,2026-08-22T14:00:00-06:00,delivered,object://fiction/receipt/A014,redirected,CENTRAL-DISPATCH-03,2026-08-22T14:10:00-06:00,verify_completion_evidence,no_site_readback,2026-08-22T14:20:00-06:00,2026-08-22T15:00:00-06:00,link_successor_and_return_owner,SITE-MGR-05,not_started,redirected_to_site,2026-08-22T14:10:00-06:00,successor_open,SITE-MGR-05,H-F071,central_not_verification_owner,object://fiction/evidence/A014,redirected_with_successor,site_accepts_successor_handoff,"Fictional vendor workflow; no completion or service result."
