source_id,source_title,publisher,source_url,source_type,publication_or_version_date,checked_at_utc,claim_supported,limitations
FOC-SRC-001,NIST SP 800-82 Rev. 3 Guide to Operational Technology Security,NIST,https://csrc.nist.gov/pubs/sp/800/82/r3/final,Final NIST Special Publication,2023-09,2026-08-23T05:30:30Z,"Defines OT as programmable systems and devices that interact with or manage devices interacting with the physical environment and explicitly includes building automation physical access control and environmental monitoring examples.","Cybersecurity guidance with OT performance reliability and safety context; does not define this authored observation-coverage method or prove a facility control deployment."
FOC-SRC-002,NIST SP 800-137 Information Security Continuous Monitoring for Federal Information Systems and Organizations,NIST,https://csrc.nist.gov/pubs/sp/800/137/final,Final NIST Special Publication,2011-09,2026-08-23T05:30:30Z,"Supports an organization-defined monitoring strategy with frequencies metrics status reporting and response processes sufficient for risk-based decisions.","Federal information-security monitoring guidance; continuous means decision-appropriate frequency rather than literal uninterrupted observation and does not prescribe facility telemetry."
FOC-SRC-003,NIST SP 800-53 Rev. 5 current Release 5.2.0,NIST,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,Final control catalog with current minor release,2025-08-27,2026-08-23T05:30:30Z,"Provides audit accountability continuous-monitoring system-integrity configuration and physical-environment control families useful for explicit observation ownership retention and review.","A flexible control catalog; this package does not claim implementation assessment conformity or certification."
FOC-SRC-004,NIST Cybersecurity Framework 2.0,NIST,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,Final framework,2024-02-26,2026-08-23T05:30:30Z,"Provides outcome-oriented Govern Identify Protect Detect Respond and Recover functions and current monitoring outcomes.","Voluntary cross-sector framework; mappings in this package are design aids rather than conformity or risk-reduction evidence."
FOC-SRC-005,Artificial Intelligence Risk Management Framework AI RMF 1.0,NIST,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,Released framework under active revision,2023-01-26,2026-08-23T05:30:30Z,"Supports context-specific Govern Map Measure and Manage practices including documentation measurement monitoring and human oversight for AI risk.","Voluntary use-case-agnostic framework; version 1.0 is under revision and does not validate this method or any AI system."
FOC-SRC-006,Artificial Intelligence Risk Management Framework Generative Artificial Intelligence Profile NIST AI 600-1,NIST,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,Final cross-sector profile,2024-07-26,2026-08-23T05:30:30Z,"Supports documentation monitoring incident handling human review and explicit management of confabulation data and automation risks in generative-AI use.","Voluntary cross-sector profile; it does not prescribe self-storage operations or certify a model workflow or facility."
FOC-SRC-007,NIST Privacy Framework Version 1.0,NIST,https://www.nist.gov/privacy-framework/privacy-framework,Released voluntary framework,2020-01,2026-08-23T05:30:30Z,"Supports identifying and managing privacy risk across data processing and communicating why data is processed.","Version 1.0 is used because 1.1 remains an initial public draft; the framework is not legal advice and does not authorize collection or surveillance."
FOC-SRC-008,RFC 9232 Network Telemetry Framework,IETF RFC Editor,https://www.rfc-editor.org/rfc/rfc9232.html,Informational RFC,2022-05,2026-08-23T05:30:30Z,"Distinguishes telemetry generation collection correlation and consumption; discusses coverage viewpoints acquisition mechanisms quality security and privacy limitations.","Network-focused informational framework and explicitly not an Internet Standards Track specification; facility application here is an authored analogy."
FOC-SRC-009,OpenTelemetry Metrics Data Model,OpenTelemetry,https://opentelemetry.io/docs/specs/otel/metrics/data-model/,Current web specification with mixed section stability,mutable-current,2026-08-23T05:30:30Z,"Defines metric streams points attributes units timestamps temporality transformations gaps and the distinction between defined and absent values.","Mutable specification with mixed section stability; software telemetry semantics do not establish physical facility state or sensor fitness."
FOC-SRC-010,OPC Unified Architecture Part 4 Services Section 5.13 MonitoredItems,OPC Foundation,https://reference.opcfoundation.org/specs/OPC-10000-4/5.13,Pinned v1.05 reference page,v1.05,2026-08-23T05:30:30Z,"Defines sampling intervals queues monitoring modes notifications revised parameters status and overflow behavior for monitored items.","Protocol-service semantics only; a monitored value or good status does not prove sensor placement calibration physical coverage or operating fitness."
FOC-SRC-011,MQTT Version 5.0,OASIS Open,https://docs.oasis-open.org/mqtt/mqtt/v5.0/os/mqtt-v5.0-os.html,OASIS Standard,2019-03-07,2026-08-23T05:30:30Z,"Defines keep-alive retained-message session-expiry and message-delivery semantics needed to distinguish connection evidence stored messages and application observation.","Message and session semantics stop at the protocol boundary; keep alive QoS and retained messages do not prove producer health freshness meaning or physical state."
FOC-SRC-012,PROV-DM The PROV Data Model,W3C,https://www.w3.org/TR/2013/REC-prov-dm-20130430/,Pinned W3C Recommendation,2013-04-30,2026-08-23T05:30:30Z,"Provides entities activities agents generation use derivation attribution and invalidation relations for preserving how an observation or inference was produced.","Provenance supports assessment but does not make an assertion true authoritative complete current or decision-ready."
FOC-SRC-013,JSON Schema Core Draft 2020-12,JSON Schema project,https://json-schema.org/draft/2020-12/json-schema-core,Published specification draft,2022-06-16,2026-08-23T05:30:30Z,"Defines structural schema vocabulary identifiers annotations and instance evaluation used by the companion contract schema.","Structural validation does not establish truth sensor quality source authority coverage privacy safety or operational admissibility."
