control_id,stage,operator_question,required_record,hard_stop,allowed_disposition,owner,evidence_to_close,fictional_example,claim_boundary
ACA-01,Resource identity,"What exact facility account asset interval or audience can this command change?","stable resource key and collision domain","Resource identity or collision domain is ambiguous","hold and hand back","resource owner","resolved resource key and scope","Harbor Pine Storage Gate 2 calendar from 14:00 to 15:00; entirely fictional","A resolved key does not prove authority or safety"
ACA-02,Proposal identity,"Can this proposal be distinguished from every retry and every new intent?","proposal ID trace ID actor workflow and build version","Proposal identity or build version is missing","reject or rebuild","workflow owner","immutable proposal record","Fictional proposal MAINT-412-A","Identity does not prove correctness"
ACA-03,Intent,"Is the intended effect exact and machine-readable?","command type parameters intended effect and intent hash","Effect is free form incomplete or internally inconsistent","hold and clarify","workflow owner","validated command schema and intent hash","Restrict fictional Gate 2 access for one hour","Schema validity does not establish permission"
ACA-04,Governing source,"Which source governs the state this command will change?","source ID source owner and read method","No approved governing source is named","reject and hand back","data owner","current governing-source read","Fictional access calendar","A governing source can still be stale unavailable or wrong"
ACA-05,Expected version,"Which exact state version supported the proposal and approval?","expected version value or hash and observed_at","Expected version is absent or cannot be compared","hold","workflow owner","version captured with proposal","Fictional version 412","Version identity does not establish factual accuracy"
ACA-06,Precondition,"Does the expected version still match immediately before commitment?","current version and compare result","Current version differs or cannot be read","reject stale proposal and rebuild","resource owner","failed or passed precondition receipt","Fictional version 413 supersedes 412","A passed precondition does not clear other conflicts"
ACA-07,Policy,"Which policy version governs the command and its collision rules?","policy ID version effective period and scope","Policy is missing expired conflicting or outside scope","hold and escalate","policy owner","current policy decision record","Fictional access-maintenance precedence policy","A policy reference is not legal or regulatory advice"
ACA-08,Authority,"Who may authorize this effect for this resource and consequence?","authority class approver identity scope and expiration","Approver lacks scope or approval expired","reject or obtain new approval","authority owner","bounded approval record","Fictional maintenance owner approval","Approval is not execution or outcome"
ACA-09,Consequence,"What is the highest reachable operating effect?","consequence tier affected parties dependent automation and prohibited effects","Consequence is unknown or exceeds the workflow ceiling","hold and hand back","risk owner","approved consequence classification","Fictional tenant access effect","Classification does not predict harm or benefit"
ACA-10,Lease,"Does this collision domain require temporary exclusive technical control?","lease key holder purpose acquired_at renew_at expires_at","Required lease is missing expired or held by another actor","wait reject or hand back","execution owner","valid lease record","Fictional Gate 2 calendar lease","A lease coordinates execution but does not grant business authority"
ACA-11,Execution epoch,"Can the destination reject work from an expired or replaced holder?","monotonic epoch or fencing value and destination check","Destination cannot distinguish stale holder work where required","hold execution","platform owner","destination rejection test","Fictional epoch 88","An epoch does not prevent every delayed side effect"
ACA-12,Idempotency,"Will a retry repeat the same intent without creating another effect?","idempotency key retention rule first result and retry behavior","Key is missing reused for another intent or not honored on the path","hold or reconcile before retry","integration owner","idempotency readback and parameter match","Fictional key HP-G2-412-A","API idempotency does not prove exactly-once business outcome"
ACA-13,In-flight work,"What commands proposals and provider calls already target this domain?","open command inventory states and timestamps","In-flight work cannot be enumerated","hold and investigate","arbiter owner","complete open-work query","Fictional maintenance command already committed","No observed work is not proof that no work exists"
ACA-14,Conflict class,"Is this a duplicate stale-state incompatible-effect scope-overlap or authority conflict?","conflict class conflicting IDs and rule applied","Conflict is unclassified or policy has no disposition","hold and hand back","arbiter owner","conflict decision record","Fictional incompatible-effect conflict","Classification does not resolve ambiguity by itself"
ACA-15,Human handback,"Does a qualified person receive the smallest decision with the full evidence packet?","decision question proposals sources versions policies approvals effects deadline and allowed choices","Reviewer lacks evidence authority time or a safe choice","remain held","decision owner","signed bounded decision or explicit denial","Fictional incident owner chooses a non-overlapping window","Human review does not erase system design responsibility"
ACA-16,Execution,"Did the exact authorized command version enter the exact provider path once?","command ID version attempt ID destination and timestamp","Executed bytes or parameters differ from authorization","stop dependent work and open incident","execution owner","provider request record and response","Fictional restriction request","A provider response is not governing readback"
ACA-17,Provider receipt,"What narrow state did the provider acknowledge?","provider reference response state and acceptance meaning","Receipt is missing ambiguous or treated as operating completion","remain open and reconcile","integration owner","provider-state readback","Fictional accepted receipt","Acceptance does not prove application delivery or customer effect"
ACA-18,Governing readback,"Does a fresh independent read show the intended state and new version?","readback source query time value or hash and version","Readback fails disagrees or cannot be performed","stop dependents and route recovery","resource owner","matched governing readback","Fictional calendar version 413 shows restriction","A digital readback may not establish a physical condition"
ACA-19,Reconciliation,"Are dependent commands messages and exceptions consistent with the observed state?","dependency inventory dispositions residuals owner and next review","Required dependency is failed unknown or unresolved","remain open","reconciliation owner","reconciled packet with residuals","Fictional recovery proposal rebuilt against version 413","Reconciliation is bounded to enumerated dependencies"
ACA-20,Closure,"Can the command close without collapsing authorization acceptance application and reconciliation?","final state closure authority evidence packet and retention class","Any required state or evidence is missing","keep open or close with named residual if policy allows","closure owner","versioned closure record","Fictional command reconciled; no claimed real outcome","Closure is not publication coverage indexing recognition or proof of architecture effectiveness"
