record_id,context_id,context_version,layer,decision_question,facility_id,resource_field,subject_id,actor_id,authorizer_id,destination_id,identity_state,source_ref,source_version,source_authority,policy_ref,authority_state,event_id,event_schema_version,occurred_at,observed_at,effective_interval,state_value,state_quality,conflict_ref,admission_state,admission_reason,decision_candidate,consequence_class,approval_state,action_id,readback_target,evidence_boundary
"OCE-001","CTX-FIC-001","v1","identity","Which approved public Saturday office-hours value should be proposed for the owned profile?","FAC-CEDAR","public_profile.office_hours","facility public information","fictional drafting agent","facility identity owner","owned profile","resolved","facility identity register","v8","identity owner","POL-PUBLIC-INFO v3","allowed","","","","2026-08-22T13:00:00Z","","FAC-CEDAR","known","","admitted","Stable facility and field resolved","continue context build","low","not required","","owned profile field","Fictional training row; not a real facility profile or identity."
"OCE-002","CTX-FIC-001","v1","authority_policy","Which approved public Saturday office-hours value should be proposed for the owned profile?","FAC-CEDAR","public_profile.office_hours","facility public information","fictional drafting agent","facility identity owner","owned profile","resolved","approved schedule record","v4","public-information field owner","POL-PUBLIC-INFO v3","draft_only","","","","2026-08-22T13:01:00Z","","draft one field; publication excluded","known","","admitted_with_limit","Actor may draft but lacks publishing authority","prepare draft only","low","approval required to publish","ACT-FIC-001","owned profile field","Fictional authority; no actual permission credential or tool capability."
"OCE-003","CTX-FIC-001","v1","event_time","Which approved public Saturday office-hours value should be proposed for the owned profile?","FAC-CEDAR","public_profile.office_hours","facility public information","fictional drafting agent","facility identity owner","owned profile","resolved","schedule-change event","schema 2","event producer only","POL-PUBLIC-INFO v3","allowed","EVT-FIC-001","facility.schedule.changed.v2","2026-08-22T12:45:00Z","2026-08-22T12:45:09Z","2026-08-29T00:00:00Z/open","Saturday 09:00-17:00","known","","admitted_with_limit","Future-effective value retained with explicit interval","draft must name effective date","low","not yet requested","ACT-FIC-001","owned profile field","Fictional time and schedule; event receipt is not source authority or completion."
"OCE-004","CTX-FIC-001","v1","governing_state","Which approved public Saturday office-hours value should be proposed for the owned profile?","FAC-CEDAR","public_profile.office_hours","facility public information","fictional drafting agent","facility identity owner","owned profile","resolved","approved schedule record","v4","public-information field owner","POL-PUBLIC-INFO v3","allowed","EVT-FIC-001","facility.schedule.changed.v2","2026-08-22T12:45:00Z","2026-08-22T12:45:09Z","2026-08-29T00:00:00Z/open","Saturday 09:00-17:00 effective August 29","known","public page still shows prior value","admitted_with_limit","Governing value admitted and stale destination exposed","draft correction; do not claim destination updated","low","approval required to publish","ACT-FIC-001","owned profile field","Fictional value and destination state; no real hours claim."
"OCE-005","CTX-FIC-001","v1","decision_action","Which approved public Saturday office-hours value should be proposed for the owned profile?","FAC-CEDAR","public_profile.office_hours","facility public information","fictional drafting agent","facility identity owner","owned profile","resolved","context manifest CTX-FIC-001","v1","assembled from admitted fields","POL-PUBLIC-INFO v3","draft_only","EVT-FIC-001","facility.schedule.changed.v2","2026-08-22T12:45:00Z","2026-08-22T13:02:00Z","proposal expires 2026-08-28T18:00:00Z","future-effective correction draft","derived","","admitted_with_limit","Decision bound to context v1 and no publish authority","prepare bounded draft","low","pending qualified publisher","ACT-FIC-001","owned profile field","Fictional decision; no send publication readback or reconciliation."
"OCE-006","CTX-FIC-002","v1","identity","May a customer notice draft use the contact and unit records retrieved for one account?","FAC-PINE","customer_notice.body","fictional account subject","fictional service actor","communications owner","draft workspace","resolved","account identity record","v11","account identity owner","POL-COMMS v6","allowed","","","","2026-08-22T14:00:00Z","","one fictional account","known","","admitted","One account and one draft destination resolved","continue context build","medium","not required","","draft workspace","Fictional account and facility; contains no real personal data."
"OCE-007","CTX-FIC-002","v1","authority_policy","May a customer notice draft use the contact and unit records retrieved for one account?","FAC-PINE","customer_notice.body","fictional account subject","fictional service actor","communications owner","draft workspace","resolved","communications policy","v6","policy owner","POL-COMMS v6","conflict","","","","2026-08-22T14:01:00Z","","email purpose allowed; unit balance purpose unresolved","conflict","AUTH-FIC-002","held_conflict","Retrieved fields exceed the declared message purpose","remove financial field and request qualified decision","medium","blocked","ACT-FIC-002","draft record","Fictional policy conflict; no customer message or financial fact."
"OCE-008","CTX-FIC-002","v1","event_time","May a customer notice draft use the contact and unit records retrieved for one account?","FAC-PINE","customer_notice.body","fictional account subject","fictional service actor","communications owner","draft workspace","resolved","contact-preference event","schema 1","preference source only","POL-COMMS v6","allowed","EVT-FIC-002","account.contact.preference.v1","2026-08-21T19:00:00Z","2026-08-22T14:01:30Z","effective until superseded","email preference unknown","unknown","late observation","unknown_required","Preferred channel cannot be established from admitted evidence","request current preference source","medium","blocked","ACT-FIC-002","draft record","Fictional event; absence is not consent or channel preference."
"OCE-009","CTX-FIC-002","v1","governing_state","May a customer notice draft use the contact and unit records retrieved for one account?","FAC-PINE","customer_notice.body","fictional account subject","fictional service actor","communications owner","draft workspace","resolved","minimal account projection","v1","joined field owners","POL-COMMS v6","conflict","EVT-FIC-002","account.contact.preference.v1","2026-08-21T19:00:00Z","2026-08-22T14:02:00Z","context valid for draft session only","name admitted; email and balance rejected","conflict","AUTH-FIC-002","admitted_with_limit","Minimized projection supports template assembly only","draft without delivery channel or balance","medium","blocked","ACT-FIC-002","draft record","Fictional minimized state; not proof of consent delivery or account status."
"OCE-010","CTX-FIC-002","v1","decision_action","May a customer notice draft use the contact and unit records retrieved for one account?","FAC-PINE","customer_notice.body","fictional account subject","fictional service actor","communications owner","draft workspace","resolved","context manifest CTX-FIC-002","v1","assembled from admitted fields","POL-COMMS v6","denied_for_send","EVT-FIC-002","account.contact.preference.v1","2026-08-21T19:00:00Z","2026-08-22T14:03:00Z","proposal expires at source refresh","generic review draft","derived","AUTH-FIC-002","admitted_with_limit","Draft permitted while send remains denied","prepare review copy only","medium","human review required","ACT-FIC-002","draft record","Fictional decision; no real customer data send delivery review or legal conclusion."
"OCE-011","CTX-FIC-003","v1","identity","Can a portfolio variance explanation compare two facilities for one reporting period?","FAC-RED+FAC-BLUE","metric.occupied_units","fictional reporting population","fictional analytics actor","metric owner","internal report","resolved","facility and metric registry","v5","metric identity owner","POL-METRIC v2","allowed","","","","2026-08-22T15:00:00Z","","two facilities; July 2026","known","","admitted","Facility metric unit and period identities align","continue context build","low","not required","","internal report","Fictional facilities and metric; no actual performance value."
"OCE-012","CTX-FIC-003","v1","authority_policy","Can a portfolio variance explanation compare two facilities for one reporting period?","FAC-RED+FAC-BLUE","metric.occupied_units","fictional reporting population","fictional analytics actor","metric owner","internal report","resolved","metric definition","v2","metric owner","POL-METRIC v2","allowed","","","","2026-08-22T15:01:00Z","","same source population unit and period required","known","","admitted","Comparison policy and denominator rule reproduced","calculate only from admitted rows","low","not required","ACT-FIC-003","governing metric store","Fictional metric contract; not an accounting standard or benchmark."
"OCE-013","CTX-FIC-003","v1","event_time","Can a portfolio variance explanation compare two facilities for one reporting period?","FAC-RED+FAC-BLUE","metric.occupied_units","fictional reporting population","fictional analytics actor","metric owner","internal report","resolved","monthly close events","schema 3","metric source only","POL-METRIC v2","allowed","EVT-FIC-003A+003B","metric.period.closed.v3","2026-08-01T02:00:00Z","2026-08-22T15:01:30Z","July 2026 closed period","one facility has a later correction event","conflict","EVT-FIC-003C","held_conflict","Inputs do not share one correction horizon","wait for reconciled period versions","low","blocked","ACT-FIC-003","governing metric store","Fictional close and correction events; no actual financial or occupancy result."
"OCE-014","CTX-FIC-003","v1","governing_state","Can a portfolio variance explanation compare two facilities for one reporting period?","FAC-RED+FAC-BLUE","metric.occupied_units","fictional reporting population","fictional analytics actor","metric owner","internal report","resolved","metric snapshots","FAC-RED v12; FAC-BLUE v11","metric owner","POL-METRIC v2","conflict","EVT-FIC-003A+003B+003C","metric.period.closed.v3","2026-08-01T02:00:00Z","2026-08-22T15:02:00Z","July 2026 under reconciliation","comparison not admitted","conflict","EVT-FIC-003C","held_conflict","Version and correction horizon mismatch","show not comparable and name missing aligned snapshot","low","blocked","ACT-FIC-003","governing metric store","Fictional state; conflict is not zero variance or poor performance."
"OCE-015","CTX-FIC-003","v1","decision_action","Can a portfolio variance explanation compare two facilities for one reporting period?","FAC-RED+FAC-BLUE","metric.occupied_units","fictional reporting population","fictional analytics actor","metric owner","internal report","resolved","context manifest CTX-FIC-003","v1","assembled from admitted fields","POL-METRIC v2","deferred","EVT-FIC-003A+003B+003C","metric.period.closed.v3","2026-08-01T02:00:00Z","2026-08-22T15:03:00Z","expires after aligned snapshot admission","not comparable under current context","derived","EVT-FIC-003C","admitted","Truthful non-comparability is the current decision","defer variance explanation","low","not required","ACT-FIC-003","governing metric store","Fictional decision; no actual metric benchmark trend or operational outcome."
