case_id,level,drift_pattern,fictional_fixture,change,expected_compatibility,required_gate,expected_system_behavior,operator_check,evidence_required,rollback,public_claim_boundary,fictional,status
SDQ-001,Beginner,Label-only change,office_hours label,Change display label punctuation without definition change,non_breaking,Definition hash and consumer snapshot,Accept after display regression test,Confirm value meaning and field ID unchanged,Before-and-after label plus definition hash,Restore prior label,No facility-hours claim,yes,ready
SDQ-002,Beginner,Definition change,office_hours,Change from staffed office hours to all site access hours,breaking,Concept-boundary review and dual read,Block silent replacement and create new contract version,Name which hours field each consumer needs,Prior and new definitions source owners and examples,Keep prior contract active,No real office or access hours,yes,ready
SDQ-003,Beginner,Unit change,unit_size,Change square feet to square meters without field rename,breaking,Unit IRI conversion and display tests,Reject unlabeled values and require explicit conversion,Confirm unit next to every number,Conversion fixtures and source unit evidence,Restore prior unit contract,No real unit measurement,yes,ready
SDQ-004,Beginner,Scale change,occupancy_rate,Change fraction 0-1 to percent 0-100,breaking,Scale-factor and threshold regression,Block downstream thresholds until migrated,Check one known fictional value under both scales,Exact transformation test and consumer threshold inventory,Restore scale 1 contract,No occupancy result,yes,ready
SDQ-005,Beginner,Null change,available_units,Change blank from unknown to zero,breaking,Null-semantics review,Reject zero substitution and surface unknown,Compare blank zero unavailable and not applicable,Four-value fixture and UI readback,Restore unknown handling,No inventory availability claim,yes,ready
SDQ-006,Beginner,Allowed-value addition,message_status,Add failed_temporary code while consumers ignore it,additive,Consumer unknown-code test,Preserve new code and route unsupported consumers,Verify queue does not call it delivered,Provider vocabulary and consumer test,Map temporarily to unknown without data loss,No message delivery claim,yes,ready
SDQ-007,Beginner,Allowed-value removal,work_order_status,Remove awaiting_evidence while historical rows retain it,breaking,Historical replay and migration plan,Keep parser backward compatible or migrate explicitly,Find every historical affected row,Historical value count and migration evidence,Restore prior enum support,No work-order closure result,yes,ready
SDQ-008,Beginner,Field rename,gate_status,Rename controller_state with same definition,non_breaking,Alias deprecation and consumer inventory,Support old field during bounded migration,Confirm both names resolve to one term ID,Schema alias map and consumer results,Restore old serialization name,No gate condition claim,yes,ready
SDQ-009,Beginner,Producer change,lead_source,Move field to new service with unchanged contract,unknown,Source parity and provenance check,Dual read until values and clocks reconcile,Compare producer identity and field meaning separately,Paired results timestamps and mismatch ledger,Return to prior producer,No attribution performance claim,yes,ready
SDQ-010,Beginner,Description lag,delinquency_days,Code changes local cutoff but documentation remains UTC,breaking,Code-definition parity gate,Hold release and flag contract mismatch,Read implementation and definition side by side,Versioned code test and approved definition,Keep prior implementation,No collections guidance,yes,ready
SDQ-011,Intermediate,Population inclusion,occupancy_rate,Include company-use spaces in denominator,breaking,Population diff and historical parallel calculation,Dual calculate and label versions,Identify added population explicitly,Unit-level fictional reconciliation and denominator counts,Retain predecessor calculation,No occupancy metric or result,yes,ready
SDQ-012,Intermediate,Population exclusion,available_units,Exclude reserved units from available inventory,breaking,Reservation-state mapping and consumer review,Hold leasing routing until migrated,Check reserved state at effective time,State fixtures and downstream decision inventory,Restore inclusive contract,No real availability or leasing claim,yes,ready
