record_id,facility_id,fact_sheet_version,customer_facing_name,sign_name,internal_portfolio_name,legal_entity_reference,identity_state,address_line_1,address_line_2,locality,region,postal_code,country_code,postal_validation_state,public_display_address,map_latitude,map_longitude,map_precision,map_source,time_zone,office_hours_ref,gate_hours_ref,special_hours_ref,main_phone,phone_state,public_email,canonical_facility_url,lifecycle_state,feature_state,source_bundle_ref,source_checked_at,current_conflict,current_owner,next_review_at,website_sync_state,profile_sync_state,call_route_state,publication_hold,evidence_boundary
FSF-R001,FAC-FICTION-ALDER-01,18,Alder Annex Storage,Alder Annex Storage,Alder Annex,WITHHELD,verified_current,101 Fictional Cedar Ave,Suite A,Alder,CO,80000,US,fictional_validated,"101 Fictional Cedar Ave Suite A Alder CO 80000",39.0000,-105.0000,illustrative_only,SRC-FICTION-MAP-01,America/Denver,HRS-F001-OFFICE-v4,HRS-F001-GATE-v6,HRS-F001-SPECIAL-v2,tel:fictional-001,connected_handling_unverified,contact-alder@example.invalid,https://example.invalid/facilities/alder,current,one_feature_unknown,SRC-BUNDLE-F001-v18,2026-08-22T08:00:00-06:00,listing_b_on_v17,DATA-OWNER-01,2026-08-29T08:00:00-06:00,v18_verified,v17_discrepancy,technical_only,feature_wording_hold,"Fictional record; no real address phone listing feature legal entity or facility relationship."
FSF-R002,FAC-FICTION-BIRCH-02,7,Birch Row Storage,Birch Row Storage,Birch Row,WITHHELD,conflict_open,202 Fictional Birch St,,Birch,TX,70000,US,pending_validation,"202 Fictional Birch St Birch TX 70000",31.0000,-99.0000,illustrative_only,SRC-FICTION-MAP-02,America/Chicago,HRS-F002-OFFICE-v2,HRS-F002-GATE-v2,none,tel:fictional-002,unverified,contact-birch@example.invalid,https://example.invalid/facilities/birch,current,address_suffix_conflict,SRC-BUNDLE-F002-v7,2026-08-22T09:00:00-05:00,address_source_disagreement,DATA-OWNER-02,2026-08-23T09:00:00-05:00,hold,hold,unverified,address_publication_hold,"Fictional conflict; no address is admitted from recency alone."
FSF-R003,FAC-FICTION-CEDAR-03,11,Cedar Loop Storage,Cedar Loop,Cedar Loop,WITHHELD,change_pending,303 Fictional Loop Rd,,Cedar,AZ,85000,US,fictional_validated,"303 Fictional Loop Rd Cedar AZ 85000",34.0000,-111.0000,illustrative_only,SRC-FICTION-MAP-03,America/Phoenix,HRS-F003-OFFICE-v3,HRS-F003-GATE-v5,HRS-F003-SPECIAL-v1,tel:fictional-003,current,contact-cedar@example.invalid,https://example.invalid/facilities/cedar,current,verified_with_limitations,SRC-BUNDLE-F003-v11,2026-08-22T07:30:00-07:00,sign_name_change_pending,IDENTITY-OWNER-01,2026-08-24T07:30:00-07:00,v11_verified,v11_verified,current,name_change_hold,"Fictional name change; a sign observation does not establish legal or platform identity."
FSF-R004,FAC-FICTION-DELTA-04,4,Delta Yard Storage,Delta Yard Storage,Delta Yard,WITHHELD,verified_current,404 Fictional Yard Ln,Building 2,Delta,FL,33000,US,fictional_validated,"404 Fictional Yard Ln Building 2 Delta FL 33000",27.0000,-81.0000,illustrative_only,SRC-FICTION-MAP-04,America/New_York,HRS-F004-OFFICE-v1,HRS-F004-GATE-v2,HRS-F004-SPECIAL-v1,tel:fictional-004,current,contact-delta@example.invalid,https://example.invalid/facilities/delta,office_temporarily_closed,verified_current,SRC-BUNDLE-F004-v4,2026-08-22T10:00:00-04:00,temporary_office_closure,OPERATIONS-OWNER-04,2026-08-22T16:00:00-04:00,special_notice_verified,special_hours_pending,current,closure_readback_hold,"Fictional temporary state; no customer access safety or reopening promise."
FSF-R005,FAC-FICTION-ELM-05,9,Elm Gate Storage,Elm Gate Storage,Elm Gate,WITHHELD,verified_current,505 Fictional Elm Dr,,Elm,WA,98000,US,fictional_validated,"505 Fictional Elm Dr Elm WA 98000",47.0000,-120.0000,illustrative_only,SRC-FICTION-MAP-05,America/Los_Angeles,HRS-F005-OFFICE-v2,HRS-F005-GATE-v4,HRS-F005-SPECIAL-v3,tel:fictional-005,forwarded,contact-elm@example.invalid,https://example.invalid/facilities/elm,current,verified_current,SRC-BUNDLE-F005-v9,2026-08-22T07:00:00-07:00,call_handling_sample_open,COMMUNICATIONS-OWNER-02,2026-08-25T07:00:00-07:00,v9_verified,v9_verified,forwarded_handling_unverified,phone_claim_hold,"Fictional route; forwarding is not proof of correct operational handling."
FSF-R006,FAC-FICTION-FIR-06,2,Fir Point Storage,Fir Point Storage,Fir Point,WITHHELD,unknown,606 Fictional Fir Ct,,Fir,OR,97000,US,unknown,"606 Fictional Fir Ct Fir OR 97000",44.0000,-120.0000,illustrative_only,SRC-FICTION-MAP-06,America/Los_Angeles,HRS-F006-OFFICE-v1,HRS-F006-GATE-v1,unknown,tel:fictional-006,unknown,contact-fir@example.invalid,https://example.invalid/facilities/fir,transition_pending,unknown,SRC-BUNDLE-F006-v2,2026-08-22T07:15:00-07:00,source_owner_unconfirmed,REGIONAL-OWNER-03,2026-08-22T13:00:00-07:00,hold,hold,hold,full_publication_hold,"Fictional transition; legal ownership operation and availability remain unclassified."
FSF-R007,FAC-FICTION-GROVE-07,13,Grove Center Storage,Grove Center Storage,Grove Center,WITHHELD,verified_current,707 Fictional Grove Blvd,Unit 10,Grove,GA,30000,US,fictional_validated,"707 Fictional Grove Blvd Unit 10 Grove GA 30000",33.0000,-84.0000,illustrative_only,SRC-FICTION-MAP-07,America/New_York,HRS-F007-OFFICE-v5,HRS-F007-GATE-v5,none,tel:fictional-007,current,contact-grove@example.invalid,https://example.invalid/facilities/grove,current,do_not_publish_sensitive_detail,SRC-BUNDLE-F007-v13,2026-08-22T10:30:00-04:00,none,DATA-OWNER-07,2026-09-05T10:30:00-04:00,v13_verified,v13_verified,current,sensitive_detail_hold,"Fictional current record; internal operating details remain withheld."
FSF-R008,FAC-FICTION-HARBOR-08,6,Harbor Annex Storage,Harbor Annex,Harbor Annex,WITHHELD,conflict_open,808 Fictional Harbor Pkwy,,Harbor,ME,04000,US,fictional_validated,"808 Fictional Harbor Pkwy Harbor ME 04000",45.0000,-69.0000,illustrative_only,SRC-FICTION-MAP-08,America/New_York,HRS-F008-OFFICE-v3,HRS-F008-GATE-v4,HRS-F008-SPECIAL-v1,tel:fictional-008,current,contact-harbor@example.invalid,https://example.invalid/facilities/harbor,current,hours_conflict,SRC-BUNDLE-F008-v6,2026-08-22T11:00:00-04:00,website_and_office_schedule_disagree,HOURS-OWNER-01,2026-08-22T15:00:00-04:00,conflict,conflict,current,hours_publication_hold,"Fictional hours conflict; no schedule is promoted without source-owner disposition."
FSF-R009,FAC-FICTION-IVY-09,15,Ivy Ridge Storage,Ivy Ridge Storage,Ivy Ridge,WITHHELD,verified_current,909 Fictional Ivy Way,,Ivy,UT,84000,US,fictional_validated,"909 Fictional Ivy Way Ivy UT 84000",39.0000,-111.0000,illustrative_only,SRC-FICTION-MAP-09,America/Denver,HRS-F009-OFFICE-v4,HRS-F009-GATE-v6,HRS-F009-SPECIAL-v4,tel:fictional-009,current,contact-ivy@example.invalid,https://example.invalid/facilities/ivy,current,verified_with_limitations,SRC-BUNDLE-F009-v15,2026-08-22T09:30:00-06:00,profile_receipt_without_public_readback,PROFILE-OWNER-01,2026-08-23T09:30:00-06:00,v15_verified,submitted_readback_unknown,current,profile_outcome_hold,"Fictional submission; receipt is not application public readback indexing or ranking."
FSF-R010,FAC-FICTION-JUNIPER-10,1,Juniper Storage,Juniper Storage,Juniper,WITHHELD,pre_opening,1000 Fictional Juniper Ave,,Juniper,NM,87000,US,pending_validation,"1000 Fictional Juniper Ave Juniper NM 87000",34.0000,-106.0000,illustrative_only,SRC-FICTION-MAP-10,America/Denver,HRS-F010-OFFICE-draft,HRS-F010-GATE-draft,HRS-F010-SPECIAL-draft,tel:fictional-010,not_active,contact-juniper@example.invalid,https://example.invalid/facilities/juniper,pre_opening,do_not_publish,SRC-BUNDLE-F010-v1,2026-08-22T08:30:00-06:00,opening_authority_and_dates_unapproved,OPENING-OWNER-01,2026-08-23T08:30:00-06:00,not_published,not_submitted,not_active,full_publication_hold,"Fictional pre-opening record; no opening date availability ownership or operating claim."
