test_id,level,control_area,scenario,input_condition,expected_handoff_state,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
PHA-T001,Beginner,work_identity,Local ID collision,Two sites use WO-1042,failed,require_facility_namespace,facility_and_local_id,queue_owner,quarantine_ambiguous_records,No cross-site record is selected,"Fictional identity test",Alder,Portfolio ID must be global
PHA-T002,Beginner,routing,Invalid recipient,Message returns immediate failure,route_failed,return_to_sender,route_attempt_and_failure,dispatcher,choose_verified_route,Prior owner remains visible,"No delivery claim",Alder,Failure is not assignment
PHA-T003,Beginner,delivery,Mailbox receipt,Transport confirms delivery,delivered_unaccepted,retain_prior_owner,transport_receipt,dispatcher,escalate_at_acceptance_deadline,Receipt is not human acceptance,"No recipient handling claim",Birch,Keep states separate
PHA-T004,Beginner,acceptance,Named receiver accepts,Action and deadline are explicit,accepted,set_receiver_owner,acceptance_actor_scope_and_time,receiver,return_on_rejection_or_expiry,Next action has one owner,"Fictional workflow",Birch,Acceptance is bounded
PHA-T005,Beginner,group_queue,Department name only,No accountable queue owner exists,pending,block_ownership_transfer,queue_governance_record,sender,restore_sender_ownership,Vague group is not treated as owner,"No staffing claim",Cedar,Group label is insufficient
PHA-T006,Beginner,rejection,Receiver rejects scope,Reason is recorded,rejected,return_to_prior_owner,rejection_and_reason,sender,reissue_or_redirect_under_authority,Rejection never leaves work ownerless,"No cooperation judgment",Cedar,Healthy rejection is visible
PHA-T007,Beginner,start,Assigned but untouched,Acceptance exists but no start,accepted,show_accepted_not_started,acceptance_and_start_state,receiver,escalate_by_next_update,No start is invented,"No performance claim",Delta,Assignment differs from action
PHA-T008,Beginner,completion,Vendor says complete,Site readback not performed,receiver_complete,route_reconciliation,completion_source_and_scope,site_manager,reopen_governing_work,Portfolio closure remains open,"No verified result claim",Delta,Sender reconciles
PHA-T009,Beginner,successor,Work redirected,New handoff has no ID,failed,require_successor_identity,redirect_and_successor_id,current_owner,restore_current_owner,Redirect cannot hide destination,"Fictional case",Echo,Link the successor
PHA-T010,Intermediate,versioning,Work changes after acceptance,Scope version increments,review_required,reaccept_new_version,old_and_new_versions,work_owner,return_to_prechange_state,Receiver never inherits silent scope change,"No product claim",Echo,Acceptance binds a version
PHA-T011,Intermediate,clock,Acceptance deadline passes,No receiver disposition,expired,return_or_escalate,deadline_and_current_time,sender,apply_expiration_rule,Work has a named owner after expiry,"Fictional time policy",Foxtrot,Silence is not acceptance
PHA-T012,Intermediate,clock,Next update missed,Receiver previously accepted,overdue,escalate_without_erasing_owner,acceptance_and_due_time,queue_owner,record escalation and response,Overdue state and owner coexist,"No service-level claim",Foxtrot,Define local threshold
PHA-T013,Intermediate,conditional_acceptance,Receiver limits scope,Condition appears only in note,accepted_with_condition,structure_condition,exact acceptance text,receiver,reject if condition lost,Summary preserves the condition,"Fictional scope test",Alder,Conditional is not yes
PHA-T014,Intermediate,capacity,Receiver lacks capacity,Correctly rejects before acceptance,rejected,return_and_reroute,rejection_reason_and_time,sender,select capable receiver,Capacity does not become false ownership,"No staffing conclusion",Birch,Separate capability
PHA-T015,Intermediate,authority,Sender lacks transfer authority,Route technically succeeds,failed,void_proposed_transfer,role_and_authority_record,governance_owner,restore prior owner,Transport cannot cure missing authority,"No legal conclusion",Cedar,Authority is decision-time
PHA-T016,Intermediate,shift_handoff,Outgoing shift leaves note,Incoming shift has not accepted,delivered_unaccepted,retain_shift_or_escalation_owner,shift_record_and_acceptance,site manager,invoke shift coverage rule,Note does not create acceptance,"Fictional schedule",Delta,Named relief required
PHA-T017,Intermediate,financial_boundary,Invoice routed to accounting,Operations verification still open,accepted,keep_separate_owners,financial_and_operating_task_ids,site manager,link without merging states,Financial queue cannot close operating task,"No payment guidance",Echo,Two state machines
PHA-T018,Intermediate,metrics,Acceptance rate requested,Delivered denominator omitted,unknown,withhold_rate,numerator_denominator_period_source,analyst,republish defined metric,Rate cannot misstate population,"No benchmark claim",Foxtrot,State denominators matter
PHA-T019,Advanced,idempotency,Duplicate route attempt,Same handoff ID repeats,accepted,return_prior_disposition,handoff_id_and_response,system owner,replay safely,One logical transfer exists,"No implementation claim",Alder,Retry is not new work
PHA-T020,Advanced,correlation,Reply lacks handoff ID,Subject resembles two tasks,review_required,quarantine_reply,reply_and_candidate_ids,queue owner,request exact identifier,No guessed correlation occurs,"Fictional integration test",Birch,Text similarity is insufficient
PHA-T021,Advanced,race_condition,Acceptance and cancellation cross,Events arrive out of order,review_required,reconcile_event_time_and_authority,event_log_and_versions,system owner,restore last valid state,Deterministic result preserves both events,"No concurrency performance claim",Cedar,Arrival order may differ
PHA-T022,Advanced,partial_completion,Three requested actions,Receiver completes two,partially_completed,split_or_retain_remainder,scope_items_and_results,sender,create linked successor,Remainder retains an owner,"Fictional case",Delta,Do not flatten partial
PHA-T023,Advanced,provenance,Attachment replaced,Same name new hash,review_required,bind_exact_version,hash_and_generation_history,records owner,restore prior evidence,Acceptance evidence is immutable by identity,"No authenticity claim",Echo,Filename is not version
PHA-T024,Advanced,delegation,Receiver delegates,No authority chain recorded,review_required,hold_transfer,delegation_record_and_roles,governance owner,revoke or ratify under policy,Delegated owner is not inferred,"No employment claim",Foxtrot,Provenance is not authority
PHA-T025,Advanced,api_receipt,HTTP 202 returned,No status monitor result exists,technically_accepted,poll_or_reconcile,request_id_response_and_monitor,system owner,return on terminal failure,202 never appears as completion,"RFC analogy only",Alder,Receipt state is narrow
PHA-T026,Advanced,automation,AI extracts receiver,Tone implies a person accepted,draft_only,require_source_confirmation,source_span_model_version_and_fields,human reviewer,discard draft,AI cannot create acceptance,"No model accuracy claim",Birch,Evidence assembler role
PHA-T027,Advanced,unknown_state,Provider status unavailable,Last state was delivered,unknown,show_unknown_and_owner,status_error_and_last_state,site manager,retry or escalate,Unknown does not become accepted or failed,"No provider reliability claim",Cedar,Preserve uncertainty
PHA-T028,Architect,state_machine,Illegal direct transition,Created goes to reconciled,failed,reject_transition,state_graph_and_request,architecture owner,return to created,Only allowed transitions execute,"Proposed architecture",Delta,Make state semantics enforceable
PHA-T029,Architect,three_valued_logic,Acceptance query times out,Boolean default is true,failed,return_unknown,policy_version_and_query_error,architecture owner,manual review,Unknown never promotes ownership,"No availability claim",Echo,Fail bounded by consequence
PHA-T030,Architect,identity_graph,Queue alias changes,Historical receiver name is reused,review_required,resolve_stable_identity,queue_ids_and_validity_times,data owner,link versioned alias,History points to exact receiver,"Fictional identity model",Foxtrot,Names are labels
PHA-T031,Architect,policy_version,Expiration rule changes,Old handoff evaluated under new rule,failed,preserve_decision_time_rule,policy_versions_and_times,governance owner,recompute only as labeled analysis,Original outcome remains reconstructable,"No retrospective compliance claim",Alder,Version policy
