test_id,level,control_area,scenario,input_condition,expected_decision,expected_enforcement,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
PAC-T001,Beginner,authority,Rule file exists,No approving authority record,REQUIRE_REVIEW,none,policy_and_authority_records,policy owner,return to approval workflow,Code never creates authority,"Fictional method",Juniper,Repository access is not approval
PAC-T002,Beginner,versioning,Policy evaluated,Decision omits policy version,INDETERMINATE,none,decision_id_and_policy_version,platform owner,re-evaluate exact version,Every decision binds exact version,"No implementation claim",Juniper,Unversioned result cannot be replayed
PAC-T003,Beginner,decision_vs_enforcement,Decision says allow,No enforcement response exists,ALLOW,unknown,decision_and_enforcement_records,workflow owner,check target before retry,UI reports decision only,"No action outcome",Juniper,Decision is not enforcement
PAC-T004,Beginner,missing_data,Facility hours absent,Required input missing,INDETERMINATE,none,input_admission_result,operations owner,route to source owner,Missing never becomes current,"No hours claim",Juniper,Unknown is explicit
PAC-T005,Beginner,scope,Policy is for Facility A,Request targets Facility B,NOT_APPLICABLE,none,policy_scope_and_request_target,policy owner,route to correct policy,No cross-facility decision,"Fictional facilities",Maple,Facility identity is mandatory
PAC-T006,Beginner,expiration,Policy expired yesterday,Edge cache still has version,EXPIRED,block,policy_expiry_and_cache_inventory,platform owner,purge cache and verify active version,Expired rule cannot enforce,"No deployment claim",Maple,Clock source is recorded
PAC-T007,Beginner,human_review,Review required,Queue has no named owner,REQUIRE_REVIEW,hold,queue_owner_and_escalation,operations owner,assign governed queue,Item remains owned,"No staffing claim",North,Department label is insufficient
PAC-T008,Beginner,ai_boundary,AI recommends allow,No deterministic or human disposition,CANDIDATE,none,ai_output_and_authority_state,review owner,retain candidate and route,AI output cannot enforce,"No AI authority",North,Candidate is its own evidence class
PAC-T009,Beginner,reason_codes,Deny returned,No reason code or explanation basis,DENY,hold,policy_branch_and_reason_code,policy owner,repair response contract,Operator can inspect bounded reason,"No legal conclusion",Oak,Explanation is traceable
PAC-T010,Beginner,observe_mode,Policy is observe only,Decision says allow,ALLOW,none,active_mode_and_no_action_record,monitoring owner,alert on attempted action,Observe mode cannot mutate,"No action claim",Oak,Shadow outcomes stay separate
