test_id,level,test_family,object_under_test,precondition,input_change,expected_compile_state,expected_severity,expected_result_path,expected_remediation,actual_state,evidence_reference,owner,notes
PC-T001,Beginner,identity,policy source,Policy ID and version are present,Remove policy_version,refuse,error,policy_version,Pin an exact approved version,,,policy-owner,"Never select latest silently"
PC-T002,Beginner,identity,site manifest,Manifest identity is present,Remove record_version,refuse,error,record_version,Provide the exact site-manifest version,,,site-fact-owner,"Missing version blocks reproducibility"
PC-T003,Beginner,required field,site manifest,Site has an IANA timezone,Set timezone blank,refuse,error,timezone,Provide a sourced timezone,,,site-fact-owner,"Do not infer from mailing address"
PC-T004,Beginner,unknown handling,site capability,Temporary hold capability is unknown,Compile temporary-hold action,refuse,error,capabilities.reversible_temporary_hold,Resolve capability or omit the action,,,access-control-owner,"Unknown is not true"
PC-T005,Beginner,range,overlay,Review window allowed range is 15 through 60,Set review window to 90,refuse,error,parameters.review_window_minutes,Choose an in-range value or seek a policy change,,,site-policy-authority,"An exception cannot masquerade as a parameter"
PC-T006,Beginner,authority,overlay,Overlay targets locally configurable field,Remove approving authority,refuse,error,authority_scope,Provide an eligible named authority,,,site-policy-authority,"Account access alone is not authority"
PC-T007,Intermediate,invariant,overlay,Identity completeness is non-overridable,Set invariant to false,refuse,critical,invariants.irreversible_change_requires_complete_identity,Withdraw overlay or revise portfolio policy through its authority,,,portfolio-policy-authority,"Deliberate forbidden override"
PC-T008,Intermediate,merge conflict,overlay set,Two same-priority overlays target reviewer role,Compile both,refuse,error,parameters.reviewer_role,Resolve conflict with one authoritative overlay or explicit precedence,,,site-policy-authority,"Order of discovery must not decide"
PC-T009,Intermediate,merge semantics,overlay,Notification channels are a set,Use add without defined set behavior,refuse,error,parameters.notification_channels,Declare append replace or subtract semantics,,,architecture-owner,"Avoid ambiguous list behavior"
PC-T010,Intermediate,expiry,exception,Exception ended at 04:00 UTC,Compile at 04:01 UTC,refuse,critical,expires_at_utc,Apply declared revert-or-refuse behavior,,,exception-authority,"Expiry must change behavior"
PC-T011,Intermediate,effective window,policy source,Policy becomes effective September 1,Compile for August 31 activation,refuse,error,effective_at_utc,Use the active version for the requested time,,,policy-owner,"Compilation time and activation time differ"
PC-T012,Intermediate,freshness,site capability,Capability expires after 30 days,Compile after source expiry,refuse,error,source_observed_at_utc,Refresh the capability observation,,,site-fact-owner,"Stale true is not current true"
PC-T013,Intermediate,timezone,compiled schedule,Site uses America/Denver,Test local midnight boundary,pass_or_refuse_by_exact_case,warning,compiled_schedule,Record UTC and local representations plus timezone database version,,,operations-owner,"Manual review required for any ambiguous instant"
PC-T014,Intermediate,daylight transition,compiled schedule,Site timezone observes daylight transitions,Test repeated or skipped local time,pass_or_refuse_by_exact_case,error,compiled_schedule,Use explicit instant resolution and defined ambiguity behavior,,,operations-owner,"Do not rely on wall-clock label alone"
PC-T015,Intermediate,partial evidence,decision input,One required identity field is absent,Ask compiler to authorize irreversible change,refuse,critical,required_evidence,Hold and request the missing evidence,,,review-authority,"No inferred identity"
PC-T016,Advanced,determinism,compiler,All input identities and bytes are pinned,Compile the same inputs twice,pass,error,artifact.canonical_hash,Investigate nondeterministic input serialization or compiler behavior,,,architecture-owner,"Expected hashes must match"
PC-T017,Advanced,dependency version,overlay,Overlay supports policy 2.x only,Compile against policy 3.2,refuse,error,parent_policy_id,Create and approve a compatible overlay revision,,,policy-owner,"No implicit forward compatibility"
PC-T018,Advanced,pinned import,compiler input,Schema dependency is declared,Replace exact revision with latest,refuse,error,artifact.input_versions,Pin the reviewed dependency revision,,,architecture-owner,"Discovery alias is not a reproducible input"
PC-T019,Advanced,hermeticity,compiler input,Capability fact is required,Fetch unrecorded live value during compile,refuse,error,source_reference,Capture a governed observation before compile,,,architecture-owner,"Live value must become a versioned input"
PC-T020,Advanced,unsupported action,site manifest,Site can notify but cannot apply temporary hold,Emit both actions,refuse,error,capabilities.reversible_temporary_hold,Omit temporary hold and preserve review packet only,,,access-control-owner,"Narrow output is valid when invariant holds"
PC-T021,Advanced,rollback,compiled artifact,Control can change access state,Remove rollback target,non_activatable,critical,artifact.rollback_target,Resolve and test rollback before authorization,,,activation-authority,"Compile result may exist but cannot activate"
PC-T022,Advanced,rollback authority,compiled artifact,Rollback target exists,Remove rollback authority,non_activatable,critical,artifact.rollback_authority,Assign eligible rollback authority,,,activation-authority,"Mechanism without authority is incomplete"
PC-T023,Advanced,readback,activation record,Candidate was activated in a bounded cell,No independent readback arrives,unverified,critical,artifact.readback_state,Stop expansion and investigate acceptance path,,,operations-observer,"Activation is not observed conformance"
PC-T024,Advanced,scope,compiled artifact,Policy scope is access anomaly,Apply artifact to payment dispute event,refuse,error,scope.event_class,Use a policy explicitly scoped to the event,,,policy-owner,"Shared vocabulary does not widen scope"
