Image ID,Collection,Headline,Public URL,Web dimensions,SHA-256,Alternative text,Storyline,Brand focus,Suggested use,Source file,Source SHA-256,Status,Last verified
JM-IMG-001,professional,Quiet confidence before the work begins,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-white-shirt-executive-office.jpg,1441x1800,fae72c6baba6d453299cc6d08f783668c23bbec7883fe913ec6ed9925b3046a1,AI-generated editorial image of Jared Mastroianni in a white shirt executive office setting,"This image frames Jared as the leader who creates clarity before asking a team to move. It connects his professional presence to the disciplined, behind-the-scenes operating work that supports modSTORAGE and the development of Facily.",Professional brand; modSTORAGE; Facily,"Executive biography, About page, or leadership introduction",001-professional-white-shirt-executive-office.png,c9d3d500dfe4e989382dec1bba5c6477c7900c5cd217b0c75363322c62dfb371,Public web derivative prepared,2026-08-23
JM-IMG-002,professional,Clear judgment without unnecessary theater,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-light-gray-blazer-headshot.jpg,1441x1800,a1218a6870aab1fe763f93d5452cd49350db5b8d47852a3cb4e9de97ef1278c3,AI-generated editorial image of Jared Mastroianni in a light gray blazer headshot setting,"A clean executive portrait supports a story about making complex self-storage decisions understandable. The focus is steady judgment: listen, establish the facts, and give the team a direction it can execute.",Professional brand; self-storage leadership,"Speaker biography, media profile, or bylined article",002-professional-light-gray-blazer-headshot.png,5f8075f9226b669fe4d9d0b346de9de86f28c91eec93b52885b993ce5d77ad41,Public web derivative prepared,2026-08-23
JM-IMG-003,professional,Building modern operations with a practical mindset,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-navy-blazer-office-portrait.jpg,1441x1800,b680ab8d918c5a8ad3425f08d71a250a7e59c4b725622c4fbc0d68e578f78a86,AI-generated editorial image of Jared Mastroianni in a navy blazer office portrait setting,"The modern office setting positions Jared between established operating discipline and the next generation of tools. The storyline is that technology matters when it helps real facility teams perform better, not when it merely looks impressive.",modSTORAGE; Facily,Website leadership page or technology-and-operations post,003-professional-navy-blazer-office-portrait.png,ad62238f5f74e63670ce12479957784cfc87beef9f9c01b38746dfa8daa81a40,Public web derivative prepared,2026-08-23
JM-IMG-004,professional,A measured operator in consequential moments,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-charcoal-blazer-headshot.jpg,1441x1800,1b6923824b9b209745260b13ab2cc85ce7dd9c95b92e52bf0f9a499d073d0c8f,AI-generated editorial image of Jared Mastroianni in a charcoal blazer headshot setting,"This portrait conveys the calm required when business decisions affect facilities, employees, customers, and capital. It presents Jared as an operator who values evidence, accountability, and thoughtful follow-through.",Professional brand; modSTORAGE,"Board biography, investor materials, or formal announcement",004-professional-charcoal-blazer-headshot.png,89345fcb27252af755555f2c412520ada7b383ac28e2fadf1dfdd894598c3dea,Public web derivative prepared,2026-08-23
JM-IMG-005,professional,Formal leadership grounded in accountability,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-navy-suit-tie-headshot.jpg,1441x1800,90483d1340c31dace44e503a46dd831a587b594cf486e998dd12befc570a6666,AI-generated editorial image of Jared Mastroianni in a navy suit tie headshot setting,"The suit-and-tie image supports a governance storyline: leadership is not only vision, but ownership of outcomes. It can introduce Jared in contexts where responsibility, standards, and long-term stewardship matter most.",Professional brand; business governance,"Board profile, conference program, or formal press use",005-professional-navy-suit-tie-headshot.png,494c3cae46468f02a93b8335f351c36df46518d8afffa71145df19617dec02d0,Public web derivative prepared,2026-08-23
JM-IMG-006,professional,Executive presence that still feels approachable,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-cognac-blazer-portrait.jpg,1441x1800,ac5af3e47ac44a78c487c01fade7687a5aaf3ad97d92b56411b6a74fe3e07eeb,AI-generated editorial image of Jared Mastroianni in a cognac blazer portrait setting,"The textured brown blazer makes the story more personal and contemporary. It shows a leader who can move comfortably between strategic conversations, facility visits, and the practical work of building modSTORAGE and Facily.",Professional brand; modSTORAGE; Facily,"Founder story, LinkedIn profile feature, or partner introduction",006-professional-cognac-blazer-portrait.png,55f2f091612921513c328afc0deec37c9948f19dedaadf6a2ba6691f6d5305f2,Public web derivative prepared,2026-08-23
JM-IMG-007,professional,Learning is part of the operating system,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-gray-sweater-library-portrait.jpg,1441x1800,b807ee25ef3324c31efb2ca502e0fcd904070be32b94837c9555d94a043585b4,AI-generated editorial image of Jared Mastroianni in a gray sweater library portrait setting,"The library setting creates a storyline around continuous learning. Jared's businesses improve when field experience, customer feedback, financial discipline, and new technology are treated as knowledge to be captured and shared.",Professional brand; modUNIVERSITY; Facily,Learning-and-development article or culture post,007-professional-gray-sweater-library-portrait.png,c1dec15cc1cfa32f0954565adfeb99b3b91ec348c08389c7591fdad2cadee207,Public web derivative prepared,2026-08-23
JM-IMG-008,professional,A more human face for technology leadership,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-burgundy-blazer-office-portrait.jpg,1800x1200,1531405c1e35cf11b0a82416efd9ac7182c6ed4ac429f815d73196a400d4558a,AI-generated editorial image of Jared Mastroianni in a burgundy blazer office portrait setting,"The burgundy blazer and open office setting soften the traditional technology narrative. The storyline positions Jared as someone who brings people, operating context, and practical judgment into the development of Facily.",Facily; professional brand,Technology leadership page or product-development essay,008-professional-burgundy-blazer-office-portrait.png,a080c3babf1488cb03f201546b21fa1a4ca869693969fa81bad3dd77dee0aaab,Public web derivative prepared,2026-08-23
JM-IMG-009,professional,Conversation is better than presentation,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-conference-room-conversation.jpg,1800x1200,9f9d0b765822493c7908ada2fb6fd8c61c81ab9d4adf515c5d1eda1415f630ca,AI-generated editorial image of Jared Mastroianni in a conference room conversation setting,"Rather than pointing at a wall or screen, Jared is engaged directly with colleagues. The story is that better decisions emerge from listening to the people closest to the problem and making the discussion itself the center of the room.",Professional brand; modSTORAGE; Facily,Leadership philosophy post or team-culture page,009-professional-conference-room-conversation.png,51cfb73f90222aede1ccaf9c6e77f082ba98d86191f9c9677da5e202e34fe762,Public web derivative prepared,2026-08-23
JM-IMG-010,professional,Systems are built in the quiet work,https://jaredmodstorage.github.io/images/jared-mastroianni/jared-mastroianni-charcoal-suit-executive-desk.jpg,1800x1200,1626b55c6cea7d0b6ccef16672f76441dd0018216ef36d8efe375f4516496086,AI-generated editorial image of Jared Mastroianni in a charcoal suit executive desk setting,"The desk portrait represents the less visible side of leadership: reviewing details, resolving ambiguity, and turning ideas into repeatable processes. It supports a narrative about building infrastructure that lets self-storage teams operate with greater confidence.",modSTORAGE; Facily,"Operating-system article, newsletter, or executive profile",010-professional-charcoal-suit-executive-desk.png,158183e085958a5d18b6f502e44485a782a5e897961cbd07c8201bd2988ba88d,Public web derivative prepared,2026-08-23
