source_id,source_title,publisher,source_url,source_type,publication_or_version_date,checked_at_utc,claim_supported,limitations
SDR-001,Data on the Web Best Practices,W3C,https://www.w3.org/TR/2017/REC-dwbp-20170131/,Pinned W3C Recommendation,2017-01-31,2026-08-22T20:54:31Z,"Recommends version indicators version history persistent identifiers version-specific identifiers provenance vocabulary reuse appropriate formalization and avoiding breaking API changes.","Web data publication guidance rather than a self-storage semantic contract; it does not define field compatibility classify a specific change or prove operational adoption."
SDR-002,The RDF Data Cube Vocabulary,W3C,https://www.w3.org/TR/2014/REC-vocab-data-cube-20140116/,Pinned W3C Recommendation,2014-01-16,2026-08-22T20:54:31Z,"Distinguishes dimensions that identify an observation measures that represent the phenomenon and attributes such as units scale and status needed to interpret a value.","Statistical linked-data vocabulary rather than a facility KPI policy; it does not define the proposed register establish denominators or validate an operating metric."
SDR-003,OWL 2 Web Ontology Language Structural Specification and Functional-Style Syntax Second Edition,W3C,https://www.w3.org/TR/2012/REC-owl2-syntax-20121211/,Pinned W3C Recommendation,2012-12-11,2026-08-22T20:54:31Z,"Defines ontology and version IRIs imports declarations axioms annotations prior-version backward-compatible and incompatible-with vocabulary.","Formal ontology language only; annotations or logical consistency do not prove a field meaning is correct compatible adopted current or safe for a decision."
SDR-004,Shapes Constraint Language SHACL,W3C,https://www.w3.org/TR/2017/REC-shacl-20170720/,Pinned W3C Recommendation,2017-07-20,2026-08-22T20:54:31Z,"Defines shapes targets constraints validation results and conformance reports for RDF data graphs.","The stable 2017 Recommendation is used while SHACL 1.2 remains draft work; conformance proves declared structural constraints only not meaning truth authority or compatibility."
SDR-005,JSON Schema Core Draft 2020-12,JSON Schema,https://json-schema.org/draft/2020-12/json-schema-core.html,Official published specification,2022-06-16,2026-08-22T20:54:31Z,"Defines schema identifiers dialect vocabularies references evaluation and annotations used by the companion semantic-contract schema.","Structural and applicator semantics only; schema identity and conformance do not establish business meaning source authority completeness compatibility or safe migration."
SDR-006,JSON Schema Validation Draft 2020-12,JSON Schema,https://json-schema.org/draft/2020-12/json-schema-validation.html,Official published specification,2022-06-16,2026-08-22T20:54:31Z,"Defines validation assertion keywords for constraining instance types values strings numbers arrays and objects.","Validates declared instance constraints only; it cannot decide whether two field definitions are semantically compatible or operationally safe."
SDR-007,PROV-O The PROV Ontology,W3C,https://www.w3.org/TR/2013/REC-prov-o-20130430/,Pinned W3C Recommendation,2013-04-30,2026-08-22T20:54:31Z,"Defines provenance concepts for entities activities agents attribution association delegation derivation invalidation revision and generation.","Provenance does not prove a definition source transformation or compatibility judgment is correct authoritative complete current or accepted."
SDR-008,Time Ontology in OWL,W3C,https://www.w3.org/TR/2017/REC-owl-time-20171019/,Pinned W3C Recommendation,2017-10-19,2026-08-22T20:54:31Z,"Defines temporal entities instants intervals positions durations reference systems and temporal relations used to keep valid-time and change intervals explicit.","Temporal vocabulary does not choose the governing business clock establish freshness or determine whether a change is breaking."
SDR-009,CloudEvents Specification version 1.0.2,CloudEvents CNCF,https://github.com/cloudevents/spec/blob/ce%40v1.0.2/cloudevents/spec.md,Official pinned stable release,2022-02-05,2026-08-22T20:54:31Z,"Defines event context attributes including id source specversion type subject time datacontenttype and dataschema that can carry schema identity across change events.","Interoperable event envelope only; dataschema presence does not prove semantic compatibility event truth authority migration completion or consumer reconciliation."
SDR-010,QUDT Schema,QUDT,https://www.qudt.org/doc/2026/01/DOC_SCHEMA-QUDT.html,Official dated schema documentation,2026-01,2026-08-22T20:54:31Z,"Defines classes and properties for quantities units dimensions and types used to identify unit and scale meaning explicitly.","General quantity and unit vocabulary rather than a self-storage metric catalog; a unit IRI does not define population denominator calculation or decision fitness."
SDR-011,Artificial Intelligence Risk Management Framework AI RMF 1.0,NIST,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,Official final framework,2023-01-26,2026-08-22T20:54:31Z,"Supports mapping intended purpose context risk tolerance knowledge limits data dependencies human-AI roles measurement and lifecycle risk.","Voluntary use-case-agnostic framework currently under revision; it does not prescribe this register validate a model certify a system or prove a field safe for AI-assisted action."
SDR-012,Artificial Intelligence Risk Management Framework Generative Artificial Intelligence Profile NIST AI 600-1,NIST,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,Official final cross-sector profile,"Published 2024-07-26; page updated 2026-04-08",2026-08-22T20:54:31Z,"Describes risks including confabulation automation bias information integrity data privacy and human-AI configuration relevant when changed definitions enter retrieval or generated outputs.","Voluntary cross-sector profile; it does not detect semantic drift establish compatibility validate a model or prove this authored method effective."
