packet_id,work_order_id,facility_id,asset_id,original_report_id,governing_duplicate_id,reported_condition,reported_at,consequence_band,immediate_control,qualification_state,authorization_id,scope_summary,scope_exclusions,assignee_id,accepted_at,execution_disposition,executed_at,executor_id,execution_evidence_ref,verification_contract_id,verifier_id,verified_at,observed_result,verification_state,open_dependency_count,dependency_disposition_refs,closure_reason,closure_authority_id,closure_state,reopen_trigger,evidence_boundary
MCP-001,WO-F001,FAC-FICTION-ALDER,LIGHT-HALL-04,RPT-F001,none,hallway_light_reported_out,2026-08-18T08:10:00-06:00,routine,portable_light_placed,qualified,AUTH-F001,replace_confirmed_lamp,fixture_wiring,TECH-F01,2026-08-18T08:22:00-06:00,completed_as_planned,2026-08-18T09:05:00-06:00,TECH-F01,object://fiction/evidence/F001,VC-F001,MGR-F01,unknown,photo_uploaded_without_unique_asset_reference,review_required,0,none,none,none,verification_blocked,asset_identity_confirmed_and_test_passes,"Fictional example; no real facility result."
MCP-002,WO-F002,FAC-FICTION-ALDER,GATE-ENTRY-01,RPT-F002,none,gate_intermittently_stops,2026-08-18T10:40:00-06:00,consequential,attendant_manual_control,qualified,AUTH-F002,inspect_and_run_approved_test,no_unapproved_configuration_change,VENDOR-F01,2026-08-18T11:12:00-06:00,unable_to_reproduce,2026-08-18T13:32:00-06:00,VENDOR-F01,object://fiction/evidence/F002,VC-F002,MGR-F02,2026-08-18T13:45:00-06:00,approved_test_passed_once_and_observation_window_required,pending,1,WO-F002A,none,none,executed,repeat_stop_or_observation_window_completion,"Fictional example; no diagnosis or repair is claimed."
MCP-003,WO-F003,FAC-FICTION-ALDER,LATCH-U214,RPT-F003,none,unit_latch_reported_damaged,2026-08-19T07:25:00-06:00,controlled,unit_secured_under_approved_control,qualified,AUTH-F003,replace_latch_and_verify_function,door_or_frame_repair,TECH-F02,2026-08-19T07:44:00-06:00,completed_as_planned,2026-08-19T09:14:00-06:00,TECH-F02,object://fiction/evidence/F003,VC-F003,MGR-F03,2026-08-19T09:28:00-06:00,defined_functional_check_passed,passed,0,none,verified_resolved,MGR-F03,closed,repeat_latch_failure,"Fictional example; test appropriateness must be locally approved."
MCP-004,WO-F004,FAC-FICTION-BIRCH,CAMERA-07,RPT-F004,none,camera_feed_reported_unavailable,2026-08-19T11:00:00-06:00,consequential,coverage_exception_logged,qualified,AUTH-F004,restore_named_camera_and verify recording,network redesign,VENDOR-F02,2026-08-19T11:40:00-06:00,completed_as_planned,2026-08-19T14:10:00-06:00,VENDOR-F02,object://fiction/evidence/F004,VC-F004,SEC-F01,2026-08-19T14:30:00-06:00,live_view_present_but_recording_readback_missing,failed,1,WO-F004A,none,none,verified_failed,recording_readback_passes,"Fictional example; no security conclusion."
MCP-005,WO-F005,FAC-FICTION-BIRCH,DRAIN-REAR-02,RPT-F005,none,standing_water_reported,2026-08-20T06:20:00-06:00,controlled,area_barricaded,qualified,AUTH-F005,clear_visible_obstruction_and_observe,drain_reconstruction,TECH-F03,2026-08-20T06:45:00-06:00,partially_completed,2026-08-20T07:30:00-06:00,TECH-F03,object://fiction/evidence/F005,VC-F005,MGR-F04,unknown,flow_improved_but_follow_up_inspection_due,pending,1,WO-F005A,scope_transferred_to_follow_up_record,MGR-F04,reconciled,new_standing_water_or_due_date,"Fictional example; no engineering or drainage conclusion."
MCP-006,WO-F006,FAC-FICTION-CEDAR,KEYPAD-WALK-01,RPT-F006,none,keypad_display_blank,2026-08-20T09:15:00-06:00,controlled,alternate_approved_entry_path,qualified,AUTH-F006,inspect_power_and_connection,no_credential_or_schedule_change,TECH-F04,2026-08-20T09:35:00-06:00,blocked,2026-08-20T10:00:00-06:00,TECH-F04,object://fiction/evidence/F006,VC-F006,none,unknown,required_part_unavailable,not_started,1,WO-F006A,none,none,blocked,part_arrival_and_authorized_return,"Fictional example; no access-control diagnosis."
MCP-007,WO-F007,FAC-FICTION-CEDAR,SIGN-ROW-C,RPT-F007,none,wayfinding_sign_reported_loose,2026-08-20T12:05:00-06:00,routine,area_coned,qualified,AUTH-F007,secure_existing_sign,post_or_foundation_replacement,TECH-F05,2026-08-20T12:20:00-06:00,completed_as_planned,2026-08-20T12:46:00-06:00,TECH-F05,object://fiction/evidence/F007,VC-F007,TECH-F05,2026-08-20T12:50:00-06:00,approved_routine_check_passed,passed,0,none,verified_resolved,MGR-F05,closed,sign_movement_or_damage,"Fictional routine self-verification example only."
MCP-008,WO-F008,FAC-FICTION-DELTA,DOOR-OFFICE-01,RPT-F008,none,office_door_reported_not_latching,2026-08-21T07:55:00-06:00,routine,door_marked_out_of_service,qualified,AUTH-F008,adjust_strike_and_verify,hardware_replacement,TECH-F06,2026-08-21T08:12:00-06:00,completed_as_planned,2026-08-21T08:40:00-06:00,TECH-F06,object://fiction/evidence/F008,VC-F008,MGR-F06,2026-08-21T08:55:00-06:00,test_passed_but_temporary_sign_remains,passed,1,DEP-F008,none,none,verified,sign_removal_and_reconciliation,"Fictional example; physical completion is not closure."
MCP-009,WO-F009,FAC-FICTION-DELTA,HVAC-OFFICE-01,RPT-F009,WO-F010,office_temperature_report_duplicate,2026-08-21T10:03:00-06:00,routine,none,duplicate_confirmed,none,no_execution_under_duplicate,none,none,unknown,not_executed,unknown,none,none,VC-F009,MGR-F06,2026-08-21T10:15:00-06:00,exact_duplicate_link_confirmed,passed,0,WO-F010,duplicate_linked_to_governing_record,MGR-F06,closed,new_distinct_condition,"Fictional duplicate disposition; governing record remains separate."
MCP-010,WO-F011,FAC-FICTION-ECHO,FENCE-NORTH-03,RPT-F011,none,fence_panel_reported_damaged,2026-08-21T13:18:00-06:00,controlled,temporary_barrier_installed,qualified,AUTH-F011,stabilize_then_scope_replacement,permanent_replacement,VENDOR-F03,2026-08-21T13:50:00-06:00,temporary_control_applied,2026-08-21T15:05:00-06:00,VENDOR-F03,object://fiction/evidence/F011,VC-F011,MGR-F07,2026-08-21T15:18:00-06:00,temporary_control_present_and_expiry_named,passed,1,WO-F011A,scope_transferred_to_follow_up_record,MGR-F07,reconciled,temporary_control_expiry_or_condition_change,"Fictional example; no structural or safety conclusion."
