case_id,level,layer,scenario,failure,test_input,expected_admission,expected_control,owner,required_evidence,pass_condition,prohibited_inference,side_effect_state,notes
"OCR-001","Beginner","identity","Similar facility names","Display label matches two stable IDs","Ambiguous facility label","unknown_required","Return candidates and require stable ID","facility data steward","identity register","No source query or tool call occurs","Best text match is the correct facility","none","Fictional test."
"OCR-002","Beginner","identity","Retired alias","Legacy page name maps to a retired facility identity","Old public URL","rejected_scope","Expose retired mapping and current owner","facility identity owner","alias history","Retired identity cannot silently become current","Page still loading means facility is active","none","Fictional test."
"OCR-003","Beginner","authority_policy","Authenticated actor","Actor is signed in but field authority is absent","Valid login session","unknown_required","Separate authentication from authorization","access owner","role scope and field policy","Context states no execution authority","Authentication permits the change","none","Fictional test."
"OCR-004","Beginner","event_time","One generic timestamp","Record supplies recorded_at only","Fresh database row","admitted_with_limit","Preserve unknown occurred and effective times","source owner","clock definitions","Question is narrowed or held","Recorded time proves effective time","none","Fictional test."
"OCR-005","Beginner","governing_state","Blank value","Source returns an empty string","Empty field","unknown_required","Distinguish unknown empty zero and not applicable","field owner","datatype and missing-value contract","No numeric or boolean meaning is invented","Blank means zero or false","none","Fictional test."
"OCR-006","Beginner","governing_state","Official but wrong field","Marketing page supplies a gate schedule","Official website value","rejected_authority","Reject for access-control decision","field authority owner","source-field map","Official status does not cross field boundaries","Official means authoritative for every field","none","Fictional test."
"OCR-007","Beginner","decision_action","Draft versus send","Context supports copy but actor lacks send scope","Complete draft inputs","admitted_with_limit","Permit draft and deny send","communications owner","action scope","Draft and send states stay separate","A complete draft may be delivered","none","Fictional test."
"OCR-008","Beginner","decision_action","Tool accepted","Provider returns 202 Accepted","Opaque acceptance receipt","admitted_with_limit","Record provider state and require governing readback","system owner","receipt and target readback","Completion remains unconfirmed","Accepted means operating work is complete","unknown","Fictional test."
"OCR-009","Beginner","all","Overbroad question","Request asks everything known about one facility","Unbounded query","rejected_scope","Require one purpose field destination and period","request owner","bounded question","Context scope is reproducible","More context is always safer","none","Fictional test."
"OCR-010","Beginner","all","Missing context version","Approval references no immutable context version","Approval note only","unknown_required","Issue context ID and version before approval","decision owner","context manifest","Approval binds to exact bytes and scope","Latest context was approved","none","Fictional test."
"OCR-011","Intermediate","identity","Cross-system alias collision","Vendor code maps to two facilities after acquisition","Duplicate external code","held_conflict","Route to identity owner with both mappings","facility data steward","alias provenance and effective intervals","No cross-facility join occurs","Newest mapping is automatically correct","none","Fictional test."
"OCR-012","Intermediate","identity","Subject actor collapse","Service acts for account but only service ID is recorded","Service credential","unknown_required","Record subject actor and authorizer separately","access owner","delegation record","Delegation chain is reproducible","Service identity identifies the subject","none","Fictional test."
"OCR-013","Intermediate","authority_policy","Expired delegation","Exact scope exists but expired one minute ago","Expired grant","rejected_authority","Hold action and require new authority","authorizer","grant scope and expiry","No retry reuses expired authority","Previously valid means still valid","none","Fictional test."
"OCR-014","Intermediate","authority_policy","Policy no-match","Current policy has no rule for state","Unsupported input","unknown_required","Return missing predicate to policy owner","policy owner","policy version inputs result","No-match never becomes allow","No explicit denial means permission","none","Fictional test."
"OCR-015","Intermediate","event_time","Future-effective fact","Approved schedule starts next week","Recorded current value with future interval","admitted_with_limit","Retain future interval and current prior value","field owner","effective interval","Draft names effective date and avoids current-state claim","Newest value is current now","none","Fictional test."
"OCR-016","Intermediate","event_time","Late event","Observation arrives after a newer recorded state","Out-of-order event","held_conflict","Evaluate ordering and effective-time policy","event owner","event ID clocks and version","Late event cannot overwrite blindly","Arrival order equals business order","none","Fictional test."
"OCR-017","Intermediate","governing_state","Mixed-time snapshot","Fields are valid at incompatible effective times","Joined current rows","held_conflict","Reject composite or state interval limit","state owner","per-field intervals","System cannot present a state that never coexisted","Each fresh field makes the snapshot fresh","none","Fictional test."
"OCR-018","Intermediate","governing_state","Derived value without lineage","KPI appears without inputs or formula version","Calculated metric","rejected_authority","Require derivation and source references","metric owner","inputs formula denominator unit period","Derived state is reproducible","A dashboard value is self-proving","none","Fictional test."
"OCR-019","Intermediate","decision_action","Context changed after review","One admitted value changes after approval","Context v2 with approval for v1","rejected_authority","Create a new decision or qualified reapproval","decision owner","diff and prior approval","Old approval cannot follow material change","Same action title preserves approval","none","Fictional test."
"OCR-020","Intermediate","all","Sensitive context inflation","Full account record added for a one-field draft","Excess personal and financial data","rejected_scope","Minimize to necessary fields and references","privacy owner","purpose and data map","Context contains only purpose-required data","More data improves every answer","none","Fictional test."
"OCR-021","Advanced","identity","Environment confusion","Production facility ID paired with sandbox destination","Mixed environment IDs","rejected_scope","Bind every identity and tool to environment","system owner","environment manifest","No cross-environment action can form","Same ID string means same resource","none","Fictional test."
"OCR-022","Advanced","authority_policy","Credential broader than policy","Token can update all fields but policy permits one","Broad write credential","admitted_with_limit","Bind action to narrower policy envelope","access and policy owners","credential and policy scopes","Effective action scope is the intersection","Technical capability is business permission","none","Fictional test."
