test_id,level,control_area,scenario,input_condition,expected_state,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
CMG-T001,Beginner,message_identity,Draft exists,Message ID missing,failed,require_stable_id,message_record,communications owner,create governed record,Every review cites exact message,"Fictional message",Alder,Filename is not identity
CMG-T002,Beginner,versioning,Amount changes,Version remains same,failed,require_new_version,change_diff_and_versions,message owner,restore prior and version change,Material change cannot hide,"No financial outcome",Alder,Claims drive versioning
CMG-T003,Beginner,claim_ledger,Message says service complete,No claim row exists,source_incomplete,hold,claim_span_and_source,source owner,extract and verify claim,Polished text never bypasses evidence,"No work completion",Birch,Sentence is decomposed
CMG-T004,Beginner,freshness,Hours source is stale,Draft states current hours,returned_for_source,hold,source_time_and_horizon,hours owner,refresh or remove claim,Stale does not become current,"No hours claim",Birch,Unknown is explicit
CMG-T005,Beginner,facility_scope,Source belongs to Facility A,Message targets Facility B,returned_for_source,hold,facility_ids_and_source_scope,facility owner,obtain correct source,No cross-facility inference,"Fictional facilities",Cedar,Facility identity is required
CMG-T006,Beginner,authority,Editor can access composer,Approval authority absent,returned_for_authority,hold,role_scope_and_policy,communications authority,route to qualified reviewer,Access is not authority,"No publication claim",Cedar,UI permission differs
CMG-T007,Beginner,recipient_rule,List contains active and inactive records,Exclusion rule absent,returned_for_population,hold,query_version_and_exclusions,data owner,rebuild approved query,Population is governed,"No recipient claim",Delta,List is not enough
CMG-T008,Beginner,delivery_state,Provider accepts payload,UI says delivered,failed,show_provider_accepted,provider_response,channel owner,correct state and monitor,Acceptance is not delivery,"No delivery claim",Delta,State separation
CMG-T009,Beginner,ai_boundary,AI marks approved,No human disposition,candidate,hold,ai_output_and_review_state,review owner,send to qualified gate,AI cannot self-approve,"No AI authority",Elm,Candidate evidence
CMG-T010,Intermediate,amount_identity,Draft contains 125,Currency and amount type missing,returned_for_source,hold,source_amount_currency_type,financial owner,complete exact claim packet,Number alone is not amount identity,"No payment advice",Elm,Context binds amount
CMG-T011,Intermediate,date_time,Message says Monday,Date and zone absent,returned_for_wording,hold,calendar_date_zone_and_locale,hours owner,replace with exact approved wording,Relative date is bounded,"No schedule claim",Fir,Send delay can change meaning
