case_id,level,scenario,access_object,failure,test_input,expected_control,expected_state,required_evidence,owner,reviewer,pass_condition,prohibited_inference,notes
"ARR-001","Beginner","Role label missing","user grant","Access described only as has access","User appears in platform list","Record exact platform role and current capabilities","investigate","User-list export and role documentation","Access Owner","Operations Reviewer","Role and effective permissions are named","List presence proves permission scope","Fictional test."
"ARR-002","Beginner","Scope missing","user grant","Facility or resource boundary unknown","Manager role shown without profile ID","Bind grant to stable resource and facility IDs","held","Resource inventory and platform readback","Facility Identity Owner","Access Reviewer","Exact included resources are reproducible","Role label implies one facility","Fictional test."
"ARR-003","Beginner","Purpose vague","user grant","Needs access is only reason","Standing admin grant","Write task-specific purpose and lower-role test","reduce","Approval and task description","Decision Owner","Access Reviewer","Purpose justifies exact capability set","Employment alone justifies administration","Fictional test."
"ARR-004","Beginner","No expiry","vendor grant","Temporary project has standing access","Vendor admin has blank end date","Assign exact end and removal owner","expire","Project schedule and grant record","Technology Owner","Vendor Sponsor","Time bound is enforceable and recorded","Temporary relationship expires access automatically","Fictional test."
"ARR-005","Beginner","Shared password","shared account","Actions are not attributable","Team shares one login","Replace with individual accounts or governed exception","held","Account list and authentication design","Identity Owner","Security Reviewer","Each human action is attributable or exception bounded","Known team membership proves who acted","Fictional test."
"ARR-006","Beginner","Approver unknown","privileged role","Technical inviter lacks business authority","Invite record has sender only","Name decision owner and approval evidence","held","Approval record and authority matrix","Business Owner","Control Reviewer","Approver authority is explicit","Person who clicked invite approved access","Fictional test."
"ARR-007","Beginner","Platform owner label","profile role","Product term treated as legal ownership","Business Profile owner screenshot","Record product capability and reject broader inference","diagnostic","Platform documentation and role readback","Facility Identity Owner","Qualified Reviewer","Role claim stays within platform scope","Platform owner owns facility or company","Fictional test."
"ARR-008","Beginner","Invitation not accepted","invitation","Sent state treated as active access","Invitation email exists","Separate requested invited accepted and active states","invited","Invitation and platform user state","Access Administrator","Access Reviewer","Active status requires platform readback","Sent invite proves usable access","Fictional test."
"ARR-009","Beginner","Inactive user assumed removed","user grant","No recent activity treated as revocation","Last action was six months ago","Review and explicitly revoke or retain","investigate","User state activity log and decision","Access Owner","Operations Reviewer","Assignment state is read from source","Inactivity proves no access","Fictional test."
"ARR-010","Beginner","Secret copied into register","credential","Review artifact exposes reusable secret","API token pasted in notes","Remove secret rotate if exposed record metadata only","incident-review","Secret location audit and rotation proof","Credential Owner","Security Reviewer","Register contains no reusable credential","Redaction alone proves token stayed confidential","Fictional test."
"ARR-011","Intermediate","Inherited group access","user grant","Direct role removal leaves group path","User belongs to admin team","Enumerate direct and inherited assignments","investigate","Group membership and effective-access export","Identity Owner","Platform Reviewer","All inheritance paths are visible","No direct role means no access","Fictional test."
