sequence,stage,manager_check,pass_or_complete_condition,stop_or_restriction_condition,allowed_next_action,do_not_do,evidence_or_reference,assigned_owner,next_review_at,status,completed_at,notes
1,Receive and identify,"Record incident ID, facility, exact gate, report time, reporter channel and affected direction","Report is tied to one asset, time and direction","Gate or facility is ambiguous","Clarify the exact entrance or exit without collecting unnecessary personal data","Do not copy a full access code, payment detail or unit contents into the incident record","Incident ID plus facility and gate identifier",Site manager,,open,,
2,Protect the movement zone,"Keep customers, employees and vehicles outside the gate travel and entrapment areas","People and vehicles are positioned under the approved safe boundary","Person trapped or injured; collision; visible damage; abnormal movement; unsafe traffic queue","Use emergency services and site emergency plan when required; close or guard the affected lane","Do not ask anyone to walk through a vehicular gate, hold a sensor or stand beside moving equipment","Boundary observation and emergency reference if used",Site manager or emergency owner,,open,,
3,Set the operating state,"Choose normal, restricted, held open under authorized procedure, out of service or awaiting qualified review","State matches observed condition and site authority","Safe condition cannot be bounded or required owner is unavailable","Hold normal use and escalate to the designated owner","Do not label equipment safe, repaired or compliant from a visual observation","Operating state, authority and timestamp",Facility operating owner,,open,,
4,Establish incident scope,"Record whether one or many users are affected and whether entry, exit or both are affected","Scope is supported by authorized comparisons or remains explicitly unknown","Additional testing would require a bypass, credential change, schedule change or unsafe cycle","Perform only checks already authorized by site procedure","Do not reset, reprogram, force or repeatedly cycle equipment to diagnose","Observed comparisons and unknown fields",Site manager,,open,,
5,Separate access states,"Record credential, command, gate, passage and operating states independently","Each state is recorded as observed, system-reported, unknown or not checked","One successful layer is being used to imply complete passage","Preserve the layers and escalate the unresolved boundary","Do not treat code accepted, command sent or gate open as proof of passage","System reference and direct observation with timestamps",Site manager or access-system owner,,open,,
6,Preserve the condition,"Capture approved photos, displayed messages, exact timestamps, recent verified work and actions not taken","Record is sufficient for a qualified handoff without unnecessary sensitive data","Evidence collection would expose credentials, customer data or a person to the movement zone","Collect only safe, policy-approved and necessary evidence","Do not expose security details or enter the gate travel area for a photograph","Photo or log references; no raw credential",Site manager,,open,,
7,Communicate with customers,"Use approved wording stating the affected gate, current restriction and next update time","Message is factual, bounded and visible in approved channels","Message promises repair timing, assigns unsupported blame or directs unsafe access","Publish or deliver only the approved current-state message","Do not say safe, fixed or reopened before return-to-service evidence exists","Approved message version and channel readback",Customer communications owner,,open,,
8,Escalate to qualified owner,"Send asset, time, direction, observed behavior, current state, safety boundary, verified recent work and on-site contact","Qualified owner accepts the handoff and supplies a ticket or reference","No qualified owner; uncontrolled hazard; emergency-access concern","Use the next approved escalation tier or emergency plan","Do not open panels, bypass safeguards, perform untrained servicing or improvise a manual release","Vendor ticket, callback owner and promised response time",Facilities owner or qualified gate vendor,,open,,
9,Track work state,"Record dispatched, on site, work reported complete and technical test complete as separate states","Current work state has owner, timestamp and supporting receipt","A verbal update is being treated as operating closure","Request the required repair and test record under the service agreement","Do not close the incident because a technician was dispatched or said work was done","Dispatch receipt, work record and test evidence",Facilities owner,,open,,
10,Authorize return to service,"Verify technical evidence, approved safe test, correct entry and exit behavior, removal of temporary controls and current customer message","Facility operating owner records return-to-service time and evidence","Required test failed, condition remains uncertain or temporary boundary cannot be removed","Keep affected gate restricted and continue escalation","Do not reopen on a credential result, remote command or unverified vendor statement alone","Technical record plus operational readback",Facility operating owner,,open,,
11,Reconcile and improve,"Close customer incident; open separate corrective actions for alerting, procedure, training, preventive work or vendor follow-through","Incident and each corrective action have distinct owner, due date and closure evidence","Repeat condition lacks root-cause review or owner","Schedule a systems review and next-shift handoff","Do not hide recurring failure by repeatedly closing only the immediate symptom","Closed incident record and corrective-action references",Regional or designated operations owner,,open,,
