test_id,level,control_area,scenario,input_condition,expected_state,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
FSF-T001,Beginner,facility_identity,Name is known,Stable facility ID missing,failed,require_durable_id,identity_registry,identity owner,create approved ID before sync,Name never substitutes for identity,"Fictional facility",Alder,Names can change
FSF-T002,Beginner,versioning,Sheet copied,Version and effective time absent,failed,withhold_current_state,version_and_change_record,data owner,restore last governed version,Current sheet is citeable,"No current fact claim",Alder,Copy date is not version
FSF-T003,Beginner,name_types,Sign and platform names differ,Both placed in one field,conflict_open,separate_name_types,dated_sign_source_and_platform_record,identity owner,return to source-owner review,Difference stays visible,"No legal-name claim",Birch,Names have different authority
FSF-T004,Beginner,address,Display string exists,Structured address elements absent,pending,require_components,address_source_and_components,address owner,parse as candidate then validate,Display text is not master data,"No postal validation claim",Birch,Keep source string
FSF-T005,Beginner,hours,Field says 9 to 5,Schedule type and zone missing,failed,withhold_hours,source_schedule_and_timezone,hours owner,return for exact schedule,Hours are never unlabeled,"No opening claim",Cedar,Office and gate differ
FSF-T006,Beginner,phone,Phone rings,Handling not sampled,connected_handling_unverified,show_bounded_state,technical_and_operational_checks,communications owner,sample approved path,Connection is not handling,"No service-level claim",Cedar,Two checks
FSF-T007,Beginner,features,Feature appears at other location,No facility-specific source,unknown,hold_feature,facility_source_and_approval,feature owner,collect current source,No portfolio inference,"No availability claim",Delta,Locations differ
FSF-T008,Beginner,ownership,Website shares brand,Legal relationship source absent,unknown,withhold_relationship,qualified_entity_source,entity owner,route to qualified source,Brand does not prove relationship,"No ownership claim",Delta,Entity boundary
FSF-T009,Beginner,publication,Fact is prepared,No publication authority,prepared,hold,source_and_publication_approval,publication owner,complete approval gate,Prepared never appears published,"No publication claim",Elm,State separation
FSF-T010,Intermediate,time_zone,Offset is stored,Daylight rule changes,pending,require_named_zone,iana_zone_and_schedule,hours owner,migrate to named zone,Software can calculate local time,"No hours correctness claim",Elm,Offset is not identity
FSF-T011,Intermediate,special_hours,Regular hours current,Holiday overlay missing,review_required,flag_date_boundary,regular_and_special_sources,hours owner,obtain approved overlay,Regular schedule not overextended,"No holiday-hours claim",Fir,Date-bounded exception
FSF-T012,Intermediate,source_conflict,Website and sign disagree,Newer source lacks authority,conflict_open,preserve_both,source_owner_map_and_timestamps,identity owner,governed disposition with rollback,Recency alone does not decide,"No current-name claim",Fir,Conflict packet
FSF-T013,Intermediate,map_pin,Pin displays,Precision and source absent,unverified,withhold_exact_pin,map_source_precision_and_review,map owner,recreate from approved source,Display is not accuracy proof,"No geospatial claim",Grove,Sensitive coordinates may be held
FSF-T014,Intermediate,email,Public inbox responds automatically,Human handling unknown,receipt_only,separate_receipt_and_handling,message_and_response_evidence,communications owner,verify routine handling,Automation is not acknowledgement,"No responsiveness claim",Grove,Outcome states
FSF-T015,Intermediate,lifecycle,Location page disappears,Transition type unknown,unknown,withhold_classification,source_event_and_authority,operations owner,investigate qualified sources,Absence does not prove closure or sale,"No transition claim",Harbor,Unknown is useful
FSF-T016,Intermediate,public_internal,Internal escalation appears in export,Field classification internal,failed,block_export,field_classification_and_export_preview,privacy owner,remove and revalidate,Private route stays private,"No privacy compliance claim",Harbor,Minimize publication
FSF-T017,Intermediate,destination_sync,Profile edit submitted,No public readback,submitted,retain_pending,submission_receipt_and_target_readback,profile owner,check governed follow-up window,Send is not applied,"No listing update claim",Ivy,No duplicate submit
FSF-T018,Intermediate,rollback,Wrong hours reach site,Prior version preserved,recovery_required,restore_prior_version,source_deploy_and_prior_hash,web owner,rollback then public readback,Recovery identity is exact,"Fictional rollback",Ivy,Preserve incident record
FSF-T019,Advanced,field_authority,Manager proposes address,Postal and property sources differ,conflict_open,route_by_field_authority,authority_map_and_sources,data steward,qualified disposition,Manager knowledge is not universal authority,"No address claim",Juniper,Authority is field-specific
FSF-T020,Advanced,effective_time,Future name approved,Current page still uses old name,change_pending,retain_current_until_effective,approval_and_effective_time,identity owner,schedule bounded release,Future fact is not current,"No rebrand claim",Juniper,Observed and effective differ
FSF-T021,Advanced,temporal_overlap,Two hours versions overlap,No precedence rule,conflict_open,block_generation,versions_intervals_and_precedence,hours owner,resolve interval conflict,Only one governed schedule drives output,"No hours claim",Alder,Intervals are explicit
FSF-T022,Advanced,structured_data,JSON-LD differs from visible page,Same fact-sheet version expected,failed,hold_release,rendered_page_markup_and_sheet,web owner,regenerate both from source,Markup does not outrun visible facts,"No rich-result claim",Alder,One approved source
FSF-T023,Advanced,call_tracking,Platform uses forwarding number,Direct-control evidence expired,review_required,hold_current_claim,number_ownership_route_and_test,communications owner,reverify authority and path,Working call does not prove control,"No platform compliance claim",Birch,Provider-specific rule
FSF-T024,Advanced,feature_wording,Feature meaning is broadened,"Source says indoor units but page says climate controlled",failed,remove_broader_claim,source_text_and_approved_vocabulary,feature owner,restore bounded wording,Transformation preserves meaning,"No feature claim",Birch,No semantic promotion
FSF-T025,Advanced,change_propagation,Version 19 approved,One destination remains v17,partial,open_discrepancy,version_by_destination_and_readback,data owner,update once through approved route,Portfolio view shows exact lag,"No synchronization result",Cedar,Do not mass resend blindly
FSF-T026,Advanced,provenance,Value has URL,Source owner and observation missing,incomplete,withhold_verified_state,source_locator_owner_and_time,data steward,complete provenance chain,URL alone is not evidence,"No truth claim",Cedar,Provenance is inspectable
FSF-T027,Advanced,ai_extraction,AI extracts phone,Source page contains two numbers,candidate,require_human_source_admission,source_spans_and_ai_output,communications owner,select approved purpose-specific value,AI cannot choose authority,"No AI validation claim",Delta,Candidate class
FSF-T028,Architect,schema_version,Address field changes shape,Destinations use old adapter,blocked,stop_sync,schema_versions_and_compatibility_tests,data architect,version adapters and replay,Semantic migration is explicit,"No deployment claim",Delta,No silent coercion
