entry_id,record_type,record_id,record_version,parent_policy_id,site_id,field_path,value,value_type,operation,invariant_class,source_reference,source_observed_at_utc,freshness_rule,authority_scope,effective_at_utc,expires_at_utc,merge_priority,status,notes
PC-R001,policy,POL-EXAMPLE-001,3.2,,,intent,"Prevent irreversible access-state change when identity evidence is incomplete",string,declare,portfolio_invariant,fictional exercise authoring,2026-08-22T14:30:00Z,until superseded,portfolio-policy-authority,2026-09-01T00:00:00Z,,0,draft,"Fictional example; replace with an approved source"
PC-R002,policy,POL-EXAMPLE-001,3.2,,,scope.event_class,access_anomaly,string,declare,portfolio_invariant,fictional exercise authoring,2026-08-22T14:30:00Z,until superseded,portfolio-policy-authority,2026-09-01T00:00:00Z,,0,draft,"Scope must use a governed event identity"
PC-R003,policy,POL-EXAMPLE-001,3.2,,,invariants.irreversible_change_requires_complete_identity,true,boolean,declare,non_overridable,fictional exercise authoring,2026-08-22T14:30:00Z,until superseded,portfolio-policy-authority,2026-09-01T00:00:00Z,,0,draft,"Local overlay cannot replace or remove"
PC-R004,policy,POL-EXAMPLE-001,3.2,,,invariants.temporary_state_requires_rollback,true,boolean,declare,non_overridable,fictional exercise authoring,2026-08-22T14:30:00Z,until superseded,portfolio-policy-authority,2026-09-01T00:00:00Z,,0,draft,"Rollback mechanism and independent readback required"
PC-R005,policy,POL-EXAMPLE-001,3.2,,,parameters.review_window_minutes,"15..60",integer_range,declare,locally_configurable,fictional exercise authoring,2026-08-22T14:30:00Z,until superseded,portfolio-policy-authority,2026-09-01T00:00:00Z,,0,draft,"Range constrains overlays"
PC-R006,policy,POL-EXAMPLE-001,3.2,,,parameters.notification_channels,"one_or_more",set,declare,locally_configurable,fictional exercise authoring,2026-08-22T14:30:00Z,until superseded,portfolio-policy-authority,2026-09-01T00:00:00Z,,0,draft,"Define set merge semantics before use"
PC-R007,policy,POL-EXAMPLE-001,3.2,,,exception_contract.expiry_behavior,revert_or_refuse,enum,declare,non_overridable,fictional exercise authoring,2026-08-22T14:30:00Z,until superseded,portfolio-policy-authority,2026-09-01T00:00:00Z,,0,draft,"Never silently continue"
PC-R008,site_manifest,MAN-ALDER-014,14,POL-EXAMPLE-001,SITE-ALDER,timezone,America/Denver,iana_timezone,declare,site_fact,fictional capability review,2026-08-20T16:00:00Z,review every 90 days,site-fact-owner,2026-08-20T16:00:00Z,2026-11-18T16:00:00Z,10,exercise,"Fictional site"
PC-R009,site_manifest,MAN-ALDER-014,14,POL-EXAMPLE-001,SITE-ALDER,capabilities.structured_anomaly_feed,true,boolean,declare,site_fact,fictional interface test FIT-ALD-44,2026-08-20T16:05:00Z,review every 30 days,integration-owner,2026-08-20T16:05:00Z,2026-09-19T16:05:00Z,10,exercise,"No vendor or deployment claim"
PC-R010,site_manifest,MAN-ALDER-014,14,POL-EXAMPLE-001,SITE-ALDER,capabilities.reversible_temporary_hold,true,boolean,declare,site_fact,fictional controlled test FIT-ALD-45,2026-08-20T16:10:00Z,review every 30 days,access-control-owner,2026-08-20T16:10:00Z,2026-09-19T16:10:00Z,10,exercise,"Readback method recorded separately"
PC-R011,site_manifest,MAN-ALDER-014,14,POL-EXAMPLE-001,SITE-ALDER,readback.temporary_hold,independent_status_query,string,declare,site_fact,fictional controlled test FIT-ALD-45,2026-08-20T16:10:00Z,review every 30 days,access-control-owner,2026-08-20T16:10:00Z,2026-09-19T16:10:00Z,10,exercise,"Independence must be evaluated in real use"
PC-R012,site_manifest,MAN-BIRCH-008,8,POL-EXAMPLE-001,SITE-BIRCH,timezone,America/New_York,iana_timezone,declare,site_fact,fictional capability review,2026-08-19T15:00:00Z,review every 90 days,site-fact-owner,2026-08-19T15:00:00Z,2026-11-17T15:00:00Z,10,exercise,"Fictional site"
