test_id,level,control_area,scenario,input_condition,expected_admission,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
TAE-T001,Beginner,timestamp_semantics,Ambiguous updated_at field,Only updated_at exists and no data dictionary defines it,fail,mark_unknown_and_stop,field_definition_or_source_owner_statement,data_owner,restore_prior_read_only_view,No operating action treats updated_at as occurred observed or effective time,"No freshness deployment or performance claim",Alder,Unknown is preserved
TAE-T002,Beginner,timestamp_semantics,Occurrence and entry time separated,Manual note records seen_at and entered_at,pass,display_both_times,note_record_and_schema,facility_manager,correct_with_linked_revision,Both timestamps retain distinct labels,"Fictional workflow only",Alder,Do not infer precision
TAE-T003,Beginner,effective_time,Future policy activation,Approved rule starts tomorrow,fail,hold_until_effective,policy_version_and_effective_interval,policy_owner,cancel_queued_activation,Rule is not used before effective_from,"No legal or policy conclusion",Alder,Approval is not activation
TAE-T004,Beginner,effective_time,Expired operating window,Evaluation occurs one second after effective_to,fail,stop_and_refresh,window_record_and_evaluation_time,operations_owner,revert_to_approved_fallback,Exclusive end boundary is enforced,"No service-level claim",Alder,Boundary behavior explicit
TAE-T005,Beginner,source_age,Exact maximum age,Observed age equals declared limit,pass,admit_if_contract_uses_less_than_or_equal,decision_contract_and_clock_values,control_owner,recalculate_and_log,Comparator matches contract exactly,"No universal threshold",Alder,Threshold is fictional
TAE-T006,Beginner,source_age,One second beyond maximum,Observed age exceeds limit by one second,fail,refresh_or_stop,decision_contract_and_clock_values,control_owner,load_fresh_source,Boundary failure is deterministic,"No universal threshold",Alder,No grace invented
TAE-T007,Beginner,authority,Fresh non-governing copy,Cached record is newer than governing source but not authorized,fail,use_governing_source,source_authority_map,data_owner,remove_cache_from_decision_path,Freshness does not override authority,"No provider relationship claim",Birch,Newer can still be inadmissible
TAE-T008,Beginner,identity,Fresh fact for wrong facility,Facility alias maps to a different active identity,fail,stop_identity_resolution,facility_identity_record,identity_owner,reconcile_alias_mapping,Exact facility identity is verified before use,"No legal ownership claim",Birch,Prevents cross-site leakage
TAE-T009,Beginner,invalidation,Explicitly invalidated fact,Fact age is within limit but invalidated_at precedes evaluation,fail,load_successor_or_stop,invalidation_event_and_successor_link,data_owner,restore last still-valid version only if authorized,Invalidation defeats age badge,"No factual result claim",Birch,Age is not validity
TAE-T010,Beginner,unknown_state,Missing effective_to,Contract requires bounded window and end is unknown,review,route_to_owner,effective_interval_record,policy_owner,remain_read_only,Unknown end is not converted to open-ended authority,"No legal conclusion",Birch,Open must be explicit
TAE-T011,Intermediate,clock_quality,Unknown device clock error,Maximum age is 120 seconds and clock error is unknown,review,synchronous_refresh_or_safe_degrade,clock_status_and_refresh_receipt,system_owner,disable_command_path,Action is not admitted from unsupported precision,"No safety certification",Cedar,Exact timestamp is insufficient
TAE-T012,Intermediate,clock_quality,Error bound larger than age limit,Clock may differ by plus or minus five minutes and maximum age is two minutes,fail,use_trusted_time_source,clock_error_bound_and_contract,system_owner,quarantine_device_time,Uncertainty is included in admission,"No hardware quality claim",Cedar,Conservative comparison
TAE-T013,Intermediate,timezone,Recurring local schedule crosses daylight transition,Local 01:30 rule is ambiguous on fall-back day,review,require_zone_rule_and_fold_policy,schedule_zone_and_transition_test,policy_owner,hold_ambiguous_occurrence,Ambiguous local instant has declared treatment,"No legal hours claim",Cedar,Do not use fixed offset alone
TAE-T014,Intermediate,timezone,Fixed UTC offset used for future recurring rule,Rule spans possible civil-time change,fail,store_zone_identifier_and_rule_context,schedule_schema_and_zone_data,system_owner,migrate_schedule_representation,Future recurrence is not bound to stale offset,"No regional requirement claim",Cedar,RFC encoding not business logic
TAE-T015,Intermediate,lateness,Event arrives within lateness budget,Occurred-to-observed delay remains below limit,pass,update_open_projection,event_record_and_watermark_state,event_owner,replay_projection_if_needed,Late but allowed event is linked and processed,"No streaming platform adoption claim",Cedar,Arrival order differs
TAE-T016,Intermediate,lateness,Event arrives after operational close,Fact predates close but arrives after correction window,review,create_linked_correction_case,late_event_and_closed_projection_id,event_owner,open_governed_revision,Original record remains and correction is visible,"No incident claim",Cedar,No silent overwrite
