record_id,message_id,message_version,message_class,facility_id,legal_entity_id,approved_purpose,prohibited_use,consequence_tier,recipient_query_id,query_version,population_cutoff,recipient_count,exclusions,channel,send_window,time_zone,drafting_actor,ai_contribution,claim_count,claim_ledger_ref,source_packet_ref,source_state,privacy_profile,accessibility_state,content_review_state,operational_authority,channel_authority,approval_state,approval_expires_at,queued_at,provider_reference,provider_state,delivery_state,recipient_response_state,correction_plan_ref,cancel_or_rollback,current_owner,next_action,evidence_boundary
CMG-R001,MSG-FICTION-001,3,office_hours_update,FAC-FICTION-CEDAR,LE-FICTION-A,announce_approved_special_hours,"Never claim gate-access state",medium,QRY-F001,2,2026-08-22T10:00:00-07:00,125,"opt_out;wrong_facility;closed_account",email,2026-08-22T12:00:00-07:00/2026-08-22T13:00:00-07:00,America/Phoenix,COMMS-EDITOR-01,"draft_language;claim_extraction",3,CLM-F001-v3,SRC-F001-v4,partial_stale_claim,PRIV-MIN-01,review_required,returned_for_source,FACILITY-AUTHORITY-01,EMAIL-AUTHORITY-01,returned_for_source,2026-08-22T11:30:00-07:00,not_queued,none,not_submitted,not_delivered,none,CORR-F001,CANCEL-BEFORE-QUEUE,COMMUNICATIONS-OWNER-01,refresh_gate_schedule_or_remove_claim,"Fictional draft; no real schedule recipient send delivery or customer result."
CMG-R002,MSG-FICTION-002,1,request_receipt,FAC-FICTION-ALDER,LE-FICTION-A,confirm_request_recorded,"Never claim work completed",low,QRY-F002,1,2026-08-22T09:00:00-06:00,1,wrong_request,email,2026-08-22T09:05:00-06:00/2026-08-22T09:20:00-06:00,America/Denver,WORKFLOW-EDITOR-01,plain_language_draft,2,CLM-F002-v1,SRC-F002-v1,current,PRIV-MIN-02,passed_bounded,approved,WORKFLOW-AUTHORITY-01,EMAIL-AUTHORITY-01,approved_for_exact_queue,2026-08-22T09:20:00-06:00,not_queued,none,not_submitted,not_delivered,none,CORR-F002,CANCEL-BEFORE-QUEUE,WORKFLOW-OWNER-01,queue_only_after_recipient_recheck,"Fictional approval state; no message was queued or sent."
CMG-R003,MSG-FICTION-003,4,refund_status,FAC-FICTION-BIRCH,LE-FICTION-A,describe_bounded_refund_request_state,"Never promise bank receipt or timing",high,QRY-F003,3,2026-08-22T08:30:00-05:00,1,wrong_transaction,portal,2026-08-22T08:35:00-05:00/2026-08-22T08:50:00-05:00,America/Chicago,FINANCE-COMMS-01,"draft_language;source_link_candidates",4,CLM-F003-v4,SRC-F003-v6,provider_processing_only,PRIV-FIN-01,passed_bounded,returned_for_wording,FINANCE-AUTHORITY-01,PORTAL-AUTHORITY-01,returned_for_wording,2026-08-22T08:50:00-05:00,not_queued,none,not_submitted,not_delivered,none,CORR-F003,CANCEL-BEFORE-QUEUE,FINANCE-COMMS-OWNER,remove_completion_and_arrival_language,"Fictional refund state; no payment posting reconciliation or receipt result."
CMG-R004,MSG-FICTION-004,2,maintenance_update,FAC-FICTION-DELTA,LE-FICTION-B,provide_approved_service_update,"Never give physical-safety instruction",medium,QRY-F004,2,2026-08-22T11:00:00-04:00,42,"wrong_building;request_closed",text,2026-08-22T11:15:00-04:00/2026-08-22T11:30:00-04:00,America/New_York,FACILITIES-COMMS-01,"draft_language;missing_field_flag",3,CLM-F004-v2,SRC-F004-v3,facility_scope_conflict,PRIV-MIN-03,review_required,returned_for_population,FACILITIES-AUTHORITY-01,TEXT-AUTHORITY-01,returned_for_population,2026-08-22T11:10:00-04:00,not_queued,none,not_submitted,not_delivered,none,CORR-F004,CANCEL-BEFORE-QUEUE,FACILITIES-COMMS-OWNER,correct_building_population,"Fictional maintenance notice; no real work safety channel or customer outcome."
CMG-R005,MSG-FICTION-005,5,account_information_request,FAC-FICTION-ELM,LE-FICTION-B,request_missing_document,"Never disclose account state in subject",high,QRY-F005,4,2026-08-22T07:00:00-07:00,8,"wrong_account;privacy_hold",email,2026-08-22T08:00:00-07:00/2026-08-22T09:00:00-07:00,America/Los_Angeles,ACCOUNT-COMMS-01,"draft_language;privacy_flag",2,CLM-F005-v5,SRC-F005-v7,current,PRIV-ACCOUNT-01,failed_subject_context,returned_for_privacy,ACCOUNT-AUTHORITY-01,EMAIL-AUTHORITY-02,returned_for_privacy,2026-08-22T07:45:00-07:00,not_queued,none,not_submitted,not_delivered,none,CORR-F005,CANCEL-BEFORE-QUEUE,PRIVACY-REVIEW-01,minimize_subject_and_revalidate,"Fictional account message; no personal data request send or legal conclusion."
CMG-R006,MSG-FICTION-006,1,contact_route_change,FAC-FICTION-FIR,LE-FICTION-B,announce_approved_support_route,"Never claim operating availability",low,QRY-F006,1,2026-08-22T07:10:00-07:00,56,wrong_facility,email,2026-08-22T10:00:00-07:00/2026-08-22T11:00:00-07:00,America/Los_Angeles,COMMS-EDITOR-02,plain_language_draft,2,CLM-F006-v1,SRC-F006-v2,phone_handling_unverified,PRIV-MIN-04,passed_bounded,returned_for_source,COMMUNICATIONS-AUTHORITY-02,EMAIL-AUTHORITY-02,returned_for_source,2026-08-22T09:30:00-07:00,not_queued,none,not_submitted,not_delivered,none,CORR-F006,CANCEL-BEFORE-QUEUE,COMMUNICATIONS-OWNER-02,complete_operational_handling_check,"Fictional route; a technical connection is not verified customer support."
CMG-R007,MSG-FICTION-007,6,appointment_reminder,FAC-FICTION-GROVE,LE-FICTION-C,remind_confirmed_appointment,"Never create appointment or disclose service reason",medium,QRY-F007,5,2026-08-22T10:30:00-04:00,14,"cancelled;rescheduled;channel_suppressed",text,2026-08-22T15:00:00-04:00/2026-08-22T16:00:00-04:00,America/New_York,SERVICE-COMMS-01,"draft_language;date_format_check",3,CLM-F007-v6,SRC-F007-v8,current,PRIV-APPT-01,passed_bounded,approved,SERVICE-AUTHORITY-01,TEXT-AUTHORITY-02,approved_with_expiry,2026-08-22T14:45:00-04:00,not_queued,none,not_submitted,not_delivered,none,CORR-F007,CANCEL-BEFORE-QUEUE,SERVICE-COMMS-OWNER,rebuild_population_at_queue_time,"Fictional reminder approval; no appointment message or response."
CMG-R008,MSG-FICTION-008,2,portal_outage_update,FAC-FICTION-HARBOR,LE-FICTION-C,provide_approved_system_status,"Never promise restoration time without authority",medium,QRY-F008,2,2026-08-22T11:05:00-04:00,210,"wrong_facility;channel_suppressed",email,2026-08-22T11:10:00-04:00/2026-08-22T11:25:00-04:00,America/New_York,INCIDENT-COMMS-01,"draft_language;claim_extraction",4,CLM-F008-v2,SRC-F008-v3,restoration_estimate_unapproved,PRIV-MIN-05,passed_bounded,returned_for_wording,INCIDENT-AUTHORITY-01,EMAIL-AUTHORITY-03,returned_for_wording,2026-08-22T11:10:00-04:00,not_queued,none,not_submitted,not_delivered,none,CORR-F008,CANCEL-BEFORE-QUEUE,INCIDENT-COMMS-OWNER,remove_estimate_or_obtain_authority,"Fictional outage draft; no service availability restoration or delivery result."
CMG-R009,MSG-FICTION-009,3,feature_announcement,FAC-FICTION-IVY,LE-FICTION-C,announce_verified_feature,"Never copy feature from another facility",medium,QRY-F009,3,2026-08-22T09:30:00-06:00,75,"wrong_facility;inactive_account",email,2026-08-22T13:00:00-06:00/2026-08-22T14:00:00-06:00,America/Denver,MARKETING-EDITOR-01,"draft_language;claim_candidates",5,CLM-F009-v3,SRC-F009-v4,facility_source_missing,PRIV-MIN-06,review_required,returned_for_source,FEATURE-AUTHORITY-01,EMAIL-AUTHORITY-03,returned_for_source,2026-08-22T12:30:00-06:00,not_queued,none,not_submitted,not_delivered,none,CORR-F009,CANCEL-BEFORE-QUEUE,FEATURE-OWNER-01,obtain_facility_specific_evidence,"Fictional announcement; no feature availability marketing or customer result."
CMG-R010,MSG-FICTION-010,1,pre_opening_interest_update,FAC-FICTION-JUNIPER,LE-FICTION-D,acknowledge_interest_request,"Never announce opening date availability or price",high,QRY-F010,1,2026-08-22T08:30:00-06:00,31,"consent_unknown;opening_hold",email,2026-08-22T12:00:00-06:00/2026-08-22T13:00:00-06:00,America/Denver,OPENING-COMMS-01,"draft_language;prohibited_claim_flag",3,CLM-F010-v1,SRC-F010-v1,opening_authority_missing,PRIV-INTEREST-01,review_required,returned_for_authority,OPENING-AUTHORITY-UNASSIGNED,EMAIL-AUTHORITY-04,returned_for_authority,2026-08-22T11:30:00-06:00,not_queued,none,not_submitted,not_delivered,none,CORR-F010,CANCEL-BEFORE-QUEUE,OPENING-OWNER-01,hold_until_authority_and_consent_resolved,"Fictional pre-opening draft; no opening consent availability price or operating claim."
