source_id,source_title,publisher,source_url,source_type,publication_or_version_date,checked_at_utc,claim_supported,limitations
TAE-001,Date and Time on the Internet: Timestamps,RFC Editor,https://www.rfc-editor.org/info/rfc3339/,Internet Standards Track RFC,2002-07,2026-08-22T15:58:00Z,"Supports a consistent Internet timestamp representation with an explicit relationship to UTC and explains its limited focus on instants rather than intervals.","Encoding standard only; it does not define timestamp semantics source-clock accuracy effective time decision freshness or facility operating policy."
TAE-002,Date and Time on the Internet: Timestamps with Additional Information,RFC Editor,https://www.rfc-editor.org/rfc/rfc9557.html,Internet Standards Track RFC,2024-04,2026-08-22T15:58:00Z,"Supports optional additional timestamp information including time-zone names and a suffix-tag extension to RFC 3339 timestamps.","Encoding extension only; time-zone metadata does not prove schedule authority accuracy or applicability and receivers may not support every extension."
TAE-003,Time Ontology in OWL,World Wide Web Consortium,https://www.w3.org/TR/2017/REC-owl-time-20171019/,W3C Recommendation,2017-10-19,2026-08-22T15:58:00Z,"Supports explicit modeling of temporal instants intervals durations positions and ordering relationships.","General semantic-web ontology; it does not prescribe facility freshness thresholds decision admission controls or storage architecture."
TAE-004,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,W3C Recommendation,2013-04-30,2026-08-22T15:58:00Z,"Supports provenance relationships among entities activities and agents and explicit generation invalidation use derivation and associated times.","General RDF provenance recommendation; provenance structure does not establish factual correctness authority or a facility deployment."
TAE-005,Application-period temporal tables,IBM,https://www.ibm.com/docs/en/db2/12.1.x?topic=tables-application-period-temporal,Official current Db2 documentation,Db2 12.1.x page checked 2026-08-22,2026-08-22T15:58:00Z,"Supports distinguishing application or business time as the interval in which data is valid or in effect.","Product-specific database documentation; it is not an industry standard and does not determine which facility assertion is authoritative."
TAE-006,System-period temporal tables,IBM,https://www.ibm.com/docs/en/db2/12.1.x?topic=tables-system-period-temporal,Official current Db2 documentation,Db2 12.1.x page checked 2026-08-22,2026-08-22T15:58:00Z,"Supports distinguishing system time as the interval in which a row version is current in a database and preserving row history.","Product-specific implementation behavior; system history proves what the database stored rather than the real-world truth of an assertion."
TAE-007,Bitemporal tables,IBM,https://www.ibm.com/docs/en/db2/12.1.x?topic=tables-bitemporal,Official current Db2 documentation,Db2 12.1.x page checked 2026-08-22,2026-08-22T15:58:00Z,"Supports combining application-period and system-period histories so effective and recorded histories can be queried separately.","Product-specific database feature; it does not provide decision-specific freshness authority conflict resolution or operational readback."
TAE-008,Timely Stream Processing,Apache Software Foundation,https://nightlies.apache.org/flink/flink-docs-release-2.3/docs/concepts/time/,Official versioned Apache Flink documentation,2.3.0 released 2026-06-25 and checked as latest stable 2026-08-22,2026-08-22T15:58:00Z,"Supports distinctions among event and processing time and explains watermark-based event-time progress late events out-of-order arrival and the finite-wait limitation on deterministic event-time processing.","Flink-specific documentation; the article uses the concept as a bounded design reference and does not claim that a facility operator uses or should use Flink."
TAE-009,Generating Watermarks,Apache Software Foundation,https://nightlies.apache.org/flink/flink-docs-release-2.3/docs/dev/datastream/event-time/generating_watermarks/,Official versioned Apache Flink documentation,2.3.0 documentation checked 2026-08-22,2026-08-22T15:58:00Z,"Supports bounded-out-of-orderness strategies idle-source handling watermark alignment and the rule that a two-input operator's current watermark is the minimum of its inputs.","Flink-specific implementation guidance; it does not set facility lateness budgets completeness rules or require Flink adoption."
TAE-010,Security and Privacy Controls for Information Systems and Organizations,National Institute of Standards and Technology,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,NIST Special Publication 800-53 Rev. 5 with current supplemental release status,"2020-09 with updates through 2020-12-10; Release 5.2.0 issued 2025-08-27",2026-08-22T15:58:00Z,"Supports explicit timestamp controls including granularity and comparison with an authoritative time source in AU-8; current page identifies Release 5.2.0 and its bounded change list.","General security and privacy control catalog; use of a control does not establish certification compliance or a facility AI design and the 5.2.0 listed changes do not include AU-8."
TAE-011,Artificial Intelligence Risk Management Framework 1.0,National Institute of Standards and Technology,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,NIST voluntary framework,2023-01-26,2026-08-22T15:58:00Z,"Supports contextual lifecycle risk management documentation measurement monitoring and governance for AI systems.","Voluntary non-sector-specific framework; it does not prescribe this method certify a system or set facility-specific temporal limits."
